Date,JRJC_stock_Open_average,JRJC_stock_Open_max,JRJC_stock_Open_min,JRJC_stock_Open_volatility,JRJC_stock_Open_change,JRJC_stock_High_average,JRJC_stock_High_max,JRJC_stock_High_min,JRJC_stock_High_volatility,JRJC_stock_High_change,JRJC_stock_Low_average,JRJC_stock_Low_max,JRJC_stock_Low_min,JRJC_stock_Low_volatility,JRJC_stock_Low_change,JRJC_stock_Close_average,JRJC_stock_Close_max,JRJC_stock_Close_min,JRJC_stock_Close_volatility,JRJC_stock_Close_change,JRJC_stock_Volume_average,JRJC_stock_Volume_max,JRJC_stock_Volume_min,JRJC_stock_Volume_volatility,JRJC_stock_Volume_change
2016-01-03,5.85,6.1,5.69,0.40999999999999925,-0.2400000000000002,6.0,6.1,5.89,0.20999999999999996,-0.20999999999999996,5.646,5.8,5.36,0.4399999999999995,-0.4399999999999995,5.776,6.06,5.42,0.6399999999999997,-0.6399999999999997,400042,654326,201012,453314,-254759
2016-01-10,5.33,5.38,5.28,0.09999999999999964,0.0,5.484,5.59,5.37,0.21999999999999975,-0.11000000000000032,5.202,5.26,5.14,0.1200000000000001,-0.07000000000000028,5.342,5.52,5.24,0.27999999999999936,0.0,210391,296767,123759,173008,-119031
2016-01-17,5.12,5.35,4.86,0.4899999999999993,-0.09999999999999964,5.275,5.46,5.03,0.4299999999999997,0.040000000000000036,4.8825,5.23,4.49,0.7400000000000002,0.21000000000000085,5.145,5.4,4.93,0.47000000000000064,0.3000000000000007,234245,314791,94105,220686,-170816
2016-01-24,5.162,5.37,5.0,0.3700000000000001,-0.3700000000000001,5.304,5.47,5.09,0.3799999999999999,-0.0699999999999994,5.03,5.24,4.91,0.33000000000000007,-0.2400000000000002,5.152,5.3,4.98,0.3199999999999994,0.04999999999999982,158563,235946,59248,176698,139566
2016-01-31,5.1,5.25,4.92,0.33000000000000007,-0.09999999999999964,5.188,5.25,5.06,0.1900000000000004,-0.019999999999999574,4.916,5.01,4.72,0.29000000000000004,-0.04999999999999982,5.078,5.24,4.93,0.3100000000000005,-0.28000000000000025,103362,210403,56686,153717,-9259
2016-02-07,4.704,4.9,4.43,0.47000000000000064,-0.47000000000000064,4.752,4.93,4.54,0.3899999999999997,-0.3899999999999997,4.568,4.72,4.3,0.41999999999999993,-0.29000000000000004,4.648,4.78,4.41,0.3700000000000001,-0.2600000000000007,87955,181851,21347,160504,-121479
2016-02-14,4.94,5.24,4.57,0.6699999999999999,0.6699999999999999,5.16,5.4,4.77,0.6300000000000008,0.6300000000000008,4.895,5.16,4.57,0.5899999999999999,0.5899999999999999,5.1,5.3,4.72,0.5800000000000001,0.5,95170,125520,78615,46905,5071
2016-02-21,5.126,5.31,4.98,0.3299999999999992,-0.3299999999999992,5.176,5.31,4.99,0.3199999999999994,-0.13999999999999968,4.984,5.14,4.85,0.29000000000000004,-0.13999999999999968,5.082,5.3,4.89,0.41000000000000014,-0.22999999999999954,82476,144865,54236,90629,-29261
2016-02-28,5.266,5.39,5.07,0.3199999999999994,0.23999999999999932,5.356,5.44,5.27,0.17000000000000082,0.040000000000000036,5.156,5.26,5.06,0.20000000000000018,0.0,5.258,5.37,5.16,0.20999999999999996,-0.08000000000000007,84389,167852,31289,136563,21674
2016-03-06,5.114,5.2,5.03,0.16999999999999993,-0.1200000000000001,5.186,5.27,5.15,0.11999999999999922,0.0699999999999994,5.006,5.05,4.92,0.1299999999999999,0.0,5.128,5.27,5.02,0.25,0.1299999999999999,77707,101692,46103,55589,41235
2016-03-13,5.264,5.46,5.19,0.2699999999999996,0.03000000000000025,5.436,5.62,5.2,0.41999999999999993,-0.1200000000000001,5.148,5.25,5.05,0.20000000000000018,0.03000000000000025,5.256,5.47,5.07,0.39999999999999947,-0.10999999999999943,203705,307672,110911,196761,-93231
2016-03-20,5.25,5.38,5.15,0.22999999999999954,-0.22999999999999954,5.32,5.5,5.18,0.3200000000000003,-0.3200000000000003,5.11,5.21,4.94,0.2699999999999996,-0.2699999999999996,5.23,5.32,5.15,0.16999999999999993,-0.14000000000000057,142803,174253,116297,57956,37211
2016-03-27,5.122,5.22,5.05,0.16999999999999993,-0.16999999999999993,5.19,5.25,5.14,0.11000000000000032,-0.08000000000000007,5.012,5.05,4.95,0.09999999999999964,-0.0699999999999994,5.0840000000000005,5.15,4.98,0.16999999999999993,-0.08999999999999986,102272,170579,66998,103581,85243
