Date,ProShares UltraShort QQQ_etf_Open_average,ProShares UltraShort QQQ_etf_Open_max,ProShares UltraShort QQQ_etf_Open_min,ProShares UltraShort QQQ_etf_Open_volatility,ProShares UltraShort QQQ_etf_Open_change,ProShares UltraShort QQQ_etf_High_average,ProShares UltraShort QQQ_etf_High_max,ProShares UltraShort QQQ_etf_High_min,ProShares UltraShort QQQ_etf_High_volatility,ProShares UltraShort QQQ_etf_High_change,ProShares UltraShort QQQ_etf_Low_average,ProShares UltraShort QQQ_etf_Low_max,ProShares UltraShort QQQ_etf_Low_min,ProShares UltraShort QQQ_etf_Low_volatility,ProShares UltraShort QQQ_etf_Low_change,ProShares UltraShort QQQ_etf_Close_average,ProShares UltraShort QQQ_etf_Close_max,ProShares UltraShort QQQ_etf_Close_min,ProShares UltraShort QQQ_etf_Close_volatility,ProShares UltraShort QQQ_etf_Close_change
2016-01-03,132.8,132.8,132.8,0.0,0.0,137.2,137.2,137.2,0.0,0.0,131.08,131.08,131.08,0.0,0.0,136.84,136.84,136.84,0.0,0.0
2016-01-10,145.16,145.16,145.16,0.0,0.0,147.92,147.92,147.92,0.0,0.0,141.56,141.56,141.56,0.0,0.0,144.4,144.4,144.4,0.0,0.0
2016-01-17,138.76,138.76,138.76,0.0,0.0,139.6,139.6,139.6,0.0,0.0,136.0,136.0,136.0,0.0,0.0,136.08,136.08,136.08,0.0,0.0
2016-01-24,140.4,140.4,140.4,0.0,0.0,140.56,140.56,140.56,0.0,0.0,134.43,134.43,134.43,0.0,0.0,134.64,134.64,134.64,0.0,0.0
2016-01-31,141.96,141.96,141.96,0.0,0.0,151.84,151.84,151.84,0.0,0.0,141.88,141.88,141.88,0.0,0.0,150.64,150.64,150.64,0.0,0.0
2016-02-07,152.0,152.0,152.0,0.0,0.0,155.0,155.0,155.0,0.0,0.0,150.56,150.56,150.56,0.0,0.0,150.84,150.84,150.84,0.0,0.0
2016-02-14,141.8,141.8,141.8,0.0,0.0,142.67,142.67,142.67,0.0,0.0,138.96,138.96,138.96,0.0,0.0,139.68,139.68,139.68,0.0,0.0
2016-02-21,132.36,132.36,132.36,0.0,0.0,135.36,135.36,135.36,0.0,0.0,132.24,132.24,132.24,0.0,0.0,134.72,134.72,134.72,0.0,0.0
2016-02-28,128.28,128.28,128.28,0.0,0.0,130.29,130.29,130.29,0.0,0.0,126.96,126.96,126.96,0.0,0.0,128.6,128.6,128.6,0.0,0.0
2016-03-06,128.2,128.2,128.2,0.0,0.0,129.04,129.04,129.04,0.0,0.0,126.44,126.44,126.44,0.0,0.0,126.44,126.44,126.44,0.0,0.0
2016-03-13,123.52,123.52,123.52,0.0,0.0,124.91,124.91,124.91,0.0,0.0,123.0,123.0,123.0,0.0,0.0,123.48,123.48,123.48,0.0,0.0
2016-03-20,125.32,125.32,125.32,0.0,0.0,125.56,125.56,125.56,0.0,0.0,123.79,123.79,123.79,0.0,0.0,123.84,123.84,123.84,0.0,0.0
2016-03-27,120.8,120.8,120.8,0.0,0.0,121.12,121.12,121.12,0.0,0.0,116.75,116.75,116.75,0.0,0.0,116.96,116.96,116.96,0.0,0.0
