Date,VelocityShares 3x Inverse Gold linked to S&P GSCI_etf_Open_average,VelocityShares 3x Inverse Gold linked to S&P GSCI_etf_Open_max,VelocityShares 3x Inverse Gold linked to S&P GSCI_etf_Open_min,VelocityShares 3x Inverse Gold linked to S&P GSCI_etf_Open_volatility,VelocityShares 3x Inverse Gold linked to S&P GSCI_etf_Open_change,VelocityShares 3x Inverse Gold linked to S&P GSCI_etf_High_average,VelocityShares 3x Inverse Gold linked to S&P GSCI_etf_High_max,VelocityShares 3x Inverse Gold linked to S&P GSCI_etf_High_min,VelocityShares 3x Inverse Gold linked to S&P GSCI_etf_High_volatility,VelocityShares 3x Inverse Gold linked to S&P GSCI_etf_High_change,VelocityShares 3x Inverse Gold linked to S&P GSCI_etf_Low_average,VelocityShares 3x Inverse Gold linked to S&P GSCI_etf_Low_max,VelocityShares 3x Inverse Gold linked to S&P GSCI_etf_Low_min,VelocityShares 3x Inverse Gold linked to S&P GSCI_etf_Low_volatility,VelocityShares 3x Inverse Gold linked to S&P GSCI_etf_Low_change,VelocityShares 3x Inverse Gold linked to S&P GSCI_etf_Close_average,VelocityShares 3x Inverse Gold linked to S&P GSCI_etf_Close_max,VelocityShares 3x Inverse Gold linked to S&P GSCI_etf_Close_min,VelocityShares 3x Inverse Gold linked to S&P GSCI_etf_Close_volatility,VelocityShares 3x Inverse Gold linked to S&P GSCI_etf_Close_change
2016-01-03,84.29,84.29,84.29,0.0,0.0,84.77,84.77,84.77,0.0,0.0,83.34,83.34,83.34,0.0,0.0,83.69,83.69,83.69,0.0,0.0
2016-01-10,85.03,85.03,85.03,0.0,0.0,87.13,87.13,87.13,0.0,0.0,85.03,85.03,85.03,0.0,0.0,86.85,86.85,86.85,0.0,0.0
2016-01-17,84.84,84.84,84.84,0.0,0.0,85.07,85.07,85.07,0.0,0.0,83.33,83.33,83.33,0.0,0.0,84.33,84.33,84.33,0.0,0.0
2016-01-24,80.55,80.55,80.55,0.0,0.0,81.17,81.17,81.17,0.0,0.0,79.87,79.87,79.87,0.0,0.0,79.87,79.87,79.87,0.0,0.0
2016-01-31,73.75,73.75,73.75,0.0,0.0,73.88,73.88,73.88,0.0,0.0,68.62,68.62,68.62,0.0,0.0,68.63,68.63,68.63,0.0,0.0
2016-02-07,57.93,57.93,57.93,0.0,0.0,57.95,57.95,57.95,0.0,0.0,57.0,57.0,57.0,0.0,0.0,57.37,57.37,57.37,0.0,0.0
2016-02-14,58.32,58.32,58.32,0.0,0.0,59.0,59.0,59.0,0.0,0.0,57.77,57.77,57.77,0.0,0.0,58.38,58.38,58.38,0.0,0.0
2016-02-21,58.76,58.76,58.76,0.0,0.0,58.76,58.76,58.76,0.0,0.0,58.76,58.76,58.76,0.0,0.0,58.76,58.76,58.76,0.0,0.0
2016-02-28,52.91,52.91,52.91,0.0,0.0,54.02,54.02,54.02,0.0,0.0,51.23,51.23,51.23,0.0,0.0,53.57,53.57,53.57,0.0,0.0
2016-03-06,52.72,52.72,52.72,0.0,0.0,54.96,54.96,54.96,0.0,0.0,52.4,52.4,52.4,0.0,0.0,54.96,54.96,54.96,0.0,0.0
