Date,Industrial Select Sector SPDR_etf_Open_average,Industrial Select Sector SPDR_etf_Open_max,Industrial Select Sector SPDR_etf_Open_min,Industrial Select Sector SPDR_etf_Open_volatility,Industrial Select Sector SPDR_etf_Open_change,Industrial Select Sector SPDR_etf_High_average,Industrial Select Sector SPDR_etf_High_max,Industrial Select Sector SPDR_etf_High_min,Industrial Select Sector SPDR_etf_High_volatility,Industrial Select Sector SPDR_etf_High_change,Industrial Select Sector SPDR_etf_Low_average,Industrial Select Sector SPDR_etf_Low_max,Industrial Select Sector SPDR_etf_Low_min,Industrial Select Sector SPDR_etf_Low_volatility,Industrial Select Sector SPDR_etf_Low_change,Industrial Select Sector SPDR_etf_Close_average,Industrial Select Sector SPDR_etf_Close_max,Industrial Select Sector SPDR_etf_Close_min,Industrial Select Sector SPDR_etf_Close_volatility,Industrial Select Sector SPDR_etf_Close_change
2016-01-03,50.71,50.71,50.71,0.0,0.0,50.71,50.71,50.71,0.0,0.0,49.65,49.65,49.65,0.0,0.0,49.72,49.72,49.72,0.0,0.0
2016-01-10,48.14,48.14,48.14,0.0,0.0,48.84,48.84,48.84,0.0,0.0,48.02,48.02,48.02,0.0,0.0,48.65,48.65,48.65,0.0,0.0
2016-01-17,48.84,48.84,48.84,0.0,0.0,48.99,48.99,48.99,0.0,0.0,48.22,48.22,48.22,0.0,0.0,48.64,48.64,48.64,0.0,0.0
2016-01-24,49.0,49.0,49.0,0.0,0.0,50.01,50.01,50.01,0.0,0.0,48.88,48.88,48.88,0.0,0.0,49.99,49.99,49.99,0.0,0.0
2016-01-31,50.25,50.25,50.25,0.0,0.0,50.54,50.54,50.54,0.0,0.0,49.8,49.8,49.8,0.0,0.0,50.04,50.04,50.04,0.0,0.0
2016-02-07,48.98,48.98,48.98,0.0,0.0,49.68,49.68,49.68,0.0,0.0,48.88,48.88,48.88,0.0,0.0,49.67,49.67,49.67,0.0,0.0
2016-02-14,50.98,50.98,50.98,0.0,0.0,51.38,51.38,51.38,0.0,0.0,50.89,50.89,50.89,0.0,0.0,51.32,51.32,51.32,0.0,0.0
2016-02-21,52.51,52.51,52.51,0.0,0.0,52.85,52.85,52.85,0.0,0.0,52.44,52.44,52.44,0.0,0.0,52.45,52.45,52.45,0.0,0.0
2016-02-28,53.53,53.53,53.53,0.0,0.0,54.1,54.1,54.1,0.0,0.0,53.41,53.41,53.41,0.0,0.0,53.78,53.78,53.78,0.0,0.0
2016-03-06,53.76,53.76,53.76,0.0,0.0,54.17,54.17,54.17,0.0,0.0,53.72,53.72,53.72,0.0,0.0,54.04,54.04,54.04,0.0,0.0
