Date,iShares US Regional Banks_etf_Open_average,iShares US Regional Banks_etf_Open_max,iShares US Regional Banks_etf_Open_min,iShares US Regional Banks_etf_Open_volatility,iShares US Regional Banks_etf_Open_change,iShares US Regional Banks_etf_High_average,iShares US Regional Banks_etf_High_max,iShares US Regional Banks_etf_High_min,iShares US Regional Banks_etf_High_volatility,iShares US Regional Banks_etf_High_change,iShares US Regional Banks_etf_Low_average,iShares US Regional Banks_etf_Low_max,iShares US Regional Banks_etf_Low_min,iShares US Regional Banks_etf_Low_volatility,iShares US Regional Banks_etf_Low_change,iShares US Regional Banks_etf_Close_average,iShares US Regional Banks_etf_Close_max,iShares US Regional Banks_etf_Close_min,iShares US Regional Banks_etf_Close_volatility,iShares US Regional Banks_etf_Close_change
2016-01-03,33.02,33.02,33.02,0.0,0.0,33.02,33.02,33.02,0.0,0.0,32.03,32.03,32.03,0.0,0.0,32.09,32.09,32.09,0.0,0.0
2016-01-10,30.52,30.52,30.52,0.0,0.0,31.0,31.0,31.0,0.0,0.0,30.24,30.24,30.24,0.0,0.0,30.93,30.93,30.93,0.0,0.0
2016-01-17,30.49,30.49,30.49,0.0,0.0,30.62,30.62,30.62,0.0,0.0,30.21,30.21,30.21,0.0,0.0,30.44,30.44,30.44,0.0,0.0
2016-01-24,30.81,30.81,30.81,0.0,0.0,31.17,31.17,31.17,0.0,0.0,30.59,30.59,30.59,0.0,0.0,31.16,31.16,31.16,0.0,0.0
2016-01-31,30.75,30.75,30.75,0.0,0.0,31.06,31.06,31.06,0.0,0.0,30.29,30.29,30.29,0.0,0.0,30.37,30.37,30.37,0.0,0.0
2016-02-07,28.9,28.9,28.9,0.0,0.0,29.65,29.65,29.65,0.0,0.0,28.76,28.76,28.76,0.0,0.0,29.63,29.63,29.63,0.0,0.0
2016-02-14,29.87,29.87,29.87,0.0,0.0,30.28,30.28,30.28,0.0,0.0,29.76,29.76,29.76,0.0,0.0,30.17,30.17,30.17,0.0,0.0
2016-02-21,30.41,30.41,30.41,0.0,0.0,30.91,30.91,30.91,0.0,0.0,30.23,30.23,30.23,0.0,0.0,30.63,30.63,30.63,0.0,0.0
2016-02-28,32.32,32.32,32.32,0.0,0.0,32.65,32.65,32.65,0.0,0.0,32.16,32.16,32.16,0.0,0.0,32.44,32.44,32.44,0.0,0.0
2016-03-06,31.85,31.85,31.85,0.0,0.0,32.41,32.41,32.41,0.0,0.0,31.8,31.8,31.8,0.0,0.0,32.38,32.38,32.38,0.0,0.0
2016-03-13,32.3,32.3,32.3,0.0,0.0,32.79,32.79,32.79,0.0,0.0,32.25,32.25,32.25,0.0,0.0,32.56,32.56,32.56,0.0,0.0
2016-03-20,31.82,31.82,31.82,0.0,0.0,31.92,31.92,31.92,0.0,0.0,31.47,31.47,31.47,0.0,0.0,31.92,31.92,31.92,0.0,0.0
2016-03-27,31.58,31.58,31.58,0.0,0.0,31.93,31.93,31.93,0.0,0.0,31.27,31.27,31.27,0.0,0.0,31.91,31.91,31.91,0.0,0.0
2016-04-03,30.92,30.92,30.92,0.0,0.0,31.35,31.35,31.35,0.0,0.0,30.76,30.76,30.76,0.0,0.0,30.86,30.86,30.86,0.0,0.0
2016-04-10,33.01,33.01,33.01,0.0,0.0,33.08,33.08,33.08,0.0,0.0,32.68,32.68,32.68,0.0,0.0,32.83,32.83,32.83,0.0,0.0
2016-04-17,33.93,33.93,33.93,0.0,0.0,34.45,34.45,34.45,0.0,0.0,33.93,33.93,33.93,0.0,0.0,34.33,34.33,34.33,0.0,0.0
2016-04-24,34.04,34.04,34.04,0.0,0.0,34.21,34.21,34.21,0.0,0.0,33.75,33.75,33.75,0.0,0.0,33.98,33.98,33.98,0.0,0.0
2016-05-01,32.58,32.58,32.58,0.0,0.0,32.92,32.92,32.92,0.0,0.0,32.56,32.56,32.56,0.0,0.0,32.91,32.91,32.91,0.0,0.0
2016-05-08,33.04,33.04,33.04,0.0,0.0,33.39,33.39,33.39,0.0,0.0,32.41,32.41,32.41,0.0,0.0,32.57,32.57,32.57,0.0,0.0
2016-05-15,33.86,33.86,33.86,0.0,0.0,34.2,34.2,34.2,0.0,0.0,33.81,33.81,33.81,0.0,0.0,33.95,33.95,33.95,0.0,0.0
2016-05-22,34.79,34.79,34.79,0.0,0.0,35.04,35.04,35.04,0.0,0.0,34.68,34.68,34.68,0.0,0.0,35.04,35.04,35.04,0.0,0.0
2016-05-29,34.63,34.63,34.63,0.0,0.0,34.63,34.63,34.63,0.0,0.0,33.86,33.86,33.86,0.0,0.0,34.57,34.57,34.57,0.0,0.0
2016-06-05,34.04,34.04,34.04,0.0,0.0,34.16,34.16,34.16,0.0,0.0,33.88,33.88,33.88,0.0,0.0,34.03,34.03,34.03,0.0,0.0
2016-06-12,32.91,32.91,32.91,0.0,0.0,33.16,33.16,33.16,0.0,0.0,32.69,32.69,32.69,0.0,0.0,32.97,32.97,32.97,0.0,0.0
2016-06-19,32.22,32.22,32.22,0.0,0.0,32.73,32.73,32.73,0.0,0.0,31.76,31.76,31.76,0.0,0.0,31.78,31.78,31.78,0.0,0.0
2016-06-26,32.25,32.25,32.25,0.0,0.0,32.36,32.36,32.36,0.0,0.0,31.89,31.89,31.89,0.0,0.0,32.09,32.09,32.09,0.0,0.0
2016-07-03,32.04,32.04,32.04,0.0,0.0,32.45,32.45,32.45,0.0,0.0,32.0,32.0,32.0,0.0,0.0,32.18,32.18,32.18,0.0,0.0
2016-07-10,33.97,33.97,33.97,0.0,0.0,33.99,33.99,33.99,0.0,0.0,33.55,33.55,33.55,0.0,0.0,33.7,33.7,33.7,0.0,0.0
2016-07-17,33.36,33.36,33.36,0.0,0.0,33.66,33.66,33.66,0.0,0.0,33.22,33.22,33.22,0.0,0.0,33.61,33.61,33.61,0.0,0.0
2016-07-24,33.57,33.57,33.57,0.0,0.0,33.86,33.86,33.86,0.0,0.0,33.52,33.52,33.52,0.0,0.0,33.6,33.6,33.6,0.0,0.0
2016-07-31,34.0,34.0,34.0,0.0,0.0,34.59,34.59,34.59,0.0,0.0,33.92,33.92,33.92,0.0,0.0,34.59,34.59,34.59,0.0,0.0
2016-08-07,34.05,34.05,34.05,0.0,0.0,34.09,34.09,34.09,0.0,0.0,33.88,33.88,33.88,0.0,0.0,34.08,34.08,34.08,0.0,0.0
2016-08-14,34.59,34.59,34.59,0.0,0.0,34.74,34.74,34.74,0.0,0.0,34.49,34.49,34.49,0.0,0.0,34.71,34.71,34.71,0.0,0.0
2016-08-21,34.93,34.93,34.93,0.0,0.0,35.23,35.23,35.23,0.0,0.0,34.83,34.83,34.83,0.0,0.0,35.08,35.08,35.08,0.0,0.0
