Date,CDXS_stock_Open_average,CDXS_stock_Open_max,CDXS_stock_Open_min,CDXS_stock_Open_volatility,CDXS_stock_Open_change,CDXS_stock_High_average,CDXS_stock_High_max,CDXS_stock_High_min,CDXS_stock_High_volatility,CDXS_stock_High_change,CDXS_stock_Low_average,CDXS_stock_Low_max,CDXS_stock_Low_min,CDXS_stock_Low_volatility,CDXS_stock_Low_change,CDXS_stock_Close_average,CDXS_stock_Close_max,CDXS_stock_Close_min,CDXS_stock_Close_volatility,CDXS_stock_Close_change,CDXS_stock_Volume_average,CDXS_stock_Volume_max,CDXS_stock_Volume_min,CDXS_stock_Volume_volatility,CDXS_stock_Volume_change
2016-01-03,4.194,4.23,4.15,0.08000000000000007,0.040000000000000036,4.242,4.28,4.2,0.08000000000000007,-0.05999999999999961,4.104,4.18,4.0,0.17999999999999972,-0.1299999999999999,4.196,4.23,4.13,0.10000000000000053,-0.04999999999999982,85958,151245,56330,94915,5110
2016-01-10,4.234,4.47,4.04,0.4299999999999997,-0.1900000000000004,4.348,4.5,4.07,0.4299999999999997,-0.4299999999999997,4.036,4.21,3.8,0.41000000000000014,-0.35000000000000053,4.134,4.39,3.81,0.5799999999999996,-0.5799999999999996,255510,637008,98699,538309,-449961
2016-01-17,3.8375,3.9,3.75,0.1499999999999999,0.040000000000000036,3.9625,4.2,3.83,0.3700000000000001,0.2200000000000002,3.71,3.85,3.49,0.3599999999999999,0.0900000000000003,3.88,4.1,3.8,0.2999999999999998,0.2799999999999998,158338,281689,104794,176895,150205
2016-01-24,4.072,4.14,3.92,0.21999999999999975,0.0,4.12,4.18,4.05,0.1299999999999999,-0.04999999999999982,3.938,4.04,3.83,0.20999999999999996,-0.06999999999999984,4.024,4.09,3.85,0.23999999999999977,-0.040000000000000036,113678,179364,83512,95852,-62977
2016-01-31,3.968,4.03,3.91,0.1200000000000001,-0.07000000000000028,4.012,4.06,3.96,0.09999999999999964,-0.09999999999999964,3.902,3.96,3.85,0.10999999999999988,-0.10999999999999988,3.948,4.01,3.91,0.09999999999999964,-0.09999999999999964,54051,75033,32678,42355,-25599
2016-02-07,3.9,3.95,3.84,0.11000000000000032,0.08000000000000007,3.996,4.08,3.9,0.18000000000000016,0.04999999999999982,3.844,3.92,3.77,0.1499999999999999,0.050000000000000266,3.964,4.06,3.9,0.1599999999999997,0.07999999999999963,106593,132857,86784,46073,-16629
2016-02-14,4.1025,4.15,4.08,0.07000000000000028,0.0,4.140000000000001,4.15,4.12,0.03000000000000025,-0.019999999999999574,4.0325,4.05,4.0,0.04999999999999982,0.040000000000000036,4.115,4.14,4.1,0.040000000000000036,-0.040000000000000036,72809,90107,53413,36694,-23793
2016-02-21,4.101666666666667,4.15,4.07,0.08000000000000007,-0.02999999999999936,4.125,4.15,4.07,0.08000000000000007,-0.08000000000000007,4.05,4.08,4.01,0.07000000000000028,0.020000000000000462,4.098333333333334,4.14,4.07,0.0699999999999994,-0.0699999999999994,74365,132039,0,132039,-80449
2016-02-28,3.928,4.07,3.62,0.4500000000000002,-0.4500000000000002,3.972,4.14,3.72,0.4199999999999995,-0.4199999999999995,3.826,4.03,3.51,0.5200000000000005,-0.5200000000000005,3.876,4.06,3.66,0.39999999999999947,-0.39999999999999947,125253,297940,57407,240533,230538
2016-03-06,3.774,3.9,3.69,0.20999999999999996,0.10000000000000009,3.902,3.96,3.8,0.16000000000000014,0.040000000000000036,3.69,3.72,3.63,0.0900000000000003,0.06000000000000005,3.802,3.91,3.71,0.20000000000000018,0.10000000000000009,150102,207931,108021,99910,-4838
