Date,iShares S&P Small-Cap 600 ValueEtf_Open_average,iShares S&P Small-Cap 600 ValueEtf_Open_max,iShares S&P Small-Cap 600 ValueEtf_Open_min,iShares S&P Small-Cap 600 ValueEtf_Open_volatility,iShares S&P Small-Cap 600 ValueEtf_Open_change,iShares S&P Small-Cap 600 ValueEtf_High_average,iShares S&P Small-Cap 600 ValueEtf_High_max,iShares S&P Small-Cap 600 ValueEtf_High_min,iShares S&P Small-Cap 600 ValueEtf_High_volatility,iShares S&P Small-Cap 600 ValueEtf_High_change,iShares S&P Small-Cap 600 ValueEtf_Low_average,iShares S&P Small-Cap 600 ValueEtf_Low_max,iShares S&P Small-Cap 600 ValueEtf_Low_min,iShares S&P Small-Cap 600 ValueEtf_Low_volatility,iShares S&P Small-Cap 600 ValueEtf_Low_change,iShares S&P Small-Cap 600 ValueEtf_Close_average,iShares S&P Small-Cap 600 ValueEtf_Close_max,iShares S&P Small-Cap 600 ValueEtf_Close_min,iShares S&P Small-Cap 600 ValueEtf_Close_volatility,iShares S&P Small-Cap 600 ValueEtf_Close_change
2016-01-03,102.44,102.44,102.44,0.0,0.0,102.88,102.88,102.88,0.0,0.0,100.19,100.19,100.19,0.0,0.0,100.31,100.31,100.31,0.0,0.0
2016-01-10,96.42,96.42,96.42,0.0,0.0,97.72,97.72,97.72,0.0,0.0,95.12,95.12,95.12,0.0,0.0,97.57,97.57,97.57,0.0,0.0
2016-01-17,98.03,98.03,98.03,0.0,0.0,98.94,98.94,98.94,0.0,0.0,97.59,97.59,97.59,0.0,0.0,98.64,98.64,98.64,0.0,0.0
2016-01-24,98.85,98.85,98.85,0.0,0.0,101.84,101.84,101.84,0.0,0.0,98.77,98.77,98.77,0.0,0.0,101.83,101.83,101.83,0.0,0.0
2016-01-31,100.11,100.11,100.11,0.0,0.0,100.36,100.36,100.36,0.0,0.0,98.74,98.74,98.74,0.0,0.0,98.78,98.78,98.78,0.0,0.0
2016-02-07,96.79,96.79,96.79,0.0,0.0,97.83,97.83,97.83,0.0,0.0,96.28,96.28,96.28,0.0,0.0,97.67,97.67,97.67,0.0,0.0
2016-02-14,100.53,100.53,100.53,0.0,0.0,101.26,101.26,101.26,0.0,0.0,100.06,100.06,100.06,0.0,0.0,100.98,100.98,100.98,0.0,0.0
2016-02-21,103.95,103.95,103.95,0.0,0.0,104.24,104.24,104.24,0.0,0.0,103.29,103.29,103.29,0.0,0.0,103.78,103.78,103.78,0.0,0.0
2016-02-28,108.67,108.67,108.67,0.0,0.0,110.18,110.18,110.18,0.0,0.0,108.49,108.49,108.49,0.0,0.0,109.37,109.37,109.37,0.0,0.0
2016-03-06,109.15,109.15,109.15,0.0,0.0,110.61,110.61,110.61,0.0,0.0,109.11,109.11,109.11,0.0,0.0,110.48,110.48,110.48,0.0,0.0
2016-03-13,112.45,112.45,112.45,0.0,0.0,113.07,113.07,113.07,0.0,0.0,112.29,112.29,112.29,0.0,0.0,112.79,112.79,112.79,0.0,0.0
2016-03-20,109.12,109.12,109.12,0.0,0.0,110.25,110.25,110.25,0.0,0.0,108.58,108.58,108.58,0.0,0.0,110.25,110.25,110.25,0.0,0.0
2016-03-27,112.31,112.31,112.31,0.0,0.0,113.37,113.37,113.37,0.0,0.0,111.88,111.88,111.88,0.0,0.0,113.3,113.3,113.3,0.0,0.0
2016-04-03,110.3,110.3,110.3,0.0,0.0,111.07,111.07,111.07,0.0,0.0,109.7,109.7,109.7,0.0,0.0,110.13,110.13,110.13,0.0,0.0
2016-04-10,113.42,113.42,113.42,0.0,0.0,114.38,114.38,114.38,0.0,0.0,113.42,113.42,113.42,0.0,0.0,114.19,114.19,114.19,0.0,0.0
2016-04-17,114.81,114.81,114.81,0.0,0.0,116.22,116.22,116.22,0.0,0.0,114.81,114.81,114.81,0.0,0.0,116.1,116.1,116.1,0.0,0.0
2016-04-24,116.19,116.19,116.19,0.0,0.0,116.71,116.71,116.71,0.0,0.0,114.89,114.89,114.89,0.0,0.0,115.73,115.73,115.73,0.0,0.0
2016-05-01,112.69,112.69,112.69,0.0,0.0,114.31,114.31,114.31,0.0,0.0,112.59,112.59,112.59,0.0,0.0,114.29,114.29,114.29,0.0,0.0
2016-05-08,112.83,112.83,112.83,0.0,0.0,113.52,113.52,113.52,0.0,0.0,111.93,111.93,111.93,0.0,0.0,112.06,112.06,112.06,0.0,0.0
2016-05-15,111.33,111.33,111.33,0.0,0.0,112.52,112.52,112.52,0.0,0.0,111.33,111.33,111.33,0.0,0.0,112.5,112.5,112.5,0.0,0.0
2016-05-22,114.91,114.91,114.91,0.0,0.0,115.93,115.93,115.93,0.0,0.0,114.84,114.84,114.84,0.0,0.0,115.93,115.93,115.93,0.0,0.0
2016-05-29,117.44,117.44,117.44,0.0,0.0,117.44,117.44,117.44,0.0,0.0,116.27,116.27,116.27,0.0,0.0,117.03,117.03,117.03,0.0,0.0
2016-06-05,118.17,118.17,118.17,0.0,0.0,118.52,118.52,118.52,0.0,0.0,117.38,117.38,117.38,0.0,0.0,117.71,117.71,117.71,0.0,0.0
2016-06-12,116.25,116.25,116.25,0.0,0.0,117.24,117.24,117.24,0.0,0.0,115.97,115.97,115.97,0.0,0.0,116.52,116.52,116.52,0.0,0.0
2016-06-19,114.82,114.82,114.82,0.0,0.0,115.85,115.85,115.85,0.0,0.0,113.85,113.85,113.85,0.0,0.0,114.55,114.55,114.55,0.0,0.0
2016-06-26,116.85,116.85,116.85,0.0,0.0,117.7,117.7,117.7,0.0,0.0,116.63,116.63,116.63,0.0,0.0,117.25,117.25,117.25,0.0,0.0
2016-07-03,116.87,116.87,116.87,0.0,0.0,118.97,118.97,118.97,0.0,0.0,116.87,116.87,116.87,0.0,0.0,118.81,118.81,118.81,0.0,0.0
2016-07-10,122.48,122.48,122.48,0.0,0.0,123.03,123.03,123.03,0.0,0.0,122.07,122.07,122.07,0.0,0.0,122.5,122.5,122.5,0.0,0.0
2016-07-17,121.76,121.76,121.76,0.0,0.0,122.73,122.73,122.73,0.0,0.0,121.41,121.41,121.41,0.0,0.0,122.54,122.54,122.54,0.0,0.0
2016-07-24,122.2,122.2,122.2,0.0,0.0,123.29,123.29,123.29,0.0,0.0,121.66,121.66,121.66,0.0,0.0,122.74,122.74,122.74,0.0,0.0
2016-07-31,121.93,121.93,121.93,0.0,0.0,123.41,123.41,123.41,0.0,0.0,121.83,121.83,121.83,0.0,0.0,123.09,123.09,123.09,0.0,0.0
2016-08-07,123.09,123.09,123.09,0.0,0.0,123.48,123.48,123.48,0.0,0.0,122.52,122.52,122.52,0.0,0.0,123.12,123.12,123.12,0.0,0.0
2016-08-14,123.61,123.61,123.61,0.0,0.0,124.2,124.2,124.2,0.0,0.0,123.3,123.3,123.3,0.0,0.0,124.08,124.08,124.08,0.0,0.0
2016-08-21,125.02,125.02,125.02,0.0,0.0,125.8,125.8,125.8,0.0,0.0,123.59,123.59,123.59,0.0,0.0,124.23,124.23,124.23,0.0,0.0
2016-08-28,124.63,124.63,124.63,0.0,0.0,125.61,125.61,125.61,0.0,0.0,124.63,124.63,124.63,0.0,0.0,125.61,125.61,125.61,0.0,0.0
2016-09-04,124.93,124.93,124.93,0.0,0.0,124.93,124.93,124.93,0.0,0.0,121.92,121.92,121.92,0.0,0.0,121.94,121.94,121.94,0.0,0.0
2016-09-11,121.23,121.23,121.23,0.0,0.0,121.71,121.71,121.71,0.0,0.0,121.03,121.03,121.03,0.0,0.0,121.61,121.61,121.61,0.0,0.0
2016-09-18,125.6,125.6,125.6,0.0,0.0,125.81,125.81,125.81,0.0,0.0,124.9,124.9,124.9,0.0,0.0,124.9,124.9,124.9,0.0,0.0
2016-09-25,124.04,124.04,124.04,0.0,0.0,125.33,125.33,125.33,0.0,0.0,123.48,123.48,123.48,0.0,0.0,124.81,124.81,124.81,0.0,0.0
2016-10-02,124.58,124.58,124.58,0.0,0.0,124.84,124.84,124.84,0.0,0.0,122.74,122.74,122.74,0.0,0.0,123.18,123.18,123.18,0.0,0.0
2016-10-09,121.9,121.9,121.9,0.0,0.0,122.59,122.59,122.59,0.0,0.0,121.27,121.27,121.27,0.0,0.0,121.38,121.38,121.38,0.0,0.0
