Date,First Trust Germany AlphaDEX_etf_Open_average,First Trust Germany AlphaDEX_etf_Open_max,First Trust Germany AlphaDEX_etf_Open_min,First Trust Germany AlphaDEX_etf_Open_volatility,First Trust Germany AlphaDEX_etf_Open_change,First Trust Germany AlphaDEX_etf_High_average,First Trust Germany AlphaDEX_etf_High_max,First Trust Germany AlphaDEX_etf_High_min,First Trust Germany AlphaDEX_etf_High_volatility,First Trust Germany AlphaDEX_etf_High_change,First Trust Germany AlphaDEX_etf_Low_average,First Trust Germany AlphaDEX_etf_Low_max,First Trust Germany AlphaDEX_etf_Low_min,First Trust Germany AlphaDEX_etf_Low_volatility,First Trust Germany AlphaDEX_etf_Low_change,First Trust Germany AlphaDEX_etf_Close_average,First Trust Germany AlphaDEX_etf_Close_max,First Trust Germany AlphaDEX_etf_Close_min,First Trust Germany AlphaDEX_etf_Close_volatility,First Trust Germany AlphaDEX_etf_Close_change
2016-01-03,34.19,34.19,34.19,0.0,0.0,34.19,34.19,34.19,0.0,0.0,33.48,33.48,33.48,0.0,0.0,33.56,33.56,33.56,0.0,0.0
2016-01-10,32.42,32.42,32.42,0.0,0.0,32.42,32.42,32.42,0.0,0.0,31.96,31.96,31.96,0.0,0.0,31.98,31.98,31.98,0.0,0.0
2016-01-17,33.08,33.08,33.08,0.0,0.0,33.18,33.18,33.18,0.0,0.0,33.0,33.0,33.0,0.0,0.0,33.13,33.13,33.13,0.0,0.0
2016-01-24,33.23,33.23,33.23,0.0,0.0,33.56,33.56,33.56,0.0,0.0,33.23,33.23,33.23,0.0,0.0,33.48,33.48,33.48,0.0,0.0
2016-01-31,33.22,33.22,33.22,0.0,0.0,33.23,33.23,33.23,0.0,0.0,32.68,32.68,32.68,0.0,0.0,32.72,32.72,32.72,0.0,0.0
2016-02-07,31.57,31.57,31.57,0.0,0.0,31.68,31.68,31.68,0.0,0.0,31.38,31.38,31.38,0.0,0.0,31.68,31.68,31.68,0.0,0.0
2016-02-14,32.95,32.95,32.95,0.0,0.0,33.14,33.14,33.14,0.0,0.0,32.86,32.86,32.86,0.0,0.0,33.12,33.12,33.12,0.0,0.0
2016-02-21,33.48,33.48,33.48,0.0,0.0,33.48,33.48,33.48,0.0,0.0,33.23,33.23,33.23,0.0,0.0,33.28,33.28,33.28,0.0,0.0
2016-02-28,34.92,34.92,34.92,0.0,0.0,35.12,35.12,35.12,0.0,0.0,34.92,34.92,34.92,0.0,0.0,34.99,34.99,34.99,0.0,0.0
2016-03-06,35.01,35.01,35.01,0.0,0.0,35.39,35.39,35.39,0.0,0.0,35.01,35.01,35.01,0.0,0.0,35.39,35.39,35.39,0.0,0.0
2016-03-13,36.08,36.08,36.08,0.0,0.0,36.24,36.24,36.24,0.0,0.0,36.07,36.07,36.07,0.0,0.0,36.17,36.17,36.17,0.0,0.0
2016-03-20,35.47,35.47,35.47,0.0,0.0,35.59,35.59,35.59,0.0,0.0,35.44,35.44,35.44,0.0,0.0,35.59,35.59,35.59,0.0,0.0
