Date,iShares Interest Rate Hedged High Yield BondEtf_Open_average,iShares Interest Rate Hedged High Yield BondEtf_Open_max,iShares Interest Rate Hedged High Yield BondEtf_Open_min,iShares Interest Rate Hedged High Yield BondEtf_Open_volatility,iShares Interest Rate Hedged High Yield BondEtf_Open_change,iShares Interest Rate Hedged High Yield BondEtf_High_average,iShares Interest Rate Hedged High Yield BondEtf_High_max,iShares Interest Rate Hedged High Yield BondEtf_High_min,iShares Interest Rate Hedged High Yield BondEtf_High_volatility,iShares Interest Rate Hedged High Yield BondEtf_High_change,iShares Interest Rate Hedged High Yield BondEtf_Low_average,iShares Interest Rate Hedged High Yield BondEtf_Low_max,iShares Interest Rate Hedged High Yield BondEtf_Low_min,iShares Interest Rate Hedged High Yield BondEtf_Low_volatility,iShares Interest Rate Hedged High Yield BondEtf_Low_change,iShares Interest Rate Hedged High Yield BondEtf_Close_average,iShares Interest Rate Hedged High Yield BondEtf_Close_max,iShares Interest Rate Hedged High Yield BondEtf_Close_min,iShares Interest Rate Hedged High Yield BondEtf_Close_volatility,iShares Interest Rate Hedged High Yield BondEtf_Close_change
2016-01-03,81.89,81.89,81.89,0.0,0.0,81.89,81.89,81.89,0.0,0.0,81.79,81.79,81.79,0.0,0.0,81.79,81.79,81.79,0.0,0.0
2016-01-10,79.16,79.16,79.16,0.0,0.0,79.16,79.16,79.16,0.0,0.0,79.15,79.15,79.15,0.0,0.0,79.15,79.15,79.15,0.0,0.0
2016-01-17,79.68,79.68,79.68,0.0,0.0,80.25,80.25,80.25,0.0,0.0,79.68,79.68,79.68,0.0,0.0,80.25,80.25,80.25,0.0,0.0
2016-01-24,80.34,80.34,80.34,0.0,0.0,80.67,80.67,80.67,0.0,0.0,80.34,80.34,80.34,0.0,0.0,80.67,80.67,80.67,0.0,0.0
2016-01-31,78.85,78.85,78.85,0.0,0.0,78.85,78.85,78.85,0.0,0.0,78.63,78.63,78.63,0.0,0.0,78.63,78.63,78.63,0.0,0.0
2016-02-07,76.48,76.48,76.48,0.0,0.0,77.5,77.5,77.5,0.0,0.0,76.48,76.48,76.48,0.0,0.0,77.49,77.49,77.49,0.0,0.0
2016-02-14,77.88,77.88,77.88,0.0,0.0,78.28,78.28,78.28,0.0,0.0,77.88,77.88,77.88,0.0,0.0,78.28,78.28,78.28,0.0,0.0
2016-02-21,78.94,78.94,78.94,0.0,0.0,79.31,79.31,79.31,0.0,0.0,78.94,78.94,78.94,0.0,0.0,79.29,79.29,79.29,0.0,0.0
2016-02-28,82.08,82.08,82.08,0.0,0.0,82.08,82.08,82.08,0.0,0.0,82.08,82.08,82.08,0.0,0.0,82.08,82.08,82.08,0.0,0.0
2016-03-06,83.41,83.41,83.41,0.0,0.0,83.41,83.41,83.41,0.0,0.0,83.41,83.41,83.41,0.0,0.0,83.41,83.41,83.41,0.0,0.0
