Date,NBN_stock_Open_average,NBN_stock_Open_max,NBN_stock_Open_min,NBN_stock_Open_volatility,NBN_stock_Open_change,NBN_stock_High_average,NBN_stock_High_max,NBN_stock_High_min,NBN_stock_High_volatility,NBN_stock_High_change,NBN_stock_Low_average,NBN_stock_Low_max,NBN_stock_Low_min,NBN_stock_Low_volatility,NBN_stock_Low_change,NBN_stock_Close_average,NBN_stock_Close_max,NBN_stock_Close_min,NBN_stock_Close_volatility,NBN_stock_Close_change,NBN_stock_Volume_average,NBN_stock_Volume_max,NBN_stock_Volume_min,NBN_stock_Volume_volatility,NBN_stock_Volume_change
2016-01-03,10.342,10.46,10.26,0.20000000000000107,0.02999999999999936,10.434000000000001,10.58,10.3,0.27999999999999936,-0.27999999999999936,10.318,10.46,10.23,0.23000000000000043,-0.009999999999999787,10.39,10.56,10.23,0.33000000000000007,-0.33000000000000007,2676,5526,120,5406,4314
2016-01-10,10.282,10.35,10.1,0.25,-0.25,10.378,10.5,10.14,0.35999999999999943,-0.20999999999999908,10.2,10.35,9.97,0.379999999999999,-0.379999999999999,10.236,10.46,9.97,0.4900000000000002,-0.379999999999999,2223,3662,14,3648,3648
2016-01-17,9.809999999999999,10.01,9.61,0.40000000000000036,-0.23000000000000043,9.885,10.09,9.78,0.3100000000000005,-0.3100000000000005,9.79,9.97,9.61,0.3600000000000012,-0.22000000000000064,9.86,10.01,9.78,0.23000000000000043,-0.23000000000000043,3350,5214,1411,3803,-654
2016-01-24,10.026,10.36,9.64,0.7199999999999989,0.5199999999999996,10.23,10.66,9.74,0.9199999999999999,0.2599999999999998,9.9,10.17,9.64,0.5299999999999994,0.08999999999999986,10.064,10.5,9.74,0.7599999999999998,0.5700000000000003,1592,2974,325,2649,1805
2016-01-31,10.172,10.39,9.78,0.6100000000000012,0.08999999999999986,10.276,10.39,10.05,0.33999999999999986,0.08999999999999986,10.068,10.32,9.78,0.5400000000000009,0.08999999999999986,10.192,10.33,10.05,0.27999999999999936,0.17999999999999972,1882,4213,250,3963,2474
2016-02-07,9.8225,9.97,9.75,0.22000000000000064,-0.009999999999999787,9.9375,10.2,9.78,0.41999999999999993,-0.3999999999999986,9.7075,9.79,9.56,0.22999999999999865,-0.22999999999999865,9.83,9.99,9.76,0.23000000000000043,-0.20000000000000107,3734,6401,1862,4539,2218
2016-02-14,9.7675,9.9,9.6,0.3000000000000007,-0.2900000000000009,9.940000000000001,10.05,9.81,0.2400000000000002,0.05000000000000071,9.735,9.85,9.59,0.2599999999999998,-0.2599999999999998,9.845,9.91,9.75,0.16000000000000014,0.009999999999999787,55059,97806,1819,95987,65209
2016-02-21,9.972,10.24,9.74,0.5,0.5,10.248,10.3,10.2,0.10000000000000142,-0.009999999999999787,9.926,10.07,9.74,0.33000000000000007,0.33000000000000007,10.15,10.25,10.04,0.21000000000000085,-0.11999999999999922,10224,18853,1691,17162,-6082
2016-02-28,10.238,10.48,9.95,0.5300000000000011,-0.22000000000000064,10.446,10.62,10.2,0.41999999999999993,-0.20999999999999908,9.97,10.17,9.85,0.3200000000000003,0.2599999999999998,10.196,10.48,9.91,0.5700000000000003,0.41999999999999993,8364,15737,188,15549,-8457
2016-03-06,10.452,10.53,10.37,0.16000000000000014,0.11999999999999922,10.645999999999999,10.75,10.5,0.25,0.25,10.354,10.43,10.24,0.1899999999999995,0.0,10.478,10.57,10.36,0.21000000000000085,0.0,11900,19565,2459,17106,-7074
