Date,KraneShares E China Commercial Paper_etf_Open_average,KraneShares E China Commercial Paper_etf_Open_max,KraneShares E China Commercial Paper_etf_Open_min,KraneShares E China Commercial Paper_etf_Open_volatility,KraneShares E China Commercial Paper_etf_Open_change,KraneShares E China Commercial Paper_etf_High_average,KraneShares E China Commercial Paper_etf_High_max,KraneShares E China Commercial Paper_etf_High_min,KraneShares E China Commercial Paper_etf_High_volatility,KraneShares E China Commercial Paper_etf_High_change,KraneShares E China Commercial Paper_etf_Low_average,KraneShares E China Commercial Paper_etf_Low_max,KraneShares E China Commercial Paper_etf_Low_min,KraneShares E China Commercial Paper_etf_Low_volatility,KraneShares E China Commercial Paper_etf_Low_change,KraneShares E China Commercial Paper_etf_Close_average,KraneShares E China Commercial Paper_etf_Close_max,KraneShares E China Commercial Paper_etf_Close_min,KraneShares E China Commercial Paper_etf_Close_volatility,KraneShares E China Commercial Paper_etf_Close_change
2016-01-03,33.16,33.16,33.16,0.0,0.0,33.22,33.22,33.22,0.0,0.0,32.85,32.85,32.85,0.0,0.0,33.1,33.1,33.1,0.0,0.0
2016-01-10,32.95,32.95,32.95,0.0,0.0,33.25,33.25,33.25,0.0,0.0,32.95,32.95,32.95,0.0,0.0,33.07,33.07,33.07,0.0,0.0
2016-01-17,33.02,33.02,33.02,0.0,0.0,33.09,33.09,33.09,0.0,0.0,33.02,33.02,33.02,0.0,0.0,33.07,33.07,33.07,0.0,0.0
2016-01-24,33.07,33.07,33.07,0.0,0.0,33.2,33.2,33.2,0.0,0.0,33.07,33.07,33.07,0.0,0.0,33.14,33.14,33.14,0.0,0.0
2016-01-31,33.12,33.12,33.12,0.0,0.0,33.33,33.33,33.33,0.0,0.0,33.05,33.05,33.05,0.0,0.0,33.26,33.26,33.26,0.0,0.0
2016-02-07,33.29,33.29,33.29,0.0,0.0,33.43,33.43,33.43,0.0,0.0,33.29,33.29,33.29,0.0,0.0,33.35,33.35,33.35,0.0,0.0
2016-02-14,33.43,33.43,33.43,0.0,0.0,33.7,33.7,33.7,0.0,0.0,33.43,33.43,33.43,0.0,0.0,33.54,33.54,33.54,0.0,0.0
2016-02-21,33.52,33.52,33.52,0.0,0.0,33.67,33.67,33.67,0.0,0.0,33.52,33.52,33.52,0.0,0.0,33.57,33.57,33.57,0.0,0.0
2016-02-28,33.52,33.52,33.52,0.0,0.0,33.69,33.69,33.69,0.0,0.0,33.52,33.52,33.52,0.0,0.0,33.68,33.68,33.68,0.0,0.0
2016-03-06,33.71,33.71,33.71,0.0,0.0,33.83,33.83,33.83,0.0,0.0,33.71,33.71,33.71,0.0,0.0,33.79,33.79,33.79,0.0,0.0
2016-03-13,33.91,33.91,33.91,0.0,0.0,33.98,33.98,33.98,0.0,0.0,33.91,33.91,33.91,0.0,0.0,33.98,33.98,33.98,0.0,0.0
2016-03-20,33.76,33.76,33.76,0.0,0.0,33.78,33.78,33.78,0.0,0.0,33.72,33.72,33.72,0.0,0.0,33.75,33.75,33.75,0.0,0.0
2016-03-27,34.05,34.05,34.05,0.0,0.0,34.08,34.08,34.08,0.0,0.0,34.04,34.04,34.04,0.0,0.0,34.04,34.04,34.04,0.0,0.0
2016-04-03,33.95,33.95,33.95,0.0,0.0,34.06,34.06,34.06,0.0,0.0,33.95,33.95,33.95,0.0,0.0,34.06,34.06,34.06,0.0,0.0
2016-04-10,33.92,33.92,33.92,0.0,0.0,34.08,34.08,34.08,0.0,0.0,33.92,33.92,33.92,0.0,0.0,33.99,33.99,33.99,0.0,0.0
2016-04-17,33.98,33.98,33.98,0.0,0.0,34.04,34.04,34.04,0.0,0.0,33.96,33.96,33.96,0.0,0.0,34.01,34.01,34.01,0.0,0.0
2016-04-24,34.02,34.02,34.02,0.0,0.0,34.14,34.14,34.14,0.0,0.0,34.02,34.02,34.02,0.0,0.0,34.09,34.09,34.09,0.0,0.0
2016-05-01,33.99,33.99,33.99,0.0,0.0,33.99,33.99,33.99,0.0,0.0,33.97,33.97,33.97,0.0,0.0,33.97,33.97,33.97,0.0,0.0
2016-05-08,33.8,33.8,33.8,0.0,0.0,33.84,33.84,33.84,0.0,0.0,33.79,33.79,33.79,0.0,0.0,33.84,33.84,33.84,0.0,0.0
2016-05-15,33.62,33.62,33.62,0.0,0.0,33.64,33.64,33.64,0.0,0.0,33.6,33.6,33.6,0.0,0.0,33.62,33.62,33.62,0.0,0.0
2016-05-22,33.38,33.38,33.38,0.0,0.0,33.58,33.58,33.58,0.0,0.0,33.38,33.38,33.38,0.0,0.0,33.56,33.56,33.56,0.0,0.0
2016-05-29,33.6,33.6,33.6,0.0,0.0,33.77,33.77,33.77,0.0,0.0,33.6,33.6,33.6,0.0,0.0,33.72,33.72,33.72,0.0,0.0
2016-06-05,33.52,33.52,33.52,0.0,0.0,33.56,33.56,33.56,0.0,0.0,33.51,33.51,33.51,0.0,0.0,33.52,33.52,33.52,0.0,0.0
2016-06-12,33.47,33.47,33.47,0.0,0.0,33.52,33.52,33.52,0.0,0.0,33.47,33.47,33.47,0.0,0.0,33.48,33.48,33.48,0.0,0.0
2016-06-19,33.5,33.5,33.5,0.0,0.0,33.5,33.5,33.5,0.0,0.0,33.33,33.33,33.33,0.0,0.0,33.33,33.33,33.33,0.0,0.0
2016-06-26,33.21,33.21,33.21,0.0,0.0,33.21,33.21,33.21,0.0,0.0,33.19,33.19,33.19,0.0,0.0,33.2,33.2,33.2,0.0,0.0
2016-07-03,33.03,33.03,33.03,0.0,0.0,33.05,33.05,33.05,0.0,0.0,33.03,33.03,33.03,0.0,0.0,33.05,33.05,33.05,0.0,0.0
2016-07-10,33.02,33.02,33.02,0.0,0.0,33.04,33.04,33.04,0.0,0.0,33.0,33.0,33.0,0.0,0.0,33.04,33.04,33.04,0.0,0.0
2016-07-17,33.13,33.13,33.13,0.0,0.0,33.13,33.13,33.13,0.0,0.0,33.1,33.1,33.1,0.0,0.0,33.13,33.13,33.13,0.0,0.0
2016-07-24,33.39,33.39,33.39,0.0,0.0,33.45,33.45,33.45,0.0,0.0,33.37,33.37,33.37,0.0,0.0,33.45,33.45,33.45,0.0,0.0
2016-07-31,33.29,33.29,33.29,0.0,0.0,33.3,33.3,33.3,0.0,0.0,33.29,33.29,33.29,0.0,0.0,33.29,33.29,33.29,0.0,0.0
2016-08-07,33.38,33.38,33.38,0.0,0.0,33.39,33.39,33.39,0.0,0.0,33.38,33.38,33.38,0.0,0.0,33.38,33.38,33.38,0.0,0.0
2016-08-14,33.35,33.35,33.35,0.0,0.0,33.35,33.35,33.35,0.0,0.0,33.31,33.31,33.31,0.0,0.0,33.32,33.32,33.32,0.0,0.0
2016-08-21,33.27,33.27,33.27,0.0,0.0,33.34,33.34,33.34,0.0,0.0,33.23,33.23,33.23,0.0,0.0,33.28,33.28,33.28,0.0,0.0
2016-08-28,33.12,33.12,33.12,0.0,0.0,33.2,33.2,33.2,0.0,0.0,33.11,33.11,33.11,0.0,0.0,33.15,33.15,33.15,0.0,0.0
2016-09-04,33.3,33.3,33.3,0.0,0.0,33.3,33.3,33.3,0.0,0.0,33.23,33.23,33.23,0.0,0.0,33.27,33.27,33.27,0.0,0.0
2016-09-11,33.38,33.38,33.38,0.0,0.0,33.38,33.38,33.38,0.0,0.0,33.24,33.24,33.24,0.0,0.0,33.38,33.38,33.38,0.0,0.0
2016-09-18,33.26,33.26,33.26,0.0,0.0,33.3,33.3,33.3,0.0,0.0,33.26,33.26,33.26,0.0,0.0,33.3,33.3,33.3,0.0,0.0
2016-09-25,33.37,33.37,33.37,0.0,0.0,33.37,33.37,33.37,0.0,0.0,33.36,33.36,33.36,0.0,0.0,33.36,33.36,33.36,0.0,0.0
2016-10-02,33.31,33.31,33.31,0.0,0.0,33.31,33.31,33.31,0.0,0.0,33.27,33.27,33.27,0.0,0.0,33.28,33.28,33.28,0.0,0.0
2016-10-09,32.99,32.99,32.99,0.0,0.0,32.99,32.99,32.99,0.0,0.0,32.97,32.97,32.97,0.0,0.0,32.97,32.97,32.97,0.0,0.0
2016-10-16,32.84,32.84,32.84,0.0,0.0,32.9,32.9,32.9,0.0,0.0,32.84,32.84,32.84,0.0,0.0,32.9,32.9,32.9,0.0,0.0
2016-10-23,32.81,32.81,32.81,0.0,0.0,32.81,32.81,32.81,0.0,0.0,32.81,32.81,32.81,0.0,0.0,32.81,32.81,32.81,0.0,0.0
2016-10-30,32.89,32.89,32.89,0.0,0.0,32.89,32.89,32.89,0.0,0.0,32.89,32.89,32.89,0.0,0.0,32.89,32.89,32.89,0.0,0.0
2016-11-06,32.9,32.9,32.9,0.0,0.0,32.9,32.9,32.9,0.0,0.0,32.9,32.9,32.9,0.0,0.0,32.9,32.9,32.9,0.0,0.0
2016-11-13,32.26,32.26,32.26,0.0,0.0,32.48,32.48,32.48,0.0,0.0,32.26,32.26,32.26,0.0,0.0,32.4,32.4,32.4,0.0,0.0
2016-11-20,32.54,32.54,32.54,0.0,0.0,32.54,32.54,32.54,0.0,0.0,32.32,32.32,32.32,0.0,0.0,32.32,32.32,32.32,0.0,0.0
2016-11-27,32.46,32.46,32.46,0.0,0.0,32.5,32.5,32.5,0.0,0.0,32.46,32.46,32.46,0.0,0.0,32.5,32.5,32.5,0.0,0.0
2016-12-04,32.35,32.35,32.35,0.0,0.0,32.38,32.38,32.38,0.0,0.0,32.33,32.33,32.33,0.0,0.0,32.38,32.38,32.38,0.0,0.0
2016-12-11,32.01,32.01,32.01,0.0,0.0,32.05,32.05,32.05,0.0,0.0,31.95,31.95,31.95,0.0,0.0,31.95,31.95,31.95,0.0,0.0
2016-12-18,32.0,32.0,32.0,0.0,0.0,32.0,32.0,32.0,0.0,0.0,31.91,31.91,31.91,0.0,0.0,32.0,32.0,32.0,0.0,0.0
2016-12-25,31.97,31.97,31.97,0.0,0.0,31.97,31.97,31.97,0.0,0.0,31.94,31.94,31.94,0.0,0.0,31.94,31.94,31.94,0.0,0.0
2017-01-01,32.37,32.37,32.37,0.0,0.0,32.37,32.37,32.37,0.0,0.0,32.29,32.29,32.29,0.0,0.0,32.29,32.29,32.29,0.0,0.0
2017-01-08,32.29,32.29,32.29,0.0,0.0,32.32,32.32,32.32,0.0,0.0,32.29,32.29,32.29,0.0,0.0,32.3,32.3,32.3,0.0,0.0
