Date,iPath S&P GSCI Crude Oil Total ReturnEtf_Open_average,iPath S&P GSCI Crude Oil Total ReturnEtf_Open_max,iPath S&P GSCI Crude Oil Total ReturnEtf_Open_min,iPath S&P GSCI Crude Oil Total ReturnEtf_Open_volatility,iPath S&P GSCI Crude Oil Total ReturnEtf_Open_change,iPath S&P GSCI Crude Oil Total ReturnEtf_High_average,iPath S&P GSCI Crude Oil Total ReturnEtf_High_max,iPath S&P GSCI Crude Oil Total ReturnEtf_High_min,iPath S&P GSCI Crude Oil Total ReturnEtf_High_volatility,iPath S&P GSCI Crude Oil Total ReturnEtf_High_change,iPath S&P GSCI Crude Oil Total ReturnEtf_Low_average,iPath S&P GSCI Crude Oil Total ReturnEtf_Low_max,iPath S&P GSCI Crude Oil Total ReturnEtf_Low_min,iPath S&P GSCI Crude Oil Total ReturnEtf_Low_volatility,iPath S&P GSCI Crude Oil Total ReturnEtf_Low_change,iPath S&P GSCI Crude Oil Total ReturnEtf_Close_average,iPath S&P GSCI Crude Oil Total ReturnEtf_Close_max,iPath S&P GSCI Crude Oil Total ReturnEtf_Close_min,iPath S&P GSCI Crude Oil Total ReturnEtf_Close_volatility,iPath S&P GSCI Crude Oil Total ReturnEtf_Close_change
2016-01-03,5.79,5.79,5.79,0.0,0.0,5.8,5.8,5.8,0.0,0.0,5.64,5.64,5.64,0.0,0.0,5.67,5.67,5.67,0.0,0.0
2016-01-10,5.24,5.24,5.24,0.0,0.0,5.72,5.72,5.72,0.0,0.0,5.21,5.21,5.21,0.0,0.0,5.61,5.61,5.61,0.0,0.0
2016-01-17,4.82,4.82,4.82,0.0,0.0,4.85,4.85,4.85,0.0,0.0,4.59,4.59,4.59,0.0,0.0,4.83,4.83,4.83,0.0,0.0
2016-01-24,5.18,5.18,5.18,0.0,0.0,5.22,5.22,5.22,0.0,0.0,4.94,4.94,4.94,0.0,0.0,5.12,5.12,5.12,0.0,0.0
2016-01-31,4.82,4.82,4.82,0.0,0.0,4.94,4.94,4.94,0.0,0.0,4.73,4.73,4.73,0.0,0.0,4.81,4.81,4.81,0.0,0.0
2016-02-07,4.59,4.59,4.59,0.0,0.0,4.66,4.66,4.66,0.0,0.0,4.49,4.49,4.49,0.0,0.0,4.54,4.54,4.54,0.0,0.0
2016-02-14,4.53,4.53,4.53,0.0,0.0,4.65,4.65,4.65,0.0,0.0,4.53,4.53,4.53,0.0,0.0,4.63,4.63,4.63,0.0,0.0
2016-02-21,4.95,4.95,4.95,0.0,0.0,4.96,4.96,4.96,0.0,0.0,4.66,4.66,4.66,0.0,0.0,4.74,4.74,4.74,0.0,0.0
2016-02-28,5.04,5.04,5.04,0.0,0.0,5.18,5.18,5.18,0.0,0.0,4.98,4.98,4.98,0.0,0.0,5.17,5.17,5.17,0.0,0.0
2016-03-06,5.51,5.51,5.51,0.0,0.0,5.58,5.58,5.58,0.0,0.0,5.41,5.41,5.41,0.0,0.0,5.48,5.48,5.48,0.0,0.0
2016-03-13,5.76,5.76,5.76,0.0,0.0,5.85,5.85,5.85,0.0,0.0,5.62,5.62,5.62,0.0,0.0,5.66,5.66,5.66,0.0,0.0
2016-03-20,5.16,5.16,5.16,0.0,0.0,5.33,5.33,5.33,0.0,0.0,5.13,5.13,5.13,0.0,0.0,5.3,5.3,5.3,0.0,0.0
