Date,Vanguard Long-Term Government BondEtf_Open_average,Vanguard Long-Term Government BondEtf_Open_max,Vanguard Long-Term Government BondEtf_Open_min,Vanguard Long-Term Government BondEtf_Open_volatility,Vanguard Long-Term Government BondEtf_Open_change,Vanguard Long-Term Government BondEtf_High_average,Vanguard Long-Term Government BondEtf_High_max,Vanguard Long-Term Government BondEtf_High_min,Vanguard Long-Term Government BondEtf_High_volatility,Vanguard Long-Term Government BondEtf_High_change,Vanguard Long-Term Government BondEtf_Low_average,Vanguard Long-Term Government BondEtf_Low_max,Vanguard Long-Term Government BondEtf_Low_min,Vanguard Long-Term Government BondEtf_Low_volatility,Vanguard Long-Term Government BondEtf_Low_change,Vanguard Long-Term Government BondEtf_Close_average,Vanguard Long-Term Government BondEtf_Close_max,Vanguard Long-Term Government BondEtf_Close_min,Vanguard Long-Term Government BondEtf_Close_volatility,Vanguard Long-Term Government BondEtf_Close_change
2016-01-03,75.68,75.68,75.68,0.0,0.0,76.3,76.3,76.3,0.0,0.0,75.52,75.52,75.52,0.0,0.0,76.18,76.18,76.18,0.0,0.0
2016-01-10,77.41,77.41,77.41,0.0,0.0,77.71,77.71,77.71,0.0,0.0,77.2,77.2,77.2,0.0,0.0,77.57,77.57,77.57,0.0,0.0
2016-01-17,77.1,77.1,77.1,0.0,0.0,77.5,77.5,77.5,0.0,0.0,76.9,76.9,76.9,0.0,0.0,77.43,77.43,77.43,0.0,0.0
2016-01-24,78.58,78.58,78.58,0.0,0.0,78.85,78.85,78.85,0.0,0.0,78.34,78.34,78.34,0.0,0.0,78.52,78.52,78.52,0.0,0.0
2016-01-31,78.88,78.88,78.88,0.0,0.0,79.49,79.49,79.49,0.0,0.0,78.71,78.71,78.71,0.0,0.0,79.45,79.45,79.45,0.0,0.0
2016-02-07,81.6,81.6,81.6,0.0,0.0,81.91,81.91,81.91,0.0,0.0,80.6,80.6,80.6,0.0,0.0,81.04,81.04,81.04,0.0,0.0
2016-02-14,80.62,80.62,80.62,0.0,0.0,81.1,81.1,81.1,0.0,0.0,80.5,80.5,80.5,0.0,0.0,80.66,80.66,80.66,0.0,0.0
2016-02-21,80.26,80.26,80.26,0.0,0.0,80.51,80.51,80.51,0.0,0.0,80.11,80.11,80.11,0.0,0.0,80.35,80.35,80.35,0.0,0.0
2016-02-28,79.31,79.31,79.31,0.0,0.0,79.54,79.54,79.54,0.0,0.0,78.71,78.71,78.71,0.0,0.0,79.24,79.24,79.24,0.0,0.0
2016-03-06,79.34,79.34,79.34,0.0,0.0,79.34,79.34,79.34,0.0,0.0,78.4,78.4,78.4,0.0,0.0,78.4,78.4,78.4,0.0,0.0
2016-03-13,79.48,79.48,79.48,0.0,0.0,79.74,79.74,79.74,0.0,0.0,79.32,79.32,79.32,0.0,0.0,79.53,79.53,79.53,0.0,0.0
2016-03-20,80.35,80.35,80.35,0.0,0.0,80.39,80.39,80.39,0.0,0.0,79.33,79.33,79.33,0.0,0.0,79.73,79.73,79.73,0.0,0.0
2016-03-27,80.56,80.56,80.56,0.0,0.0,80.68,80.68,80.68,0.0,0.0,80.01,80.01,80.01,0.0,0.0,80.49,80.49,80.49,0.0,0.0
2016-04-03,81.33,81.33,81.33,0.0,0.0,81.39,81.39,81.39,0.0,0.0,81.0,81.0,81.0,0.0,0.0,81.27,81.27,81.27,0.0,0.0
2016-04-10,80.8,80.8,80.8,0.0,0.0,81.34,81.34,81.34,0.0,0.0,80.8,80.8,80.8,0.0,0.0,81.04,81.04,81.04,0.0,0.0
2016-04-17,79.37,79.37,79.37,0.0,0.0,79.41,79.41,79.41,0.0,0.0,79.06,79.06,79.06,0.0,0.0,79.18,79.18,79.18,0.0,0.0
2016-04-24,79.18,79.18,79.18,0.0,0.0,80.0,80.0,80.0,0.0,0.0,79.07,79.07,79.07,0.0,0.0,80.0,80.0,80.0,0.0,0.0
2016-05-01,80.55,80.55,80.55,0.0,0.0,80.57,80.57,80.57,0.0,0.0,80.22,80.22,80.22,0.0,0.0,80.38,80.38,80.38,0.0,0.0
2016-05-08,80.9,80.9,80.9,0.0,0.0,81.44,81.44,81.44,0.0,0.0,80.84,80.84,80.84,0.0,0.0,81.44,81.44,81.44,0.0,0.0
2016-05-15,79.85,79.85,79.85,0.0,0.0,80.39,80.39,80.39,0.0,0.0,79.83,79.83,79.83,0.0,0.0,80.14,80.14,80.14,0.0,0.0
2016-05-22,80.14,80.14,80.14,0.0,0.0,80.25,80.25,80.25,0.0,0.0,79.88,79.88,79.88,0.0,0.0,80.16,80.16,80.16,0.0,0.0
2016-05-29,81.75,81.75,81.75,0.0,0.0,81.9,81.9,81.9,0.0,0.0,81.6,81.6,81.6,0.0,0.0,81.83,81.83,81.83,0.0,0.0
2016-06-05,82.85,82.85,82.85,0.0,0.0,83.19,83.19,83.19,0.0,0.0,82.55,82.55,82.55,0.0,0.0,82.72,82.72,82.72,0.0,0.0
2016-06-12,83.66,83.66,83.66,0.0,0.0,83.72,83.72,83.72,0.0,0.0,83.07,83.07,83.07,0.0,0.0,83.34,83.34,83.34,0.0,0.0
2016-06-19,84.06,84.06,84.06,0.0,0.0,84.06,84.06,84.06,0.0,0.0,83.19,83.19,83.19,0.0,0.0,83.43,83.43,83.43,0.0,0.0
2016-06-26,86.35,86.35,86.35,0.0,0.0,86.35,86.35,86.35,0.0,0.0,85.31,85.31,85.31,0.0,0.0,86.17,86.17,86.17,0.0,0.0
2016-07-03,87.51,87.51,87.51,0.0,0.0,87.92,87.92,87.92,0.0,0.0,87.19,87.19,87.19,0.0,0.0,87.9,87.9,87.9,0.0,0.0
2016-07-10,85.18,85.18,85.18,0.0,0.0,85.25,85.25,85.25,0.0,0.0,84.69,84.69,84.69,0.0,0.0,84.87,84.87,84.87,0.0,0.0
2016-07-17,84.55,84.55,84.55,0.0,0.0,85.35,85.35,85.35,0.0,0.0,84.55,84.55,84.55,0.0,0.0,85.14,85.14,85.14,0.0,0.0
2016-07-24,86.0,86.0,86.0,0.0,0.0,86.76,86.76,86.76,0.0,0.0,85.91,85.91,85.91,0.0,0.0,86.74,86.74,86.74,0.0,0.0
2016-07-31,85.24,85.24,85.24,0.0,0.0,85.36,85.36,85.36,0.0,0.0,84.5,84.5,84.5,0.0,0.0,84.65,84.65,84.65,0.0,0.0
2016-08-07,85.94,85.94,85.94,0.0,0.0,86.23,86.23,86.23,0.0,0.0,85.61,85.61,85.61,0.0,0.0,85.8,85.8,85.8,0.0,0.0
2016-08-14,84.96,84.96,84.96,0.0,0.0,85.18,85.18,85.18,0.0,0.0,84.68,84.68,84.68,0.0,0.0,85.01,85.01,85.01,0.0,0.0
2016-08-21,85.6,85.6,85.6,0.0,0.0,86.1,86.1,86.1,0.0,0.0,84.67,84.67,84.67,0.0,0.0,84.85,84.85,84.85,0.0,0.0
2016-08-28,85.13,85.13,85.13,0.0,0.0,85.13,85.13,85.13,0.0,0.0,84.69,84.69,84.69,0.0,0.0,85.0,85.0,85.0,0.0,0.0
2016-09-04,83.53,83.53,83.53,0.0,0.0,83.53,83.53,83.53,0.0,0.0,83.14,83.14,83.14,0.0,0.0,83.24,83.24,83.24,0.0,0.0
2016-09-11,82.65,82.65,82.65,0.0,0.0,82.81,82.81,82.81,0.0,0.0,82.46,82.46,82.46,0.0,0.0,82.81,82.81,82.81,0.0,0.0
2016-09-18,84.09,84.09,84.09,0.0,0.0,84.22,84.22,84.22,0.0,0.0,83.89,83.89,83.89,0.0,0.0,83.96,83.96,83.96,0.0,0.0
2016-09-25,84.95,84.95,84.95,0.0,0.0,84.95,84.95,84.95,0.0,0.0,83.97,83.97,83.97,0.0,0.0,84.46,84.46,84.46,0.0,0.0
2016-10-02,82.29,82.29,82.29,0.0,0.0,82.52,82.52,82.52,0.0,0.0,81.81,81.81,81.81,0.0,0.0,82.31,82.31,82.31,0.0,0.0
2016-10-09,81.28,81.28,81.28,0.0,0.0,81.71,81.71,81.71,0.0,0.0,80.91,80.91,80.91,0.0,0.0,80.99,80.99,80.99,0.0,0.0
2016-10-16,82.07,82.07,82.07,0.0,0.0,82.12,82.12,82.12,0.0,0.0,81.72,81.72,81.72,0.0,0.0,82.01,82.01,82.01,0.0,0.0
2016-10-23,80.22,80.22,80.22,0.0,0.0,80.48,80.48,80.48,0.0,0.0,80.22,80.22,80.22,0.0,0.0,80.3,80.3,80.3,0.0,0.0
2016-10-30,80.72,80.72,80.72,0.0,0.0,81.02,81.02,81.02,0.0,0.0,80.66,80.66,80.66,0.0,0.0,80.97,80.97,80.97,0.0,0.0
2016-11-06,75.95,75.95,75.95,0.0,0.0,76.11,76.11,76.11,0.0,0.0,75.16,75.16,75.16,0.0,0.0,75.51,75.51,75.51,0.0,0.0
2016-11-13,75.12,75.12,75.12,0.0,0.0,75.27,75.27,75.27,0.0,0.0,74.5,74.5,74.5,0.0,0.0,74.85,74.85,74.85,0.0,0.0
2016-11-20,74.85,74.85,74.85,0.0,0.0,74.95,74.95,74.95,0.0,0.0,74.49,74.49,74.49,0.0,0.0,74.73,74.73,74.73,0.0,0.0
2016-11-27,73.65,73.65,73.65,0.0,0.0,74.21,74.21,74.21,0.0,0.0,73.65,73.65,73.65,0.0,0.0,73.98,73.98,73.98,0.0,0.0
2016-12-04,73.25,73.25,73.25,0.0,0.0,73.47,73.47,73.47,0.0,0.0,72.61,72.61,72.61,0.0,0.0,72.68,72.68,72.68,0.0,0.0
2016-12-11,72.69,72.69,72.69,0.0,0.0,72.83,72.83,72.83,0.0,0.0,72.21,72.21,72.21,0.0,0.0,72.43,72.43,72.43,0.0,0.0
2016-12-18,73.02,73.02,73.02,0.0,0.0,73.11,73.11,73.11,0.0,0.0,72.89,72.89,72.89,0.0,0.0,72.96,72.96,72.96,0.0,0.0
2016-12-25,73.42,73.42,73.42,0.0,0.0,73.88,73.88,73.88,0.0,0.0,73.39,73.39,73.39,0.0,0.0,73.69,73.69,73.69,0.0,0.0
2017-01-01,74.76,74.76,74.76,0.0,0.0,74.99,74.99,74.99,0.0,0.0,74.5,74.5,74.5,0.0,0.0,74.52,74.52,74.52,0.0,0.0
2017-01-08,74.9,74.9,74.9,0.0,0.0,75.05,75.05,75.05,0.0,0.0,74.46,74.46,74.46,0.0,0.0,74.82,74.82,74.82,0.0,0.0
2017-01-15,74.02,74.02,74.02,0.0,0.0,74.2,74.2,74.2,0.0,0.0,73.38,73.38,73.38,0.0,0.0,74.02,74.02,74.02,0.0,0.0
2017-01-22,73.71,73.71,73.71,0.0,0.0,73.99,73.99,73.99,0.0,0.0,73.66,73.66,73.66,0.0,0.0,73.87,73.87,73.87,0.0,0.0
2017-01-29,73.78,73.78,73.78,0.0,0.0,74.0,74.0,74.0,0.0,0.0,73.25,73.25,73.25,0.0,0.0,73.48,73.48,73.48,0.0,0.0
2017-02-05,74.16,74.16,74.16,0.0,0.0,74.64,74.64,74.64,0.0,0.0,74.16,74.16,74.16,0.0,0.0,74.54,74.54,74.54,0.0,0.0
2017-02-12,74.5,74.5,74.5,0.0,0.0,74.5,74.5,74.5,0.0,0.0,74.24,74.24,74.24,0.0,0.0,74.34,74.34,74.34,0.0,0.0
2017-02-19,74.96,74.96,74.96,0.0,0.0,75.4,75.4,75.4,0.0,0.0,74.94,74.94,74.94,0.0,0.0,75.31,75.31,75.31,0.0,0.0
