Date,Proshares UltraPro NASDAQ BiotechnologyEtf_Open_average,Proshares UltraPro NASDAQ BiotechnologyEtf_Open_max,Proshares UltraPro NASDAQ BiotechnologyEtf_Open_min,Proshares UltraPro NASDAQ BiotechnologyEtf_Open_volatility,Proshares UltraPro NASDAQ BiotechnologyEtf_Open_change,Proshares UltraPro NASDAQ BiotechnologyEtf_High_average,Proshares UltraPro NASDAQ BiotechnologyEtf_High_max,Proshares UltraPro NASDAQ BiotechnologyEtf_High_min,Proshares UltraPro NASDAQ BiotechnologyEtf_High_volatility,Proshares UltraPro NASDAQ BiotechnologyEtf_High_change,Proshares UltraPro NASDAQ BiotechnologyEtf_Low_average,Proshares UltraPro NASDAQ BiotechnologyEtf_Low_max,Proshares UltraPro NASDAQ BiotechnologyEtf_Low_min,Proshares UltraPro NASDAQ BiotechnologyEtf_Low_volatility,Proshares UltraPro NASDAQ BiotechnologyEtf_Low_change,Proshares UltraPro NASDAQ BiotechnologyEtf_Close_average,Proshares UltraPro NASDAQ BiotechnologyEtf_Close_max,Proshares UltraPro NASDAQ BiotechnologyEtf_Close_min,Proshares UltraPro NASDAQ BiotechnologyEtf_Close_volatility,Proshares UltraPro NASDAQ BiotechnologyEtf_Close_change
2016-01-03,45.13,45.13,45.13,0.0,0.0,45.13,45.13,45.13,0.0,0.0,40.51,40.51,40.51,0.0,0.0,40.65,40.65,40.65,0.0,0.0
2016-01-10,31.35,31.35,31.35,0.0,0.0,33.9,33.9,33.9,0.0,0.0,30.86,30.86,30.86,0.0,0.0,33.08,33.08,33.08,0.0,0.0
2016-01-17,33.68,33.68,33.68,0.0,0.0,34.52,34.52,34.52,0.0,0.0,32.14,32.14,32.14,0.0,0.0,34.19,34.19,34.19,0.0,0.0
2016-01-24,25.92,25.92,25.92,0.0,0.0,27.35,27.35,27.35,0.0,0.0,25.17,25.17,25.17,0.0,0.0,26.99,26.99,26.99,0.0,0.0
2016-01-31,25.96,25.96,25.96,0.0,0.0,26.13,26.13,26.13,0.0,0.0,22.75,22.75,22.75,0.0,0.0,23.7,23.7,23.7,0.0,0.0
2016-02-07,21.29,21.29,21.29,0.0,0.0,22.17,22.17,22.17,0.0,0.0,19.75,19.75,19.75,0.0,0.0,22.08,22.08,22.08,0.0,0.0
2016-02-14,23.89,23.89,23.89,0.0,0.0,25.09,25.09,25.09,0.0,0.0,23.17,23.17,23.17,0.0,0.0,24.81,24.81,24.81,0.0,0.0
2016-02-21,24.64,24.64,24.64,0.0,0.0,25.3,25.3,25.3,0.0,0.0,24.25,24.25,24.25,0.0,0.0,24.7,24.7,24.7,0.0,0.0
2016-02-28,25.44,25.44,25.44,0.0,0.0,26.25,26.25,26.25,0.0,0.0,24.5,24.5,24.5,0.0,0.0,25.04,25.04,25.04,0.0,0.0
2016-03-06,23.36,23.36,23.36,0.0,0.0,24.47,24.47,24.47,0.0,0.0,22.98,22.98,22.98,0.0,0.0,24.44,24.44,24.44,0.0,0.0
2016-03-13,20.48,20.48,20.48,0.0,0.0,21.78,21.78,21.78,0.0,0.0,19.88,19.88,19.88,0.0,0.0,21.43,21.43,21.43,0.0,0.0
2016-03-20,21.66,21.66,21.66,0.0,0.0,23.35,23.35,23.35,0.0,0.0,20.89,20.89,20.89,0.0,0.0,22.36,22.36,22.36,0.0,0.0
