Date,ProShares Hedge ReplicationEtf_Open_average,ProShares Hedge ReplicationEtf_Open_max,ProShares Hedge ReplicationEtf_Open_min,ProShares Hedge ReplicationEtf_Open_volatility,ProShares Hedge ReplicationEtf_Open_change,ProShares Hedge ReplicationEtf_High_average,ProShares Hedge ReplicationEtf_High_max,ProShares Hedge ReplicationEtf_High_min,ProShares Hedge ReplicationEtf_High_volatility,ProShares Hedge ReplicationEtf_High_change,ProShares Hedge ReplicationEtf_Low_average,ProShares Hedge ReplicationEtf_Low_max,ProShares Hedge ReplicationEtf_Low_min,ProShares Hedge ReplicationEtf_Low_volatility,ProShares Hedge ReplicationEtf_Low_change,ProShares Hedge ReplicationEtf_Close_average,ProShares Hedge ReplicationEtf_Close_max,ProShares Hedge ReplicationEtf_Close_min,ProShares Hedge ReplicationEtf_Close_volatility,ProShares Hedge ReplicationEtf_Close_change
2016-01-03,41.35,41.35,41.35,0.0,0.0,41.39,41.39,41.39,0.0,0.0,41.04,41.04,41.04,0.0,0.0,41.04,41.04,41.04,0.0,0.0
2016-01-10,40.73,40.73,40.73,0.0,0.0,40.75,40.75,40.75,0.0,0.0,40.54,40.54,40.54,0.0,0.0,40.66,40.66,40.66,0.0,0.0
2016-01-17,40.8,40.8,40.8,0.0,0.0,40.93,40.93,40.93,0.0,0.0,40.78,40.78,40.78,0.0,0.0,40.86,40.86,40.86,0.0,0.0
2016-01-24,40.99,40.99,40.99,0.0,0.0,41.08,41.08,41.08,0.0,0.0,40.99,40.99,40.99,0.0,0.0,41.08,41.08,41.08,0.0,0.0
2016-01-31,40.72,40.72,40.72,0.0,0.0,40.74,40.74,40.74,0.0,0.0,40.62,40.62,40.62,0.0,0.0,40.65,40.65,40.65,0.0,0.0
2016-02-07,40.24,40.24,40.24,0.0,0.0,40.29,40.29,40.29,0.0,0.0,40.24,40.24,40.24,0.0,0.0,40.25,40.25,40.25,0.0,0.0
2016-02-14,40.77,40.77,40.77,0.0,0.0,40.9,40.9,40.9,0.0,0.0,40.75,40.75,40.75,0.0,0.0,40.8,40.8,40.8,0.0,0.0
2016-02-21,41.05,41.05,41.05,0.0,0.0,41.05,41.05,41.05,0.0,0.0,41.05,41.05,41.05,0.0,0.0,41.05,41.05,41.05,0.0,0.0
2016-02-28,41.79,41.79,41.79,0.0,0.0,41.79,41.79,41.79,0.0,0.0,41.56,41.56,41.56,0.0,0.0,41.59,41.59,41.59,0.0,0.0
2016-03-06,41.66,41.66,41.66,0.0,0.0,41.72,41.72,41.72,0.0,0.0,41.6,41.6,41.6,0.0,0.0,41.72,41.72,41.72,0.0,0.0
2016-03-13,41.76,41.76,41.76,0.0,0.0,41.76,41.76,41.76,0.0,0.0,41.76,41.76,41.76,0.0,0.0,41.76,41.76,41.76,0.0,0.0
2016-03-20,41.47,41.47,41.47,0.0,0.0,41.52,41.52,41.52,0.0,0.0,41.46,41.46,41.46,0.0,0.0,41.52,41.52,41.52,0.0,0.0
2016-03-27,41.64,41.64,41.64,0.0,0.0,41.66,41.66,41.66,0.0,0.0,41.64,41.64,41.64,0.0,0.0,41.64,41.64,41.64,0.0,0.0
2016-04-03,41.65,41.65,41.65,0.0,0.0,41.65,41.65,41.65,0.0,0.0,41.53,41.53,41.53,0.0,0.0,41.55,41.55,41.55,0.0,0.0
2016-04-10,41.98,41.98,41.98,0.0,0.0,42.05,42.05,42.05,0.0,0.0,41.97,41.97,41.97,0.0,0.0,41.99,41.99,41.99,0.0,0.0
2016-04-17,42.02,42.02,42.02,0.0,0.0,42.26,42.26,42.26,0.0,0.0,42.02,42.02,42.02,0.0,0.0,42.14,42.14,42.14,0.0,0.0
