Date,FlexShares Real Assets Allocation_etf_Open_average,FlexShares Real Assets Allocation_etf_Open_max,FlexShares Real Assets Allocation_etf_Open_min,FlexShares Real Assets Allocation_etf_Open_volatility,FlexShares Real Assets Allocation_etf_Open_change,FlexShares Real Assets Allocation_etf_High_average,FlexShares Real Assets Allocation_etf_High_max,FlexShares Real Assets Allocation_etf_High_min,FlexShares Real Assets Allocation_etf_High_volatility,FlexShares Real Assets Allocation_etf_High_change,FlexShares Real Assets Allocation_etf_Low_average,FlexShares Real Assets Allocation_etf_Low_max,FlexShares Real Assets Allocation_etf_Low_min,FlexShares Real Assets Allocation_etf_Low_volatility,FlexShares Real Assets Allocation_etf_Low_change,FlexShares Real Assets Allocation_etf_Close_average,FlexShares Real Assets Allocation_etf_Close_max,FlexShares Real Assets Allocation_etf_Close_min,FlexShares Real Assets Allocation_etf_Close_volatility,FlexShares Real Assets Allocation_etf_Close_change
2016-01-03,23.33,23.33,23.33,0.0,0.0,23.33,23.33,23.33,0.0,0.0,23.33,23.33,23.33,0.0,0.0,23.33,23.33,23.33,0.0,0.0
2016-01-10,22.72,22.72,22.72,0.0,0.0,22.72,22.72,22.72,0.0,0.0,22.72,22.72,22.72,0.0,0.0,22.72,22.72,22.72,0.0,0.0
2016-01-17,22.9,22.9,22.9,0.0,0.0,22.97,22.97,22.97,0.0,0.0,22.9,22.9,22.9,0.0,0.0,22.97,22.97,22.97,0.0,0.0
2016-01-24,23.66,23.66,23.66,0.0,0.0,23.67,23.67,23.67,0.0,0.0,23.66,23.66,23.66,0.0,0.0,23.66,23.66,23.66,0.0,0.0
2016-01-31,23.62,23.62,23.62,0.0,0.0,23.78,23.78,23.78,0.0,0.0,23.62,23.62,23.62,0.0,0.0,23.75,23.75,23.75,0.0,0.0
2016-02-07,23.57,23.57,23.57,0.0,0.0,23.58,23.58,23.58,0.0,0.0,23.57,23.57,23.57,0.0,0.0,23.58,23.58,23.58,0.0,0.0
2016-02-14,24.14,24.14,24.14,0.0,0.0,24.14,24.14,24.14,0.0,0.0,24.1,24.1,24.1,0.0,0.0,24.1,24.1,24.1,0.0,0.0
2016-02-21,23.84,23.84,23.84,0.0,0.0,23.84,23.84,23.84,0.0,0.0,23.84,23.84,23.84,0.0,0.0,23.84,23.84,23.84,0.0,0.0
2016-02-28,24.46,24.46,24.46,0.0,0.0,24.46,24.46,24.46,0.0,0.0,24.46,24.46,24.46,0.0,0.0,24.46,24.46,24.46,0.0,0.0
2016-03-06,24.63,24.63,24.63,0.0,0.0,25.36,25.36,25.36,0.0,0.0,24.54,24.54,24.54,0.0,0.0,24.61,24.61,24.61,0.0,0.0
2016-03-13,25.71,25.71,25.71,0.0,0.0,25.71,25.71,25.71,0.0,0.0,25.7,25.7,25.7,0.0,0.0,25.7,25.7,25.7,0.0,0.0
2016-03-20,25.2,25.2,25.2,0.0,0.0,25.2,25.2,25.2,0.0,0.0,25.2,25.2,25.2,0.0,0.0,25.2,25.2,25.2,0.0,0.0
2016-03-27,25.31,25.31,25.31,0.0,0.0,25.31,25.31,25.31,0.0,0.0,25.28,25.28,25.28,0.0,0.0,25.28,25.28,25.28,0.0,0.0
2016-04-03,25.45,25.45,25.45,0.0,0.0,25.45,25.45,25.45,0.0,0.0,25.45,25.45,25.45,0.0,0.0,25.45,25.45,25.45,0.0,0.0
2016-04-10,25.67,25.67,25.67,0.0,0.0,25.67,25.67,25.67,0.0,0.0,25.67,25.67,25.67,0.0,0.0,25.67,25.67,25.67,0.0,0.0
2016-04-17,25.94,25.94,25.94,0.0,0.0,25.94,25.94,25.94,0.0,0.0,25.94,25.94,25.94,0.0,0.0,25.94,25.94,25.94,0.0,0.0
2016-04-24,25.92,25.92,25.92,0.0,0.0,25.92,25.92,25.92,0.0,0.0,25.92,25.92,25.92,0.0,0.0,25.92,25.92,25.92,0.0,0.0
2016-05-01,26.24,26.24,26.24,0.0,0.0,26.24,26.24,26.24,0.0,0.0,26.24,26.24,26.24,0.0,0.0,26.24,26.24,26.24,0.0,0.0
2016-05-08,26.06,26.06,26.06,0.0,0.0,26.06,26.06,26.06,0.0,0.0,26.06,26.06,26.06,0.0,0.0,26.06,26.06,26.06,0.0,0.0
2016-05-15,25.99,25.99,25.99,0.0,0.0,25.99,25.99,25.99,0.0,0.0,25.99,25.99,25.99,0.0,0.0,25.99,25.99,25.99,0.0,0.0
2016-05-22,25.91,25.91,25.91,0.0,0.0,25.91,25.91,25.91,0.0,0.0,25.91,25.91,25.91,0.0,0.0,25.91,25.91,25.91,0.0,0.0
2016-05-29,25.93,25.93,25.93,0.0,0.0,25.94,25.94,25.94,0.0,0.0,25.93,25.93,25.93,0.0,0.0,25.94,25.94,25.94,0.0,0.0
2016-06-05,26.56,26.56,26.56,0.0,0.0,26.56,26.56,26.56,0.0,0.0,26.56,26.56,26.56,0.0,0.0,26.56,26.56,26.56,0.0,0.0
2016-06-12,25.99,25.99,25.99,0.0,0.0,26.02,26.02,26.02,0.0,0.0,25.95,25.95,25.95,0.0,0.0,25.95,25.95,25.95,0.0,0.0
2016-06-19,25.81,25.81,25.81,0.0,0.0,25.81,25.81,25.81,0.0,0.0,25.81,25.81,25.81,0.0,0.0,25.81,25.81,25.81,0.0,0.0
2016-06-26,26.79,26.79,26.79,0.0,0.0,26.79,26.79,26.79,0.0,0.0,26.79,26.79,26.79,0.0,0.0,26.79,26.79,26.79,0.0,0.0
2016-07-03,26.57,26.57,26.57,0.0,0.0,26.6,26.6,26.6,0.0,0.0,26.57,26.57,26.57,0.0,0.0,26.6,26.6,26.6,0.0,0.0
2016-07-10,27.21,27.21,27.21,0.0,0.0,27.21,27.21,27.21,0.0,0.0,27.21,27.21,27.21,0.0,0.0,27.21,27.21,27.21,0.0,0.0
2016-07-17,27.12,27.12,27.12,0.0,0.0,27.12,27.12,27.12,0.0,0.0,27.12,27.12,27.12,0.0,0.0,27.12,27.12,27.12,0.0,0.0
2016-07-24,27.2,27.2,27.2,0.0,0.0,27.2,27.2,27.2,0.0,0.0,27.2,27.2,27.2,0.0,0.0,27.2,27.2,27.2,0.0,0.0
2016-07-31,27.24,27.24,27.24,0.0,0.0,27.25,27.25,27.25,0.0,0.0,27.24,27.24,27.24,0.0,0.0,27.24,27.24,27.24,0.0,0.0
2016-08-07,27.3,27.3,27.3,0.0,0.0,27.3,27.3,27.3,0.0,0.0,27.3,27.3,27.3,0.0,0.0,27.3,27.3,27.3,0.0,0.0
2016-08-14,27.1,27.1,27.1,0.0,0.0,27.12,27.12,27.12,0.0,0.0,27.1,27.1,27.1,0.0,0.0,27.12,27.12,27.12,0.0,0.0
2016-08-21,26.99,26.99,26.99,0.0,0.0,26.99,26.99,26.99,0.0,0.0,26.99,26.99,26.99,0.0,0.0,26.99,26.99,26.99,0.0,0.0
