Date,iShares S&P Small-Cap 600 Growth_etf_Open_average,iShares S&P Small-Cap 600 Growth_etf_Open_max,iShares S&P Small-Cap 600 Growth_etf_Open_min,iShares S&P Small-Cap 600 Growth_etf_Open_volatility,iShares S&P Small-Cap 600 Growth_etf_Open_change,iShares S&P Small-Cap 600 Growth_etf_High_average,iShares S&P Small-Cap 600 Growth_etf_High_max,iShares S&P Small-Cap 600 Growth_etf_High_min,iShares S&P Small-Cap 600 Growth_etf_High_volatility,iShares S&P Small-Cap 600 Growth_etf_High_change,iShares S&P Small-Cap 600 Growth_etf_Low_average,iShares S&P Small-Cap 600 Growth_etf_Low_max,iShares S&P Small-Cap 600 Growth_etf_Low_min,iShares S&P Small-Cap 600 Growth_etf_Low_volatility,iShares S&P Small-Cap 600 Growth_etf_Low_change,iShares S&P Small-Cap 600 Growth_etf_Close_average,iShares S&P Small-Cap 600 Growth_etf_Close_max,iShares S&P Small-Cap 600 Growth_etf_Close_min,iShares S&P Small-Cap 600 Growth_etf_Close_volatility,iShares S&P Small-Cap 600 Growth_etf_Close_change
2016-01-03,117.52,117.52,117.52,0.0,0.0,118.17,118.17,118.17,0.0,0.0,115.23,115.23,115.23,0.0,0.0,115.36,115.36,115.36,0.0,0.0
2016-01-10,111.38,111.38,111.38,0.0,0.0,113.17,113.17,113.17,0.0,0.0,110.31,110.31,110.31,0.0,0.0,113.06,113.06,113.06,0.0,0.0
2016-01-17,113.48,113.48,113.48,0.0,0.0,114.31,114.31,114.31,0.0,0.0,113.07,113.07,113.07,0.0,0.0,114.17,114.17,114.17,0.0,0.0
2016-01-24,113.18,113.18,113.18,0.0,0.0,116.33,116.33,116.33,0.0,0.0,113.14,113.14,113.14,0.0,0.0,116.31,116.31,116.31,0.0,0.0
2016-01-31,113.58,113.58,113.58,0.0,0.0,113.77,113.77,113.77,0.0,0.0,110.78,110.78,110.78,0.0,0.0,110.79,110.79,110.79,0.0,0.0
2016-02-07,108.77,108.77,108.77,0.0,0.0,109.81,109.81,109.81,0.0,0.0,108.23,108.23,108.23,0.0,0.0,109.58,109.58,109.58,0.0,0.0
2016-02-14,112.73,112.73,112.73,0.0,0.0,114.02,114.02,114.02,0.0,0.0,112.45,112.45,112.45,0.0,0.0,113.96,113.96,113.96,0.0,0.0
2016-02-21,117.22,117.22,117.22,0.0,0.0,117.48,117.48,117.48,0.0,0.0,116.8,116.8,116.8,0.0,0.0,117.17,117.17,117.17,0.0,0.0
2016-02-28,120.32,120.32,120.32,0.0,0.0,121.4,121.4,121.4,0.0,0.0,119.92,119.92,119.92,0.0,0.0,120.78,120.78,120.78,0.0,0.0
2016-03-06,119.9,119.9,119.9,0.0,0.0,121.49,121.49,121.49,0.0,0.0,119.88,119.88,119.88,0.0,0.0,121.38,121.38,121.38,0.0,0.0
