Date,iShares US Preferred Stock_etf_Open_average,iShares US Preferred Stock_etf_Open_max,iShares US Preferred Stock_etf_Open_min,iShares US Preferred Stock_etf_Open_volatility,iShares US Preferred Stock_etf_Open_change,iShares US Preferred Stock_etf_High_average,iShares US Preferred Stock_etf_High_max,iShares US Preferred Stock_etf_High_min,iShares US Preferred Stock_etf_High_volatility,iShares US Preferred Stock_etf_High_change,iShares US Preferred Stock_etf_Low_average,iShares US Preferred Stock_etf_Low_max,iShares US Preferred Stock_etf_Low_min,iShares US Preferred Stock_etf_Low_volatility,iShares US Preferred Stock_etf_Low_change,iShares US Preferred Stock_etf_Close_average,iShares US Preferred Stock_etf_Close_max,iShares US Preferred Stock_etf_Close_min,iShares US Preferred Stock_etf_Close_volatility,iShares US Preferred Stock_etf_Close_change
2016-01-03,38.75,38.75,38.75,0.0,0.0,38.89,38.89,38.89,0.0,0.0,38.75,38.75,38.75,0.0,0.0,38.84,38.84,38.84,0.0,0.0
2016-01-10,38.2,38.2,38.2,0.0,0.0,38.29,38.29,38.29,0.0,0.0,38.02,38.02,38.02,0.0,0.0,38.22,38.22,38.22,0.0,0.0
2016-01-17,38.2,38.2,38.2,0.0,0.0,38.3,38.3,38.3,0.0,0.0,38.15,38.15,38.15,0.0,0.0,38.21,38.21,38.21,0.0,0.0
2016-01-24,38.33,38.33,38.33,0.0,0.0,38.49,38.49,38.49,0.0,0.0,38.27,38.27,38.27,0.0,0.0,38.47,38.47,38.47,0.0,0.0
2016-01-31,38.12,38.12,38.12,0.0,0.0,38.14,38.14,38.14,0.0,0.0,37.82,37.82,37.82,0.0,0.0,37.88,37.88,37.88,0.0,0.0
2016-02-07,36.51,36.51,36.51,0.0,0.0,36.73,36.73,36.73,0.0,0.0,36.42,36.42,36.42,0.0,0.0,36.57,36.57,36.57,0.0,0.0
2016-02-14,37.77,37.77,37.77,0.0,0.0,37.89,37.89,37.89,0.0,0.0,37.61,37.61,37.61,0.0,0.0,37.87,37.87,37.87,0.0,0.0
2016-02-21,38.31,38.31,38.31,0.0,0.0,38.34,38.34,38.34,0.0,0.0,38.16,38.16,38.16,0.0,0.0,38.21,38.21,38.21,0.0,0.0
2016-02-28,38.25,38.25,38.25,0.0,0.0,38.35,38.35,38.35,0.0,0.0,38.2,38.2,38.2,0.0,0.0,38.23,38.23,38.23,0.0,0.0
2016-03-06,38.46,38.46,38.46,0.0,0.0,38.59,38.59,38.59,0.0,0.0,38.42,38.42,38.42,0.0,0.0,38.58,38.58,38.58,0.0,0.0
2016-03-13,38.65,38.65,38.65,0.0,0.0,38.68,38.68,38.68,0.0,0.0,38.6,38.6,38.6,0.0,0.0,38.66,38.66,38.66,0.0,0.0
2016-03-20,38.65,38.65,38.65,0.0,0.0,38.76,38.76,38.76,0.0,0.0,38.62,38.62,38.62,0.0,0.0,38.76,38.76,38.76,0.0,0.0
2016-03-27,38.75,38.75,38.75,0.0,0.0,38.82,38.82,38.82,0.0,0.0,38.44,38.44,38.44,0.0,0.0,38.59,38.59,38.59,0.0,0.0
2016-04-03,38.4,38.4,38.4,0.0,0.0,38.48,38.48,38.48,0.0,0.0,38.35,38.35,38.35,0.0,0.0,38.48,38.48,38.48,0.0,0.0
2016-04-10,38.73,38.73,38.73,0.0,0.0,38.77,38.77,38.77,0.0,0.0,38.7,38.7,38.7,0.0,0.0,38.76,38.76,38.76,0.0,0.0
2016-04-17,38.98,38.98,38.98,0.0,0.0,39.05,39.05,39.05,0.0,0.0,38.96,38.96,38.96,0.0,0.0,39.03,39.03,39.03,0.0,0.0
2016-04-24,39.12,39.12,39.12,0.0,0.0,39.18,39.18,39.18,0.0,0.0,39.03,39.03,39.03,0.0,0.0,39.18,39.18,39.18,0.0,0.0
2016-05-01,38.92,38.92,38.92,0.0,0.0,39.04,39.04,39.04,0.0,0.0,38.9,38.9,38.9,0.0,0.0,38.98,38.98,38.98,0.0,0.0
2016-05-08,39.17,39.17,39.17,0.0,0.0,39.23,39.23,39.23,0.0,0.0,39.15,39.15,39.15,0.0,0.0,39.23,39.23,39.23,0.0,0.0
2016-05-15,39.22,39.22,39.22,0.0,0.0,39.27,39.27,39.27,0.0,0.0,39.1,39.1,39.1,0.0,0.0,39.17,39.17,39.17,0.0,0.0
2016-05-22,39.48,39.48,39.48,0.0,0.0,39.52,39.52,39.52,0.0,0.0,39.45,39.45,39.45,0.0,0.0,39.51,39.51,39.51,0.0,0.0
2016-05-29,39.5,39.5,39.5,0.0,0.0,39.7,39.7,39.7,0.0,0.0,39.43,39.43,39.43,0.0,0.0,39.68,39.68,39.68,0.0,0.0
2016-06-05,39.55,39.55,39.55,0.0,0.0,39.57,39.57,39.57,0.0,0.0,39.44,39.44,39.44,0.0,0.0,39.48,39.48,39.48,0.0,0.0
2016-06-12,39.35,39.35,39.35,0.0,0.0,39.5,39.5,39.5,0.0,0.0,39.33,39.33,39.33,0.0,0.0,39.48,39.48,39.48,0.0,0.0
2016-06-19,39.19,39.19,39.19,0.0,0.0,39.59,39.59,39.59,0.0,0.0,39.12,39.12,39.12,0.0,0.0,39.47,39.47,39.47,0.0,0.0
2016-06-26,39.85,39.85,39.85,0.0,0.0,40.09,40.09,40.09,0.0,0.0,39.76,39.76,39.76,0.0,0.0,39.81,39.81,39.81,0.0,0.0
2016-07-03,39.68,39.68,39.68,0.0,0.0,39.85,39.85,39.85,0.0,0.0,39.63,39.63,39.63,0.0,0.0,39.71,39.71,39.71,0.0,0.0
2016-07-10,39.95,39.95,39.95,0.0,0.0,40.07,40.07,40.07,0.0,0.0,39.93,39.93,39.93,0.0,0.0,40.07,40.07,40.07,0.0,0.0
2016-07-17,40.04,40.04,40.04,0.0,0.0,40.08,40.08,40.08,0.0,0.0,40.03,40.03,40.03,0.0,0.0,40.07,40.07,40.07,0.0,0.0
