Date,iShares US Preferred Stock_etf_Open_average,iShares US Preferred Stock_etf_Open_max,iShares US Preferred Stock_etf_Open_min,iShares US Preferred Stock_etf_Open_volatility,iShares US Preferred Stock_etf_Open_change,iShares US Preferred Stock_etf_High_average,iShares US Preferred Stock_etf_High_max,iShares US Preferred Stock_etf_High_min,iShares US Preferred Stock_etf_High_volatility,iShares US Preferred Stock_etf_High_change,iShares US Preferred Stock_etf_Low_average,iShares US Preferred Stock_etf_Low_max,iShares US Preferred Stock_etf_Low_min,iShares US Preferred Stock_etf_Low_volatility,iShares US Preferred Stock_etf_Low_change,iShares US Preferred Stock_etf_Close_average,iShares US Preferred Stock_etf_Close_max,iShares US Preferred Stock_etf_Close_min,iShares US Preferred Stock_etf_Close_volatility,iShares US Preferred Stock_etf_Close_change
2016-07-24,40.19,40.19,40.19,0.0,0.0,40.29,40.29,40.29,0.0,0.0,40.16,40.16,40.16,0.0,0.0,40.27,40.27,40.27,0.0,0.0
2016-07-31,40.1,40.1,40.1,0.0,0.0,40.13,40.13,40.13,0.0,0.0,40.04,40.04,40.04,0.0,0.0,40.13,40.13,40.13,0.0,0.0
2016-08-07,40.19,40.19,40.19,0.0,0.0,40.19,40.19,40.19,0.0,0.0,40.09,40.09,40.09,0.0,0.0,40.14,40.14,40.14,0.0,0.0
2016-08-14,40.11,40.11,40.11,0.0,0.0,40.11,40.11,40.11,0.0,0.0,39.99,39.99,39.99,0.0,0.0,39.99,39.99,39.99,0.0,0.0
2016-08-21,40.09,40.09,40.09,0.0,0.0,40.11,40.11,40.11,0.0,0.0,40.04,40.04,40.04,0.0,0.0,40.1,40.1,40.1,0.0,0.0
2016-08-28,39.95,39.95,39.95,0.0,0.0,40.0,40.0,40.0,0.0,0.0,39.94,39.94,39.94,0.0,0.0,39.96,39.96,39.96,0.0,0.0
2016-09-04,40.0,40.0,40.0,0.0,0.0,40.0,40.0,40.0,0.0,0.0,39.5,39.5,39.5,0.0,0.0,39.53,39.53,39.53,0.0,0.0
2016-09-11,39.45,39.45,39.45,0.0,0.0,39.48,39.48,39.48,0.0,0.0,39.22,39.22,39.22,0.0,0.0,39.35,39.35,39.35,0.0,0.0
2016-09-18,39.85,39.85,39.85,0.0,0.0,39.86,39.86,39.86,0.0,0.0,39.75,39.75,39.75,0.0,0.0,39.83,39.83,39.83,0.0,0.0
2016-09-25,39.44,39.44,39.44,0.0,0.0,39.53,39.53,39.53,0.0,0.0,39.34,39.34,39.34,0.0,0.0,39.5,39.5,39.5,0.0,0.0
2016-10-02,39.29,39.29,39.29,0.0,0.0,39.29,39.29,39.29,0.0,0.0,39.13,39.13,39.13,0.0,0.0,39.17,39.17,39.17,0.0,0.0
2016-10-09,38.85,38.85,38.85,0.0,0.0,38.98,38.98,38.98,0.0,0.0,38.81,38.81,38.81,0.0,0.0,38.87,38.87,38.87,0.0,0.0
2016-10-16,39.27,39.27,39.27,0.0,0.0,39.37,39.37,39.37,0.0,0.0,39.22,39.22,39.22,0.0,0.0,39.36,39.36,39.36,0.0,0.0
2016-10-23,39.17,39.17,39.17,0.0,0.0,39.22,39.22,39.22,0.0,0.0,39.0,39.0,39.0,0.0,0.0,39.02,39.02,39.02,0.0,0.0
2016-10-30,38.04,38.04,38.04,0.0,0.0,38.22,38.22,38.22,0.0,0.0,37.96,37.96,37.96,0.0,0.0,38.14,38.14,38.14,0.0,0.0
2016-11-06,37.35,37.35,37.35,0.0,0.0,37.38,37.38,37.38,0.0,0.0,37.01,37.01,37.01,0.0,0.0,37.34,37.34,37.34,0.0,0.0
2016-11-13,37.5,37.5,37.5,0.0,0.0,37.61,37.61,37.61,0.0,0.0,37.16,37.16,37.16,0.0,0.0,37.16,37.16,37.16,0.0,0.0
2016-11-20,37.64,37.64,37.64,0.0,0.0,37.72,37.72,37.72,0.0,0.0,37.6,37.6,37.6,0.0,0.0,37.67,37.67,37.67,0.0,0.0
2016-11-27,37.06,37.06,37.06,0.0,0.0,37.19,37.19,37.19,0.0,0.0,36.99,36.99,36.99,0.0,0.0,37.02,37.02,37.02,0.0,0.0
2016-12-04,37.16,37.16,37.16,0.0,0.0,37.31,37.31,37.31,0.0,0.0,37.1,37.1,37.1,0.0,0.0,37.13,37.13,37.13,0.0,0.0
2016-12-11,37.04,37.04,37.04,0.0,0.0,37.16,37.16,37.16,0.0,0.0,37.03,37.03,37.03,0.0,0.0,37.12,37.12,37.12,0.0,0.0
2016-12-18,37.33,37.33,37.33,0.0,0.0,37.38,37.38,37.38,0.0,0.0,37.26,37.26,37.26,0.0,0.0,37.35,37.35,37.35,0.0,0.0
2016-12-25,37.18,37.18,37.18,0.0,0.0,37.24,37.24,37.24,0.0,0.0,37.14,37.14,37.14,0.0,0.0,37.21,37.21,37.21,0.0,0.0
2017-01-01,37.92,37.92,37.92,0.0,0.0,37.99,37.99,37.99,0.0,0.0,37.78,37.78,37.78,0.0,0.0,37.9,37.9,37.9,0.0,0.0
2017-01-08,38.13,38.13,38.13,0.0,0.0,38.17,38.17,38.17,0.0,0.0,38.05,38.05,38.05,0.0,0.0,38.11,38.11,38.11,0.0,0.0
2017-01-15,37.65,37.65,37.65,0.0,0.0,37.91,37.91,37.91,0.0,0.0,37.55,37.55,37.55,0.0,0.0,37.75,37.75,37.75,0.0,0.0
2017-01-22,38.05,38.05,38.05,0.0,0.0,38.08,38.08,38.08,0.0,0.0,37.96,37.96,37.96,0.0,0.0,37.97,37.97,37.97,0.0,0.0
2017-01-29,38.1,38.1,38.1,0.0,0.0,38.25,38.25,38.25,0.0,0.0,38.09,38.09,38.09,0.0,0.0,38.16,38.16,38.16,0.0,0.0
2017-02-05,38.4,38.4,38.4,0.0,0.0,38.52,38.52,38.52,0.0,0.0,38.37,38.37,38.37,0.0,0.0,38.46,38.46,38.46,0.0,0.0
2017-02-12,38.5,38.5,38.5,0.0,0.0,38.54,38.54,38.54,0.0,0.0,38.48,38.48,38.48,0.0,0.0,38.5,38.5,38.5,0.0,0.0
2017-02-19,38.72,38.72,38.72,0.0,0.0,38.76,38.76,38.76,0.0,0.0,38.69,38.69,38.69,0.0,0.0,38.74,38.74,38.74,0.0,0.0
2017-02-26,38.32,38.32,38.32,0.0,0.0,38.45,38.45,38.45,0.0,0.0,38.29,38.29,38.29,0.0,0.0,38.37,38.37,38.37,0.0,0.0
2017-03-05,37.8,37.8,37.8,0.0,0.0,37.92,37.92,37.92,0.0,0.0,37.75,37.75,37.75,0.0,0.0,37.9,37.9,37.9,0.0,0.0
2017-03-12,38.43,38.43,38.43,0.0,0.0,38.48,38.48,38.48,0.0,0.0,38.41,38.41,38.41,0.0,0.0,38.46,38.46,38.46,0.0,0.0
2017-03-19,38.5,38.5,38.5,0.0,0.0,38.57,38.57,38.57,0.0,0.0,38.45,38.45,38.45,0.0,0.0,38.46,38.46,38.46,0.0,0.0
2017-03-26,38.69,38.69,38.69,0.0,0.0,38.73,38.73,38.73,0.0,0.0,38.64,38.64,38.64,0.0,0.0,38.7,38.7,38.7,0.0,0.0
2017-04-02,38.81,38.81,38.81,0.0,0.0,38.83,38.83,38.83,0.0,0.0,38.69,38.69,38.69,0.0,0.0,38.71,38.71,38.71,0.0,0.0
2017-04-09,38.76,38.76,38.76,0.0,0.0,38.79,38.79,38.79,0.0,0.0,38.72,38.72,38.72,0.0,0.0,38.72,38.72,38.72,0.0,0.0
2017-04-16,38.9,38.9,38.9,0.0,0.0,38.93,38.93,38.93,0.0,0.0,38.83,38.83,38.83,0.0,0.0,38.93,38.93,38.93,0.0,0.0
2017-04-23,39.01,39.01,39.01,0.0,0.0,39.05,39.05,39.05,0.0,0.0,38.95,38.95,38.95,0.0,0.0,39.01,39.01,39.01,0.0,0.0
2017-04-30,38.8,38.8,38.8,0.0,0.0,38.91,38.91,38.91,0.0,0.0,38.76,38.76,38.76,0.0,0.0,38.91,38.91,38.91,0.0,0.0
2017-05-07,38.84,38.84,38.84,0.0,0.0,38.9,38.9,38.9,0.0,0.0,38.82,38.82,38.82,0.0,0.0,38.89,38.89,38.89,0.0,0.0
2017-05-14,38.75,38.75,38.75,0.0,0.0,38.86,38.86,38.86,0.0,0.0,38.75,38.75,38.75,0.0,0.0,38.75,38.75,38.75,0.0,0.0
2017-05-21,38.99,38.99,38.99,0.0,0.0,39.09,39.09,39.09,0.0,0.0,38.98,38.98,38.98,0.0,0.0,39.08,39.08,39.08,0.0,0.0
2017-05-28,38.93,38.93,38.93,0.0,0.0,38.98,38.98,38.98,0.0,0.0,38.92,38.92,38.92,0.0,0.0,38.98,38.98,38.98,0.0,0.0
2017-06-04,38.89,38.89,38.89,0.0,0.0,38.9,38.9,38.9,0.0,0.0,38.78,38.78,38.78,0.0,0.0,38.79,38.79,38.79,0.0,0.0
2017-06-11,38.98,38.98,38.98,0.0,0.0,39.0,39.0,39.0,0.0,0.0,38.93,38.93,38.93,0.0,0.0,38.98,38.98,38.98,0.0,0.0
2017-06-18,39.12,39.12,39.12,0.0,0.0,39.15,39.15,39.15,0.0,0.0,39.08,39.08,39.08,0.0,0.0,39.15,39.15,39.15,0.0,0.0
2017-06-25,39.08,39.08,39.08,0.0,0.0,39.18,39.18,39.18,0.0,0.0,39.08,39.08,39.08,0.0,0.0,39.17,39.17,39.17,0.0,0.0
2017-07-02,38.98,38.98,38.98,0.0,0.0,39.07,39.07,39.07,0.0,0.0,38.98,38.98,38.98,0.0,0.0,39.01,39.01,39.01,0.0,0.0
2017-07-09,39.03,39.03,39.03,0.0,0.0,39.09,39.09,39.09,0.0,0.0,39.01,39.01,39.01,0.0,0.0,39.06,39.06,39.06,0.0,0.0
2017-07-16,39.2,39.2,39.2,0.0,0.0,39.31,39.31,39.31,0.0,0.0,39.17,39.17,39.17,0.0,0.0,39.3,39.3,39.3,0.0,0.0
2017-07-23,39.19,39.19,39.19,0.0,0.0,39.27,39.27,39.27,0.0,0.0,39.17,39.17,39.17,0.0,0.0,39.27,39.27,39.27,0.0,0.0
2017-07-30,39.19,39.19,39.19,0.0,0.0,39.19,39.19,39.19,0.0,0.0,39.11,39.11,39.11,0.0,0.0,39.11,39.11,39.11,0.0,0.0
2017-08-06,38.72,38.72,38.72,0.0,0.0,38.72,38.72,38.72,0.0,0.0,38.54,38.54,38.54,0.0,0.0,38.63,38.63,38.63,0.0,0.0
2017-08-13,38.75,38.75,38.75,0.0,0.0,38.85,38.85,38.85,0.0,0.0,38.71,38.71,38.71,0.0,0.0,38.77,38.77,38.77,0.0,0.0
2017-08-20,38.85,38.85,38.85,0.0,0.0,38.86,38.86,38.86,0.0,0.0,38.8,38.8,38.8,0.0,0.0,38.84,38.84,38.84,0.0,0.0
2017-08-27,38.93,38.93,38.93,0.0,0.0,38.97,38.97,38.97,0.0,0.0,38.81,38.81,38.81,0.0,0.0,38.83,38.83,38.83,0.0,0.0
2017-09-03,38.86,38.86,38.86,0.0,0.0,38.87,38.87,38.87,0.0,0.0,38.76,38.76,38.76,0.0,0.0,38.76,38.76,38.76,0.0,0.0
2017-09-10,38.89,38.89,38.89,0.0,0.0,38.92,38.92,38.92,0.0,0.0,38.85,38.85,38.85,0.0,0.0,38.91,38.91,38.91,0.0,0.0
2017-09-17,38.84,38.84,38.84,0.0,0.0,38.86,38.86,38.86,0.0,0.0,38.79,38.79,38.79,0.0,0.0,38.79,38.79,38.79,0.0,0.0
2017-09-24,38.83,38.83,38.83,0.0,0.0,38.84,38.84,38.84,0.0,0.0,38.77,38.77,38.77,0.0,0.0,38.81,38.81,38.81,0.0,0.0
2017-10-01,38.48,38.48,38.48,0.0,0.0,38.49,38.49,38.49,0.0,0.0,38.31,38.31,38.31,0.0,0.0,38.31,38.31,38.31,0.0,0.0
2017-10-08,38.55,38.55,38.55,0.0,0.0,38.59,38.59,38.59,0.0,0.0,38.52,38.52,38.52,0.0,0.0,38.55,38.55,38.55,0.0,0.0
2017-10-15,38.5,38.5,38.5,0.0,0.0,38.6,38.6,38.6,0.0,0.0,38.46,38.46,38.46,0.0,0.0,38.59,38.59,38.59,0.0,0.0
2017-10-22,38.45,38.45,38.45,0.0,0.0,38.53,38.53,38.53,0.0,0.0,38.43,38.43,38.43,0.0,0.0,38.51,38.51,38.51,0.0,0.0
2017-10-29,38.32,38.32,38.32,0.0,0.0,38.33,38.33,38.33,0.0,0.0,38.22,38.22,38.22,0.0,0.0,38.3,38.3,38.3,0.0,0.0
2017-11-05,38.23,38.23,38.23,0.0,0.0,38.25,38.25,38.25,0.0,0.0,38.13,38.13,38.13,0.0,0.0,38.19,38.19,38.19,0.0,0.0
2017-11-12,38.26,38.26,38.26,0.0,0.0,38.43,38.43,38.43,0.0,0.0,38.25,38.25,38.25,0.0,0.0,38.38,38.38,38.38,0.0,0.0
2017-11-19,38.65,38.65,38.65,0.0,0.0,38.7,38.7,38.7,0.0,0.0,38.6,38.6,38.6,0.0,0.0,38.64,38.64,38.64,0.0,0.0
2017-11-26,38.37,38.37,38.37,0.0,0.0,38.46,38.46,38.46,0.0,0.0,38.22,38.22,38.22,0.0,0.0,38.46,38.46,38.46,0.0,0.0
2017-12-03,38.52,38.52,38.52,0.0,0.0,38.56,38.56,38.56,0.0,0.0,38.5,38.5,38.5,0.0,0.0,38.54,38.54,38.54,0.0,0.0
2017-12-10,38.26,38.26,38.26,0.0,0.0,38.43,38.43,38.43,0.0,0.0,38.25,38.25,38.25,0.0,0.0,38.38,38.38,38.38,0.0,0.0
2017-12-17,38.21,38.21,38.21,0.0,0.0,38.22,38.22,38.22,0.0,0.0,38.07,38.07,38.07,0.0,0.0,38.11,38.11,38.11,0.0,0.0
2017-12-24,38.08,38.08,38.08,0.0,0.0,38.11,38.11,38.11,0.0,0.0,38.02,38.02,38.02,0.0,0.0,38.07,38.07,38.07,0.0,0.0
2017-12-31,38.0,38.0,38.0,0.0,0.0,38.08,38.08,38.08,0.0,0.0,37.97,37.97,37.97,0.0,0.0,37.97,37.97,37.97,0.0,0.0
