Date,UBS E-TRACS Bloomberg CMCI Gold_etf_Open_average,UBS E-TRACS Bloomberg CMCI Gold_etf_Open_max,UBS E-TRACS Bloomberg CMCI Gold_etf_Open_min,UBS E-TRACS Bloomberg CMCI Gold_etf_Open_volatility,UBS E-TRACS Bloomberg CMCI Gold_etf_Open_change,UBS E-TRACS Bloomberg CMCI Gold_etf_High_average,UBS E-TRACS Bloomberg CMCI Gold_etf_High_max,UBS E-TRACS Bloomberg CMCI Gold_etf_High_min,UBS E-TRACS Bloomberg CMCI Gold_etf_High_volatility,UBS E-TRACS Bloomberg CMCI Gold_etf_High_change,UBS E-TRACS Bloomberg CMCI Gold_etf_Low_average,UBS E-TRACS Bloomberg CMCI Gold_etf_Low_max,UBS E-TRACS Bloomberg CMCI Gold_etf_Low_min,UBS E-TRACS Bloomberg CMCI Gold_etf_Low_volatility,UBS E-TRACS Bloomberg CMCI Gold_etf_Low_change,UBS E-TRACS Bloomberg CMCI Gold_etf_Close_average,UBS E-TRACS Bloomberg CMCI Gold_etf_Close_max,UBS E-TRACS Bloomberg CMCI Gold_etf_Close_min,UBS E-TRACS Bloomberg CMCI Gold_etf_Close_volatility,UBS E-TRACS Bloomberg CMCI Gold_etf_Close_change
2016-01-03,28.3,28.3,28.3,0.0,0.0,28.61,28.61,28.61,0.0,0.0,28.3,28.3,28.3,0.0,0.0,28.61,28.61,28.61,0.0,0.0
2016-01-10,27.95,27.95,27.95,0.0,0.0,28.01,28.01,28.01,0.0,0.0,27.95,27.95,27.95,0.0,0.0,28.01,28.01,28.01,0.0,0.0
2016-01-17,28.24,28.24,28.24,0.0,0.0,28.24,28.24,28.24,0.0,0.0,28.24,28.24,28.24,0.0,0.0,28.24,28.24,28.24,0.0,0.0
2016-01-24,28.68,28.68,28.68,0.0,0.0,28.69,28.69,28.69,0.0,0.0,28.58,28.58,28.58,0.0,0.0,28.61,28.61,28.61,0.0,0.0
2016-01-31,30.77,30.77,30.77,0.0,0.0,30.87,30.87,30.87,0.0,0.0,30.7,30.7,30.7,0.0,0.0,30.87,30.87,30.87,0.0,0.0
2016-02-07,31.63,31.63,31.63,0.0,0.0,32.22,32.22,32.22,0.0,0.0,31.63,31.63,31.63,0.0,0.0,32.22,32.22,32.22,0.0,0.0
2016-02-14,31.68,31.68,31.68,0.0,0.0,31.72,31.72,31.72,0.0,0.0,31.68,31.68,31.68,0.0,0.0,31.72,31.72,31.72,0.0,0.0
2016-02-21,31.57,31.57,31.57,0.0,0.0,31.57,31.57,31.57,0.0,0.0,31.5,31.5,31.5,0.0,0.0,31.5,31.5,31.5,0.0,0.0
2016-02-28,32.77,32.77,32.77,0.0,0.0,32.77,32.77,32.77,0.0,0.0,32.77,32.77,32.77,0.0,0.0,32.77,32.77,32.77,0.0,0.0
2016-03-06,32.82,32.82,32.82,0.0,0.0,32.82,32.82,32.82,0.0,0.0,32.33,32.33,32.33,0.0,0.0,32.33,32.33,32.33,0.0,0.0
2016-03-13,32.68,32.68,32.68,0.0,0.0,32.68,32.68,32.68,0.0,0.0,32.51,32.51,32.51,0.0,0.0,32.51,32.51,32.51,0.0,0.0
2016-03-20,31.45,31.45,31.45,0.0,0.0,31.45,31.45,31.45,0.0,0.0,31.45,31.45,31.45,0.0,0.0,31.45,31.45,31.45,0.0,0.0
2016-03-27,31.89,31.89,31.89,0.0,0.0,31.89,31.89,31.89,0.0,0.0,31.89,31.89,31.89,0.0,0.0,31.89,31.89,31.89,0.0,0.0
2016-04-03,32.05,32.05,32.05,0.0,0.0,32.05,32.05,32.05,0.0,0.0,32.05,32.05,32.05,0.0,0.0,32.05,32.05,32.05,0.0,0.0
