Date,WisdomTree US Quality Dividend GrowthEtf_Open_average,WisdomTree US Quality Dividend GrowthEtf_Open_max,WisdomTree US Quality Dividend GrowthEtf_Open_min,WisdomTree US Quality Dividend GrowthEtf_Open_volatility,WisdomTree US Quality Dividend GrowthEtf_Open_change,WisdomTree US Quality Dividend GrowthEtf_High_average,WisdomTree US Quality Dividend GrowthEtf_High_max,WisdomTree US Quality Dividend GrowthEtf_High_min,WisdomTree US Quality Dividend GrowthEtf_High_volatility,WisdomTree US Quality Dividend GrowthEtf_High_change,WisdomTree US Quality Dividend GrowthEtf_Low_average,WisdomTree US Quality Dividend GrowthEtf_Low_max,WisdomTree US Quality Dividend GrowthEtf_Low_min,WisdomTree US Quality Dividend GrowthEtf_Low_volatility,WisdomTree US Quality Dividend GrowthEtf_Low_change,WisdomTree US Quality Dividend GrowthEtf_Close_average,WisdomTree US Quality Dividend GrowthEtf_Close_max,WisdomTree US Quality Dividend GrowthEtf_Close_min,WisdomTree US Quality Dividend GrowthEtf_Close_volatility,WisdomTree US Quality Dividend GrowthEtf_Close_change
2016-01-03,29.1,29.1,29.1,0.0,0.0,29.13,29.13,29.13,0.0,0.0,28.6,28.6,28.6,0.0,0.0,28.67,28.67,28.67,0.0,0.0
2016-01-10,27.93,27.93,27.93,0.0,0.0,28.26,28.26,28.26,0.0,0.0,27.86,27.86,27.86,0.0,0.0,28.19,28.19,28.19,0.0,0.0
2016-01-17,28.5,28.5,28.5,0.0,0.0,28.61,28.61,28.61,0.0,0.0,28.34,28.34,28.34,0.0,0.0,28.55,28.55,28.55,0.0,0.0
2016-01-24,28.36,28.36,28.36,0.0,0.0,28.93,28.93,28.93,0.0,0.0,28.35,28.35,28.35,0.0,0.0,28.93,28.93,28.93,0.0,0.0
2016-01-31,28.76,28.76,28.76,0.0,0.0,28.77,28.77,28.77,0.0,0.0,28.16,28.16,28.16,0.0,0.0,28.28,28.28,28.28,0.0,0.0
2016-02-07,27.96,27.96,27.96,0.0,0.0,28.19,28.19,28.19,0.0,0.0,27.82,27.82,27.82,0.0,0.0,28.16,28.16,28.16,0.0,0.0
2016-02-14,28.96,28.96,28.96,0.0,0.0,29.09,29.09,29.09,0.0,0.0,28.86,28.86,28.86,0.0,0.0,29.06,29.06,29.06,0.0,0.0
2016-02-21,29.75,29.75,29.75,0.0,0.0,29.75,29.75,29.75,0.0,0.0,29.48,29.48,29.48,0.0,0.0,29.5,29.5,29.5,0.0,0.0
2016-02-28,30.19,30.19,30.19,0.0,0.0,30.33,30.33,30.33,0.0,0.0,30.02,30.02,30.02,0.0,0.0,30.22,30.22,30.22,0.0,0.0
2016-03-06,30.35,30.35,30.35,0.0,0.0,30.59,30.59,30.59,0.0,0.0,30.35,30.35,30.35,0.0,0.0,30.59,30.59,30.59,0.0,0.0
2016-03-13,30.99,30.99,30.99,0.0,0.0,31.14,31.14,31.14,0.0,0.0,30.99,30.99,30.99,0.0,0.0,31.11,31.11,31.11,0.0,0.0
2016-03-20,30.69,30.69,30.69,0.0,0.0,30.8,30.8,30.8,0.0,0.0,30.63,30.63,30.63,0.0,0.0,30.79,30.79,30.79,0.0,0.0
2016-03-27,31.08,31.08,31.08,0.0,0.0,31.47,31.47,31.47,0.0,0.0,31.08,31.08,31.08,0.0,0.0,31.47,31.47,31.47,0.0,0.0
2016-04-03,31.19,31.19,31.19,0.0,0.0,31.29,31.29,31.29,0.0,0.0,31.02,31.02,31.02,0.0,0.0,31.1,31.1,31.1,0.0,0.0
2016-04-10,31.53,31.53,31.53,0.0,0.0,31.56,31.56,31.56,0.0,0.0,31.47,31.47,31.47,0.0,0.0,31.55,31.55,31.55,0.0,0.0
2016-04-17,31.54,31.54,31.54,0.0,0.0,31.61,31.61,31.61,0.0,0.0,31.43,31.43,31.43,0.0,0.0,31.55,31.55,31.55,0.0,0.0
2016-04-24,31.22,31.22,31.22,0.0,0.0,31.23,31.23,31.23,0.0,0.0,30.9,30.9,30.9,0.0,0.0,31.08,31.08,31.08,0.0,0.0
2016-05-01,30.79,30.79,30.79,0.0,0.0,30.99,30.99,30.99,0.0,0.0,30.74,30.74,30.74,0.0,0.0,30.96,30.96,30.96,0.0,0.0
2016-05-08,30.98,30.98,30.98,0.0,0.0,31.13,31.13,31.13,0.0,0.0,30.76,30.76,30.76,0.0,0.0,30.83,30.83,30.83,0.0,0.0
2016-05-15,30.68,30.68,30.68,0.0,0.0,30.81,30.81,30.81,0.0,0.0,30.66,30.66,30.66,0.0,0.0,30.72,30.72,30.72,0.0,0.0
2016-05-22,31.25,31.25,31.25,0.0,0.0,31.4,31.4,31.4,0.0,0.0,31.25,31.25,31.25,0.0,0.0,31.39,31.39,31.39,0.0,0.0
2016-05-29,31.4,31.4,31.4,0.0,0.0,31.55,31.55,31.55,0.0,0.0,31.29,31.29,31.29,0.0,0.0,31.5,31.5,31.5,0.0,0.0
2016-06-05,31.5,31.5,31.5,0.0,0.0,31.58,31.58,31.58,0.0,0.0,31.38,31.38,31.38,0.0,0.0,31.5,31.5,31.5,0.0,0.0
