Date,iShares MSCI Emerging Markets Asia_etf_Open_average,iShares MSCI Emerging Markets Asia_etf_Open_max,iShares MSCI Emerging Markets Asia_etf_Open_min,iShares MSCI Emerging Markets Asia_etf_Open_volatility,iShares MSCI Emerging Markets Asia_etf_Open_change,iShares MSCI Emerging Markets Asia_etf_High_average,iShares MSCI Emerging Markets Asia_etf_High_max,iShares MSCI Emerging Markets Asia_etf_High_min,iShares MSCI Emerging Markets Asia_etf_High_volatility,iShares MSCI Emerging Markets Asia_etf_High_change,iShares MSCI Emerging Markets Asia_etf_Low_average,iShares MSCI Emerging Markets Asia_etf_Low_max,iShares MSCI Emerging Markets Asia_etf_Low_min,iShares MSCI Emerging Markets Asia_etf_Low_volatility,iShares MSCI Emerging Markets Asia_etf_Low_change,iShares MSCI Emerging Markets Asia_etf_Close_average,iShares MSCI Emerging Markets Asia_etf_Close_max,iShares MSCI Emerging Markets Asia_etf_Close_min,iShares MSCI Emerging Markets Asia_etf_Close_volatility,iShares MSCI Emerging Markets Asia_etf_Close_change
2016-01-03,47.32,47.32,47.32,0.0,0.0,47.32,47.32,47.32,0.0,0.0,46.58,46.58,46.58,0.0,0.0,46.58,46.58,46.58,0.0,0.0
2016-01-10,45.16,45.16,45.16,0.0,0.0,45.16,45.16,45.16,0.0,0.0,44.26,44.26,44.26,0.0,0.0,44.69,44.69,44.69,0.0,0.0
2016-01-17,45.66,45.66,45.66,0.0,0.0,46.25,46.25,46.25,0.0,0.0,45.66,45.66,45.66,0.0,0.0,46.12,46.12,46.12,0.0,0.0
2016-01-24,46.64,46.64,46.64,0.0,0.0,47.29,47.29,47.29,0.0,0.0,46.64,46.64,46.64,0.0,0.0,47.24,47.24,47.24,0.0,0.0
2016-01-31,46.78,46.78,46.78,0.0,0.0,46.78,46.78,46.78,0.0,0.0,46.19,46.19,46.19,0.0,0.0,46.22,46.22,46.22,0.0,0.0
2016-02-07,44.91,44.91,44.91,0.0,0.0,45.25,45.25,45.25,0.0,0.0,44.77,44.77,44.77,0.0,0.0,45.25,45.25,45.25,0.0,0.0
2016-02-14,46.57,46.57,46.57,0.0,0.0,46.67,46.67,46.67,0.0,0.0,46.57,46.57,46.57,0.0,0.0,46.64,46.64,46.64,0.0,0.0
2016-02-21,46.48,46.48,46.48,0.0,0.0,46.48,46.48,46.48,0.0,0.0,46.48,46.48,46.48,0.0,0.0,46.48,46.48,46.48,0.0,0.0
2016-02-28,49.37,49.37,49.37,0.0,0.0,50.15,50.15,50.15,0.0,0.0,49.37,49.37,49.37,0.0,0.0,49.85,49.85,49.85,0.0,0.0
2016-03-06,49.71,49.71,49.71,0.0,0.0,50.3,50.3,50.3,0.0,0.0,49.71,49.71,49.71,0.0,0.0,50.28,50.28,50.28,0.0,0.0
2016-03-13,51.46,51.46,51.46,0.0,0.0,51.6,51.6,51.6,0.0,0.0,51.35,51.35,51.35,0.0,0.0,51.39,51.39,51.39,0.0,0.0
2016-03-20,50.54,50.54,50.54,0.0,0.0,50.6,50.6,50.6,0.0,0.0,50.35,50.35,50.35,0.0,0.0,50.56,50.56,50.56,0.0,0.0
2016-03-27,50.96,50.96,50.96,0.0,0.0,51.52,51.52,51.52,0.0,0.0,50.91,50.91,50.91,0.0,0.0,51.5,51.5,51.5,0.0,0.0
2016-04-03,50.59,50.59,50.59,0.0,0.0,50.75,50.75,50.75,0.0,0.0,50.3,50.3,50.3,0.0,0.0,50.3,50.3,50.3,0.0,0.0
2016-04-10,52.31,52.31,52.31,0.0,0.0,52.33,52.33,52.33,0.0,0.0,52.03,52.03,52.03,0.0,0.0,52.14,52.14,52.14,0.0,0.0
2016-04-17,52.1,52.1,52.1,0.0,0.0,52.1,52.1,52.1,0.0,0.0,51.79,51.79,51.79,0.0,0.0,51.9,51.9,51.9,0.0,0.0
2016-04-24,51.43,51.43,51.43,0.0,0.0,51.43,51.43,51.43,0.0,0.0,50.62,50.62,50.62,0.0,0.0,50.97,50.97,50.97,0.0,0.0
2016-05-01,49.48,49.48,49.48,0.0,0.0,49.48,49.48,49.48,0.0,0.0,49.09,49.09,49.09,0.0,0.0,49.18,49.18,49.18,0.0,0.0
2016-05-08,48.96,48.96,48.96,0.0,0.0,48.96,48.96,48.96,0.0,0.0,48.23,48.23,48.23,0.0,0.0,48.24,48.24,48.24,0.0,0.0
2016-05-15,48.61,48.61,48.61,0.0,0.0,48.74,48.74,48.74,0.0,0.0,48.52,48.52,48.52,0.0,0.0,48.62,48.62,48.62,0.0,0.0
2016-05-22,50.24,50.24,50.24,0.0,0.0,50.49,50.49,50.49,0.0,0.0,50.1,50.1,50.1,0.0,0.0,50.14,50.14,50.14,0.0,0.0
2016-05-29,50.85,50.85,50.85,0.0,0.0,51.54,51.54,51.54,0.0,0.0,50.85,50.85,50.85,0.0,0.0,51.54,51.54,51.54,0.0,0.0
2016-06-05,50.95,50.95,50.95,0.0,0.0,51.09,51.09,51.09,0.0,0.0,50.53,50.53,50.53,0.0,0.0,50.74,50.74,50.74,0.0,0.0
