Date,iShares Global Consumer StaplesEtf_Open_average,iShares Global Consumer StaplesEtf_Open_max,iShares Global Consumer StaplesEtf_Open_min,iShares Global Consumer StaplesEtf_Open_volatility,iShares Global Consumer StaplesEtf_Open_change,iShares Global Consumer StaplesEtf_High_average,iShares Global Consumer StaplesEtf_High_max,iShares Global Consumer StaplesEtf_High_min,iShares Global Consumer StaplesEtf_High_volatility,iShares Global Consumer StaplesEtf_High_change,iShares Global Consumer StaplesEtf_Low_average,iShares Global Consumer StaplesEtf_Low_max,iShares Global Consumer StaplesEtf_Low_min,iShares Global Consumer StaplesEtf_Low_volatility,iShares Global Consumer StaplesEtf_Low_change,iShares Global Consumer StaplesEtf_Close_average,iShares Global Consumer StaplesEtf_Close_max,iShares Global Consumer StaplesEtf_Close_min,iShares Global Consumer StaplesEtf_Close_volatility,iShares Global Consumer StaplesEtf_Close_change
2016-01-03,45.22,45.22,45.22,0.0,0.0,45.22,45.22,45.22,0.0,0.0,44.55,44.55,44.55,0.0,0.0,44.58,44.58,44.58,0.0,0.0
2016-01-10,43.96,43.96,43.96,0.0,0.0,44.23,44.23,44.23,0.0,0.0,43.6,43.6,43.6,0.0,0.0,43.9,43.9,43.9,0.0,0.0
2016-01-17,44.34,44.34,44.34,0.0,0.0,45.05,45.05,45.05,0.0,0.0,44.34,44.34,44.34,0.0,0.0,44.94,44.94,44.94,0.0,0.0
2016-01-24,45.95,45.95,45.95,0.0,0.0,46.69,46.69,46.69,0.0,0.0,45.88,45.88,45.88,0.0,0.0,46.68,46.68,46.68,0.0,0.0
2016-01-31,46.05,46.05,46.05,0.0,0.0,46.1,46.1,46.1,0.0,0.0,45.66,45.66,45.66,0.0,0.0,45.73,45.73,45.73,0.0,0.0
2016-02-07,45.37,45.37,45.37,0.0,0.0,45.73,45.73,45.73,0.0,0.0,45.35,45.35,45.35,0.0,0.0,45.73,45.73,45.73,0.0,0.0
2016-02-14,46.13,46.13,46.13,0.0,0.0,46.45,46.45,46.45,0.0,0.0,46.13,46.13,46.13,0.0,0.0,46.45,46.45,46.45,0.0,0.0
2016-02-21,47.03,47.03,47.03,0.0,0.0,47.03,47.03,47.03,0.0,0.0,46.23,46.23,46.23,0.0,0.0,46.29,46.29,46.29,0.0,0.0
2016-02-28,47.2,47.2,47.2,0.0,0.0,47.49,47.49,47.49,0.0,0.0,47.2,47.2,47.2,0.0,0.0,47.37,47.37,47.37,0.0,0.0
2016-03-06,47.85,47.85,47.85,0.0,0.0,47.95,47.95,47.95,0.0,0.0,47.74,47.74,47.74,0.0,0.0,47.88,47.88,47.88,0.0,0.0
2016-03-13,48.38,48.38,48.38,0.0,0.0,48.47,48.47,48.47,0.0,0.0,48.2,48.2,48.2,0.0,0.0,48.23,48.23,48.23,0.0,0.0
2016-03-20,47.73,47.73,47.73,0.0,0.0,47.86,47.86,47.86,0.0,0.0,47.72,47.72,47.72,0.0,0.0,47.85,47.85,47.85,0.0,0.0
2016-03-27,48.26,48.26,48.26,0.0,0.0,48.84,48.84,48.84,0.0,0.0,48.02,48.02,48.02,0.0,0.0,48.84,48.84,48.84,0.0,0.0
2016-04-03,48.77,48.77,48.77,0.0,0.0,48.9,48.9,48.9,0.0,0.0,48.7,48.7,48.7,0.0,0.0,48.78,48.78,48.78,0.0,0.0
2016-04-10,48.73,48.73,48.73,0.0,0.0,48.99,48.99,48.99,0.0,0.0,48.73,48.73,48.73,0.0,0.0,48.95,48.95,48.95,0.0,0.0
2016-04-17,48.24,48.24,48.24,0.0,0.0,48.38,48.38,48.38,0.0,0.0,48.1,48.1,48.1,0.0,0.0,48.35,48.35,48.35,0.0,0.0
2016-04-24,48.43,48.43,48.43,0.0,0.0,48.67,48.67,48.67,0.0,0.0,48.35,48.35,48.35,0.0,0.0,48.48,48.48,48.48,0.0,0.0
2016-05-01,48.45,48.45,48.45,0.0,0.0,48.86,48.86,48.86,0.0,0.0,48.45,48.45,48.45,0.0,0.0,48.83,48.83,48.83,0.0,0.0
2016-05-08,49.2,49.2,49.2,0.0,0.0,49.3,49.3,49.3,0.0,0.0,48.81,48.81,48.81,0.0,0.0,48.88,48.88,48.88,0.0,0.0
