Date,ARRY_stock_Open_average,ARRY_stock_Open_max,ARRY_stock_Open_min,ARRY_stock_Open_volatility,ARRY_stock_Open_change,ARRY_stock_High_average,ARRY_stock_High_max,ARRY_stock_High_min,ARRY_stock_High_volatility,ARRY_stock_High_change,ARRY_stock_Low_average,ARRY_stock_Low_max,ARRY_stock_Low_min,ARRY_stock_Low_volatility,ARRY_stock_Low_change,ARRY_stock_Close_average,ARRY_stock_Close_max,ARRY_stock_Close_min,ARRY_stock_Close_volatility,ARRY_stock_Close_change,ARRY_stock_Volume_average,ARRY_stock_Volume_max,ARRY_stock_Volume_min,ARRY_stock_Volume_volatility,ARRY_stock_Volume_change
2016-01-03,3.9899999999999998,4.13,3.77,0.3599999999999999,-0.3599999999999999,4.031,4.18,3.845,0.3349999999999995,-0.3349999999999995,3.8649999999999998,4.065,3.63,0.4350000000000005,-0.4299999999999997,3.908,4.14,3.64,0.49999999999999956,-0.44999999999999973,2021107,2607248,1338275,1268973,-87508
2016-01-10,3.468,3.68,3.24,0.43999999999999995,-0.43999999999999995,3.571,3.73,3.395,0.33499999999999996,-0.31499999999999995,3.2920000000000003,3.45,3.14,0.31000000000000005,-0.31000000000000005,3.422,3.58,3.31,0.27,-0.11000000000000032,2738378,3114466,2334646,779820,-145643
2016-01-17,3.2824999999999998,3.43,3.13,0.30000000000000027,-0.16000000000000014,3.4074999999999998,3.485,3.35,0.1349999999999998,-0.04999999999999982,3.1275,3.23,2.99,0.23999999999999977,0.14000000000000012,3.26875,3.325,3.21,0.11500000000000021,0.11500000000000021,3185339,4386088,1668371,2717717,-2717717
2016-01-24,3.17,3.3,3.0,0.2999999999999998,-0.2999999999999998,3.2609999999999997,3.46,3.135,0.3250000000000002,-0.31000000000000005,3.07,3.21,2.96,0.25,-0.25,3.13,3.23,3.02,0.20999999999999996,-0.1200000000000001,3187431,4673964,1755845,2918119,1583249
2016-01-31,2.948,3.07,2.78,0.29000000000000004,-0.06999999999999984,3.104,3.17,3.04,0.1299999999999999,-0.050000000000000266,2.868,2.94,2.78,0.16000000000000014,-0.04999999999999982,2.988,3.05,2.91,0.13999999999999968,-0.13999999999999968,3942384,5356419,2349819,3006600,-2755456
2016-02-07,2.59,2.88,2.45,0.4299999999999997,-0.31000000000000005,2.687,2.935,2.57,0.3650000000000002,-0.30500000000000016,2.465,2.59,2.385,0.20500000000000007,-0.1599999999999997,2.558,2.62,2.5,0.1200000000000001,0.0,2587859,3019015,1854860,1164155,-1099585
2016-02-14,2.8,2.91,2.68,0.22999999999999998,0.07999999999999963,2.8775,2.92,2.84,0.08000000000000007,0.0,2.73,2.77,2.67,0.10000000000000009,0.050000000000000266,2.8325,2.89,2.77,0.1200000000000001,0.009999999999999787,1545581,1884443,1202155,682288,-682288
2016-02-21,2.6566666666666667,2.89,2.54,0.3500000000000001,-0.29000000000000004,2.6975000000000002,2.93,2.605,0.3250000000000002,-0.3250000000000002,2.5616666666666665,2.68,2.44,0.2400000000000002,-0.08000000000000007,2.6158333333333332,2.71,2.57,0.14000000000000012,-0.10499999999999998,1665098,2366106,1249790,1116316,-1116316
2016-02-28,2.734,2.96,2.52,0.43999999999999995,0.3599999999999999,2.871,3.095,2.66,0.43500000000000005,0.43500000000000005,2.686,2.89,2.5,0.3900000000000001,0.38000000000000034,2.81,3.0,2.51,0.4900000000000002,0.4900000000000002,2009167,2726815,1455627,1271188,291323
2016-03-06,2.96,3.15,2.82,0.33000000000000007,-0.18000000000000016,3.056,3.22,2.9,0.3200000000000003,-0.3200000000000003,2.864,2.96,2.78,0.18000000000000016,-0.16000000000000014,2.934,3.16,2.79,0.3700000000000001,-0.26000000000000023,1501146,2382893,933479,1449414,-1449414
