Date,LH_stock_Open_average,LH_stock_Open_max,LH_stock_Open_min,LH_stock_Open_volatility,LH_stock_Open_change,LH_stock_High_average,LH_stock_High_max,LH_stock_High_min,LH_stock_High_volatility,LH_stock_High_change,LH_stock_Low_average,LH_stock_Low_max,LH_stock_Low_min,LH_stock_Low_volatility,LH_stock_Low_change,LH_stock_Close_average,LH_stock_Close_max,LH_stock_Close_min,LH_stock_Close_volatility,LH_stock_Close_change,LH_stock_Volume_average,LH_stock_Volume_max,LH_stock_Volume_min,LH_stock_Volume_volatility,LH_stock_Volume_change
2016-01-03,120.78,123.16,119.04,4.11999999999999,-2.8100000000000023,122.16199999999999,123.99,120.49,3.5,-2.700000000000003,119.512,121.73,116.14,5.590000000000003,-5.590000000000003,120.114,122.89,116.25,6.640000000000001,-6.640000000000001,1066649,1420699,780557,640142,619480
2016-01-10,113.972,116.98,109.46,7.52000000000001,-7.52000000000001,115.112,117.97,111.26,6.709999999999994,-6.47999999999999,111.524,114.48,108.61,5.8700000000000045,-5.8700000000000045,113.054,115.62,111.07,4.550000000000011,-4.550000000000011,1221387,1609891,871471,738420,321557
2016-01-17,110.21000000000001,112.39,108.54,3.8499999999999943,-2.4599999999999937,111.7775,113.35,110.53,2.819999999999993,0.8699999999999903,108.2925,109.93,106.37,3.5600000000000023,1.6400000000000006,110.395,112.96,109.0,3.9599999999999937,3.029999999999987,1278612,1698220,940312,757908,-124755
2016-01-24,112.024,113.14,110.22,2.9200000000000017,-2.5799999999999983,113.632,114.96,112.49,2.469999999999999,-0.9000000000000057,110.298,111.34,109.31,2.030000000000001,-1.4000000000000057,111.73,112.82,109.79,3.029999999999987,1.3599999999999994,843287,1256616,641211,615405,220263
2016-01-31,109.638,111.12,107.94,3.180000000000007,-3.180000000000007,110.602,113.58,108.15,5.429999999999993,-5.429999999999993,107.892,111.05,105.55,5.5,-5.5,108.99,112.27,106.17,6.099999999999994,-6.099999999999994,849277,1244288,639651,604637,-74130
2016-02-07,102.784,105.07,100.06,5.009999999999991,-3.309999999999988,104.796,106.82,103.65,3.1699999999999875,-1.3599999999999994,100.48,102.46,97.79,4.6699999999999875,3.75,102.496,104.59,100.94,3.6500000000000057,2.0799999999999983,1507754,2735668,1065363,1670305,-1579396
2016-02-14,105.66499999999999,108.57,103.58,4.989999999999995,4.989999999999995,107.96000000000001,110.15,104.9,5.25,4.439999999999998,104.20750000000001,106.01,102.42,3.5900000000000034,3.5900000000000034,106.9125,108.72,104.5,4.219999999999999,4.219999999999999,1517821,2075454,1202163,873291,146780
2016-02-21,109.796,110.84,108.3,2.5400000000000063,1.5300000000000011,111.408,112.34,110.28,2.0600000000000023,-0.4200000000000017,109.066,110.37,107.59,2.780000000000001,1.210000000000008,110.38,111.03,109.4,1.6299999999999955,0.46000000000000796,822913,1502856,581544,921312,-867308
2016-02-28,110.904,112.31,109.74,2.5700000000000074,1.519999999999996,111.976,113.63,111.16,2.469999999999999,2.4200000000000017,109.458,109.87,108.94,0.9300000000000068,0.1600000000000108,110.99600000000001,112.17,109.84,2.3299999999999983,2.3299999999999983,1071392,1360960,779901,581059,581059
2016-03-06,111.444,112.07,110.77,1.2999999999999972,0.2599999999999909,113.132,116.64,111.27,5.3700000000000045,2.760000000000005,110.81400000000001,111.76,110.0,1.7600000000000051,0.14000000000000057,112.042,115.49,110.32,5.170000000000002,3.6599999999999966,1071083,1517410,869551,647859,418177
