Date,Victory CEMP US Discovery Enhanced Volatility Weig_etf_Open_average,Victory CEMP US Discovery Enhanced Volatility Weig_etf_Open_max,Victory CEMP US Discovery Enhanced Volatility Weig_etf_Open_min,Victory CEMP US Discovery Enhanced Volatility Weig_etf_Open_volatility,Victory CEMP US Discovery Enhanced Volatility Weig_etf_Open_change,Victory CEMP US Discovery Enhanced Volatility Weig_etf_High_average,Victory CEMP US Discovery Enhanced Volatility Weig_etf_High_max,Victory CEMP US Discovery Enhanced Volatility Weig_etf_High_min,Victory CEMP US Discovery Enhanced Volatility Weig_etf_High_volatility,Victory CEMP US Discovery Enhanced Volatility Weig_etf_High_change,Victory CEMP US Discovery Enhanced Volatility Weig_etf_Low_average,Victory CEMP US Discovery Enhanced Volatility Weig_etf_Low_max,Victory CEMP US Discovery Enhanced Volatility Weig_etf_Low_min,Victory CEMP US Discovery Enhanced Volatility Weig_etf_Low_volatility,Victory CEMP US Discovery Enhanced Volatility Weig_etf_Low_change,Victory CEMP US Discovery Enhanced Volatility Weig_etf_Close_average,Victory CEMP US Discovery Enhanced Volatility Weig_etf_Close_max,Victory CEMP US Discovery Enhanced Volatility Weig_etf_Close_min,Victory CEMP US Discovery Enhanced Volatility Weig_etf_Close_volatility,Victory CEMP US Discovery Enhanced Volatility Weig_etf_Close_change
2016-01-03,32.56,32.56,32.56,0.0,0.0,32.56,32.56,32.56,0.0,0.0,31.88,31.88,31.88,0.0,0.0,31.93,31.93,31.93,0.0,0.0
2016-01-10,30.75,30.75,30.75,0.0,0.0,31.06,31.06,31.06,0.0,0.0,30.42,30.42,30.42,0.0,0.0,31.06,31.06,31.06,0.0,0.0
2016-01-17,31.31,31.31,31.31,0.0,0.0,31.47,31.47,31.47,0.0,0.0,31.29,31.29,31.29,0.0,0.0,31.29,31.29,31.29,0.0,0.0
2016-01-24,31.77,31.77,31.77,0.0,0.0,31.89,31.89,31.89,0.0,0.0,31.75,31.75,31.75,0.0,0.0,31.75,31.75,31.75,0.0,0.0
2016-01-31,31.9,31.9,31.9,0.0,0.0,31.92,31.92,31.92,0.0,0.0,31.9,31.9,31.9,0.0,0.0,31.92,31.92,31.92,0.0,0.0
2016-02-07,32.03,32.03,32.03,0.0,0.0,32.03,32.03,32.03,0.0,0.0,31.73,31.73,31.73,0.0,0.0,31.8,31.8,31.8,0.0,0.0
2016-02-14,32.03,32.03,32.03,0.0,0.0,32.07,32.07,32.07,0.0,0.0,32.03,32.03,32.03,0.0,0.0,32.06,32.06,32.06,0.0,0.0
2016-02-21,32.29,32.29,32.29,0.0,0.0,32.29,32.29,32.29,0.0,0.0,32.29,32.29,32.29,0.0,0.0,32.29,32.29,32.29,0.0,0.0
2016-02-28,32.56,32.56,32.56,0.0,0.0,32.63,32.63,32.63,0.0,0.0,32.56,32.56,32.56,0.0,0.0,32.6,32.6,32.6,0.0,0.0
2016-03-06,32.9,32.9,32.9,0.0,0.0,32.9,32.9,32.9,0.0,0.0,32.58,32.58,32.58,0.0,0.0,32.65,32.65,32.65,0.0,0.0
2016-03-13,32.77,32.77,32.77,0.0,0.0,32.81,32.81,32.81,0.0,0.0,32.76,32.76,32.76,0.0,0.0,32.78,32.78,32.78,0.0,0.0
2016-03-20,32.57,32.57,32.57,0.0,0.0,32.64,32.64,32.64,0.0,0.0,32.57,32.57,32.57,0.0,0.0,32.64,32.64,32.64,0.0,0.0
2016-03-27,32.81,32.81,32.81,0.0,0.0,32.88,32.88,32.88,0.0,0.0,32.81,32.81,32.81,0.0,0.0,32.87,32.87,32.87,0.0,0.0
2016-04-03,32.32,32.32,32.32,0.0,0.0,32.35,32.35,32.35,0.0,0.0,31.99,31.99,31.99,0.0,0.0,32.01,32.01,32.01,0.0,0.0
2016-04-10,33.1,33.1,33.1,0.0,0.0,33.1,33.1,33.1,0.0,0.0,33.1,33.1,33.1,0.0,0.0,33.1,33.1,33.1,0.0,0.0
2016-04-17,33.42,33.42,33.42,0.0,0.0,33.56,33.56,33.56,0.0,0.0,33.42,33.42,33.42,0.0,0.0,33.48,33.48,33.48,0.0,0.0
2016-04-24,33.28,33.28,33.28,0.0,0.0,33.28,33.28,33.28,0.0,0.0,32.99,32.99,32.99,0.0,0.0,33.14,33.14,33.14,0.0,0.0
2016-05-01,32.6,32.6,32.6,0.0,0.0,32.75,32.75,32.75,0.0,0.0,32.53,32.53,32.53,0.0,0.0,32.75,32.75,32.75,0.0,0.0
2016-05-08,32.51,32.51,32.51,0.0,0.0,32.64,32.64,32.64,0.0,0.0,32.51,32.51,32.51,0.0,0.0,32.64,32.64,32.64,0.0,0.0
2016-05-15,32.66,32.66,32.66,0.0,0.0,32.7,32.7,32.7,0.0,0.0,32.56,32.56,32.56,0.0,0.0,32.61,32.61,32.61,0.0,0.0
2016-05-22,33.66,33.66,33.66,0.0,0.0,33.74,33.74,33.74,0.0,0.0,33.66,33.66,33.66,0.0,0.0,33.74,33.74,33.74,0.0,0.0
2016-05-29,33.99,33.99,33.99,0.0,0.0,34.15,34.15,34.15,0.0,0.0,33.89,33.89,33.89,0.0,0.0,34.15,34.15,34.15,0.0,0.0
2016-06-05,34.2,34.2,34.2,0.0,0.0,34.2,34.2,34.2,0.0,0.0,33.89,33.89,33.89,0.0,0.0,33.89,33.89,33.89,0.0,0.0
2016-06-12,33.36,33.36,33.36,0.0,0.0,33.43,33.43,33.43,0.0,0.0,33.22,33.22,33.22,0.0,0.0,33.34,33.34,33.34,0.0,0.0
2016-06-19,32.29,32.29,32.29,0.0,0.0,33.23,33.23,33.23,0.0,0.0,32.29,32.29,32.29,0.0,0.0,32.94,32.94,32.94,0.0,0.0
2016-06-26,33.49,33.49,33.49,0.0,0.0,33.49,33.49,33.49,0.0,0.0,33.45,33.45,33.45,0.0,0.0,33.45,33.45,33.45,0.0,0.0
2016-07-03,34.12,34.12,34.12,0.0,0.0,34.15,34.15,34.15,0.0,0.0,34.08,34.08,34.08,0.0,0.0,34.08,34.08,34.08,0.0,0.0
2016-07-10,34.97,34.97,34.97,0.0,0.0,35.0,35.0,35.0,0.0,0.0,34.89,34.89,34.89,0.0,0.0,34.96,34.96,34.96,0.0,0.0
2016-07-17,34.95,34.95,34.95,0.0,0.0,34.99,34.99,34.99,0.0,0.0,34.95,34.95,34.95,0.0,0.0,34.99,34.99,34.99,0.0,0.0
2016-07-24,35.03,35.03,35.03,0.0,0.0,35.15,35.15,35.15,0.0,0.0,34.92,34.92,34.92,0.0,0.0,35.05,35.05,35.05,0.0,0.0
2016-07-31,35.25,35.25,35.25,0.0,0.0,35.4,35.4,35.4,0.0,0.0,35.25,35.25,35.25,0.0,0.0,35.4,35.4,35.4,0.0,0.0
2016-08-07,35.15,35.15,35.15,0.0,0.0,35.15,35.15,35.15,0.0,0.0,35.15,35.15,35.15,0.0,0.0,35.15,35.15,35.15,0.0,0.0
2016-08-14,35.49,35.49,35.49,0.0,0.0,35.49,35.49,35.49,0.0,0.0,35.49,35.49,35.49,0.0,0.0,35.49,35.49,35.49,0.0,0.0
2016-08-21,35.56,35.56,35.56,0.0,0.0,35.74,35.74,35.74,0.0,0.0,35.56,35.56,35.56,0.0,0.0,35.74,35.74,35.74,0.0,0.0
