Date,iShares S&P 500 Value_etf_Open_average,iShares S&P 500 Value_etf_Open_max,iShares S&P 500 Value_etf_Open_min,iShares S&P 500 Value_etf_Open_volatility,iShares S&P 500 Value_etf_Open_change,iShares S&P 500 Value_etf_High_average,iShares S&P 500 Value_etf_High_max,iShares S&P 500 Value_etf_High_min,iShares S&P 500 Value_etf_High_volatility,iShares S&P 500 Value_etf_High_change,iShares S&P 500 Value_etf_Low_average,iShares S&P 500 Value_etf_Low_max,iShares S&P 500 Value_etf_Low_min,iShares S&P 500 Value_etf_Low_volatility,iShares S&P 500 Value_etf_Low_change,iShares S&P 500 Value_etf_Close_average,iShares S&P 500 Value_etf_Close_max,iShares S&P 500 Value_etf_Close_min,iShares S&P 500 Value_etf_Close_volatility,iShares S&P 500 Value_etf_Close_change
2016-01-03,85.12,85.12,85.12,0.0,0.0,85.15,85.15,85.15,0.0,0.0,83.26,83.26,83.26,0.0,0.0,83.37,83.37,83.37,0.0,0.0
2016-01-10,81.12,81.12,81.12,0.0,0.0,81.88,81.88,81.88,0.0,0.0,80.56,80.56,80.56,0.0,0.0,81.62,81.62,81.62,0.0,0.0
2016-01-17,82.16,82.16,82.16,0.0,0.0,82.41,82.41,82.41,0.0,0.0,81.54,81.54,81.54,0.0,0.0,82.22,82.22,82.22,0.0,0.0
2016-01-24,82.51,82.51,82.51,0.0,0.0,84.17,84.17,84.17,0.0,0.0,82.5,82.5,82.5,0.0,0.0,84.15,84.15,84.15,0.0,0.0
2016-01-31,83.46,83.46,83.46,0.0,0.0,83.64,83.64,83.64,0.0,0.0,82.47,82.47,82.47,0.0,0.0,82.8,82.8,82.8,0.0,0.0
2016-02-07,80.88,80.88,80.88,0.0,0.0,81.91,81.91,81.91,0.0,0.0,80.6,80.6,80.6,0.0,0.0,81.89,81.89,81.89,0.0,0.0
2016-02-14,83.89,83.89,83.89,0.0,0.0,84.07,84.07,84.07,0.0,0.0,83.4,83.4,83.4,0.0,0.0,84.07,84.07,84.07,0.0,0.0
2016-02-21,85.95,85.95,85.95,0.0,0.0,86.0,86.0,86.0,0.0,0.0,85.26,85.26,85.26,0.0,0.0,85.32,85.32,85.32,0.0,0.0
2016-02-28,87.87,87.87,87.87,0.0,0.0,88.62,88.62,88.62,0.0,0.0,87.52,87.52,87.52,0.0,0.0,88.22,88.22,88.22,0.0,0.0
2016-03-06,88.73,88.73,88.73,0.0,0.0,89.41,89.41,89.41,0.0,0.0,88.71,88.71,88.71,0.0,0.0,89.37,89.37,89.37,0.0,0.0
2016-03-13,90.43,90.43,90.43,0.0,0.0,90.93,90.93,90.93,0.0,0.0,90.43,90.43,90.43,0.0,0.0,90.74,90.74,90.74,0.0,0.0
2016-03-20,88.63,88.63,88.63,0.0,0.0,89.14,89.14,89.14,0.0,0.0,88.37,88.37,88.37,0.0,0.0,89.14,89.14,89.14,0.0,0.0
