Date,Victory CEMP US 500 Volatility WeightedEtf_Open_average,Victory CEMP US 500 Volatility WeightedEtf_Open_max,Victory CEMP US 500 Volatility WeightedEtf_Open_min,Victory CEMP US 500 Volatility WeightedEtf_Open_volatility,Victory CEMP US 500 Volatility WeightedEtf_Open_change,Victory CEMP US 500 Volatility WeightedEtf_High_average,Victory CEMP US 500 Volatility WeightedEtf_High_max,Victory CEMP US 500 Volatility WeightedEtf_High_min,Victory CEMP US 500 Volatility WeightedEtf_High_volatility,Victory CEMP US 500 Volatility WeightedEtf_High_change,Victory CEMP US 500 Volatility WeightedEtf_Low_average,Victory CEMP US 500 Volatility WeightedEtf_Low_max,Victory CEMP US 500 Volatility WeightedEtf_Low_min,Victory CEMP US 500 Volatility WeightedEtf_Low_volatility,Victory CEMP US 500 Volatility WeightedEtf_Low_change,Victory CEMP US 500 Volatility WeightedEtf_Close_average,Victory CEMP US 500 Volatility WeightedEtf_Close_max,Victory CEMP US 500 Volatility WeightedEtf_Close_min,Victory CEMP US 500 Volatility WeightedEtf_Close_volatility,Victory CEMP US 500 Volatility WeightedEtf_Close_change
2016-01-03,34.09,34.09,34.09,0.0,0.0,34.14,34.14,34.14,0.0,0.0,33.91,33.91,33.91,0.0,0.0,33.95,33.95,33.95,0.0,0.0
2016-01-10,32.76,32.76,32.76,0.0,0.0,32.91,32.91,32.91,0.0,0.0,32.47,32.47,32.47,0.0,0.0,32.9,32.9,32.9,0.0,0.0
2016-01-17,32.88,32.88,32.88,0.0,0.0,33.23,33.23,33.23,0.0,0.0,32.88,32.88,32.88,0.0,0.0,33.23,33.23,33.23,0.0,0.0
2016-01-24,33.4,33.4,33.4,0.0,0.0,33.85,33.85,33.85,0.0,0.0,33.4,33.4,33.4,0.0,0.0,33.85,33.85,33.85,0.0,0.0
2016-01-31,33.14,33.14,33.14,0.0,0.0,33.25,33.25,33.25,0.0,0.0,33.07,33.07,33.07,0.0,0.0,33.07,33.07,33.07,0.0,0.0
2016-02-07,32.64,32.64,32.64,0.0,0.0,32.65,32.65,32.65,0.0,0.0,32.46,32.46,32.46,0.0,0.0,32.65,32.65,32.65,0.0,0.0
2016-02-14,33.66,33.66,33.66,0.0,0.0,33.88,33.88,33.88,0.0,0.0,33.66,33.66,33.66,0.0,0.0,33.87,33.87,33.87,0.0,0.0
2016-02-21,34.78,34.78,34.78,0.0,0.0,34.79,34.79,34.79,0.0,0.0,34.69,34.69,34.69,0.0,0.0,34.71,34.71,34.71,0.0,0.0
2016-02-28,35.69,35.69,35.69,0.0,0.0,35.76,35.76,35.76,0.0,0.0,35.52,35.52,35.52,0.0,0.0,35.6,35.6,35.6,0.0,0.0
2016-03-06,35.71,35.71,35.71,0.0,0.0,35.88,35.88,35.88,0.0,0.0,35.71,35.71,35.71,0.0,0.0,35.88,35.88,35.88,0.0,0.0
2016-03-13,36.46,36.46,36.46,0.0,0.0,36.48,36.48,36.48,0.0,0.0,36.38,36.38,36.38,0.0,0.0,36.44,36.44,36.44,0.0,0.0
