Date,Guggenheim CurrencyShares EuroEtf_Open_average,Guggenheim CurrencyShares EuroEtf_Open_max,Guggenheim CurrencyShares EuroEtf_Open_min,Guggenheim CurrencyShares EuroEtf_Open_volatility,Guggenheim CurrencyShares EuroEtf_Open_change,Guggenheim CurrencyShares EuroEtf_High_average,Guggenheim CurrencyShares EuroEtf_High_max,Guggenheim CurrencyShares EuroEtf_High_min,Guggenheim CurrencyShares EuroEtf_High_volatility,Guggenheim CurrencyShares EuroEtf_High_change,Guggenheim CurrencyShares EuroEtf_Low_average,Guggenheim CurrencyShares EuroEtf_Low_max,Guggenheim CurrencyShares EuroEtf_Low_min,Guggenheim CurrencyShares EuroEtf_Low_volatility,Guggenheim CurrencyShares EuroEtf_Low_change,Guggenheim CurrencyShares EuroEtf_Close_average,Guggenheim CurrencyShares EuroEtf_Close_max,Guggenheim CurrencyShares EuroEtf_Close_min,Guggenheim CurrencyShares EuroEtf_Close_volatility,Guggenheim CurrencyShares EuroEtf_Close_change
2016-01-03,106.42,106.42,106.42,0.0,0.0,106.9,106.9,106.9,0.0,0.0,106.24,106.24,106.24,0.0,0.0,106.88,106.88,106.88,0.0,0.0
2016-01-10,107.35,107.35,107.35,0.0,0.0,107.48,107.48,107.48,0.0,0.0,106.76,106.76,106.76,0.0,0.0,106.86,106.86,106.86,0.0,0.0
2016-01-17,105.8,105.8,105.8,0.0,0.0,106.04,106.04,106.04,0.0,0.0,105.57,105.57,105.57,0.0,0.0,105.63,105.63,105.63,0.0,0.0
2016-01-24,106.2,106.2,106.2,0.0,0.0,106.2,106.2,106.2,0.0,0.0,105.77,105.77,105.77,0.0,0.0,105.97,105.97,105.97,0.0,0.0
2016-01-31,108.93,108.93,108.93,0.0,0.0,109.22,109.22,109.22,0.0,0.0,108.69,108.69,108.69,0.0,0.0,109.08,109.08,109.08,0.0,0.0
2016-02-07,109.95,109.95,109.95,0.0,0.0,110.28,110.28,110.28,0.0,0.0,109.7,109.7,109.7,0.0,0.0,110.07,110.07,110.07,0.0,0.0
2016-02-14,108.37,108.37,108.37,0.0,0.0,108.92,108.92,108.92,0.0,0.0,108.35,108.35,108.35,0.0,0.0,108.88,108.88,108.88,0.0,0.0
2016-02-21,107.25,107.25,107.25,0.0,0.0,107.38,107.38,107.38,0.0,0.0,106.73,106.73,106.73,0.0,0.0,106.96,106.96,106.96,0.0,0.0
2016-02-28,107.32,107.32,107.32,0.0,0.0,107.96,107.96,107.96,0.0,0.0,107.28,107.28,107.28,0.0,0.0,107.58,107.58,107.58,0.0,0.0
2016-03-06,108.72,108.72,108.72,0.0,0.0,109.41,109.41,109.41,0.0,0.0,108.68,108.68,108.68,0.0,0.0,109.01,109.01,109.01,0.0,0.0
