Date,ProShares UltraPro Short Dow 30_etf_Open_average,ProShares UltraPro Short Dow 30_etf_Open_max,ProShares UltraPro Short Dow 30_etf_Open_min,ProShares UltraPro Short Dow 30_etf_Open_volatility,ProShares UltraPro Short Dow 30_etf_Open_change,ProShares UltraPro Short Dow 30_etf_High_average,ProShares UltraPro Short Dow 30_etf_High_max,ProShares UltraPro Short Dow 30_etf_High_min,ProShares UltraPro Short Dow 30_etf_High_volatility,ProShares UltraPro Short Dow 30_etf_High_change,ProShares UltraPro Short Dow 30_etf_Low_average,ProShares UltraPro Short Dow 30_etf_Low_max,ProShares UltraPro Short Dow 30_etf_Low_min,ProShares UltraPro Short Dow 30_etf_Low_volatility,ProShares UltraPro Short Dow 30_etf_Low_change,ProShares UltraPro Short Dow 30_etf_Close_average,ProShares UltraPro Short Dow 30_etf_Close_max,ProShares UltraPro Short Dow 30_etf_Close_min,ProShares UltraPro Short Dow 30_etf_Close_volatility,ProShares UltraPro Short Dow 30_etf_Close_change
2016-01-03,324.8,324.8,324.8,0.0,0.0,342.72,342.72,342.72,0.0,0.0,322.4,322.4,322.4,0.0,0.0,341.12,341.12,341.12,0.0,0.0
2016-01-10,364.32,364.32,364.32,0.0,0.0,370.08,370.08,370.08,0.0,0.0,355.84,355.84,355.84,0.0,0.0,361.12,361.12,361.12,0.0,0.0
2016-01-17,352.16,352.16,352.16,0.0,0.0,361.12,361.12,361.12,0.0,0.0,349.78,349.78,349.78,0.0,0.0,353.12,353.12,353.12,0.0,0.0
2016-01-24,345.44,345.44,345.44,0.0,0.0,347.68,347.68,347.68,0.0,0.0,327.68,327.68,327.68,0.0,0.0,328.32,328.32,328.32,0.0,0.0
2016-01-31,330.24,330.24,330.24,0.0,0.0,345.6,345.6,345.6,0.0,0.0,329.12,329.12,329.12,0.0,0.0,340.96,340.96,340.96,0.0,0.0
2016-02-07,365.12,365.12,365.12,0.0,0.0,369.12,369.12,369.12,0.0,0.0,352.48,352.48,352.48,0.0,0.0,352.48,352.48,352.48,0.0,0.0
2016-02-14,328.0,328.0,328.0,0.0,0.0,330.85,330.85,330.85,0.0,0.0,323.84,323.84,323.84,0.0,0.0,324.16,324.16,324.16,0.0,0.0
2016-02-21,300.0,300.0,300.0,0.0,0.0,309.28,309.28,309.28,0.0,0.0,299.2,299.2,299.2,0.0,0.0,308.64,308.64,308.64,0.0,0.0
2016-02-28,290.08,290.08,290.08,0.0,0.0,293.28,293.28,293.28,0.0,0.0,284.8,284.8,284.8,0.0,0.0,288.0,288.0,288.0,0.0,0.0
2016-03-06,280.0,280.0,280.0,0.0,0.0,280.32,280.32,280.32,0.0,0.0,275.78,275.78,275.78,0.0,0.0,276.0,276.0,276.0,0.0,0.0
2016-03-13,260.96,260.96,260.96,0.0,0.0,261.28,261.28,261.28,0.0,0.0,257.12,257.12,257.12,0.0,0.0,257.92,257.92,257.92,0.0,0.0
2016-03-20,266.88,266.88,266.88,0.0,0.0,267.2,267.2,267.2,0.0,0.0,261.6,261.6,261.6,0.0,0.0,261.6,261.6,261.6,0.0,0.0
2016-03-27,259.04,259.04,259.04,0.0,0.0,259.27,259.27,259.27,0.0,0.0,248.8,248.8,248.8,0.0,0.0,249.44,249.44,249.44,0.0,0.0
2016-04-03,255.36,255.36,255.36,0.0,0.0,260.47,260.47,260.47,0.0,0.0,252.88,252.88,252.88,0.0,0.0,258.4,258.4,258.4,0.0,0.0
2016-04-10,243.04,243.04,243.04,0.0,0.0,245.28,245.28,245.28,0.0,0.0,242.4,242.4,242.4,0.0,0.0,244.16,244.16,244.16,0.0,0.0
2016-04-17,240.16,240.16,240.16,0.0,0.0,243.17,243.17,243.17,0.0,0.0,238.4,238.4,238.4,0.0,0.0,239.2,239.2,239.2,0.0,0.0
2016-04-24,248.8,248.8,248.8,0.0,0.0,253.63,253.63,253.63,0.0,0.0,246.9,246.9,246.9,0.0,0.0,248.64,248.64,248.64,0.0,0.0
2016-05-01,256.0,256.0,256.0,0.0,0.0,256.16,256.16,256.16,0.0,0.0,248.96,248.96,248.96,0.0,0.0,249.12,249.12,249.12,0.0,0.0
2016-05-08,250.56,250.56,250.56,0.0,0.0,257.28,257.28,257.28,0.0,0.0,248.0,248.0,248.0,0.0,0.0,256.64,256.64,256.64,0.0,0.0
2016-05-15,256.96,256.96,256.96,0.0,0.0,257.74,257.74,257.74,0.0,0.0,253.28,253.28,253.28,0.0,0.0,256.32,256.32,256.32,0.0,0.0
2016-05-22,242.08,242.08,242.08,0.0,0.0,242.32,242.32,242.32,0.0,0.0,240.32,240.32,240.32,0.0,0.0,240.32,240.32,240.32,0.0,0.0
2016-05-29,243.04,243.04,243.04,0.0,0.0,247.2,247.2,247.2,0.0,0.0,241.44,241.44,241.44,0.0,0.0,242.24,242.24,242.24,0.0,0.0
2016-06-05,240.0,240.0,240.0,0.0,0.0,241.9,241.9,241.9,0.0,0.0,237.44,237.44,237.44,0.0,0.0,239.84,239.84,239.84,0.0,0.0
2016-06-12,244.48,244.48,244.48,0.0,0.0,249.92,249.92,249.92,0.0,0.0,244.48,244.48,244.48,0.0,0.0,247.04,247.04,247.04,0.0,0.0
2016-06-19,254.08,254.08,254.08,0.0,0.0,258.24,258.24,258.24,0.0,0.0,245.36,245.36,245.36,0.0,0.0,256.8,256.8,256.8,0.0,0.0
2016-06-26,234.4,234.4,234.4,0.0,0.0,234.4,234.4,234.4,0.0,0.0,230.4,230.4,230.4,0.0,0.0,232.32,232.32,232.32,0.0,0.0
2016-07-03,229.6,229.6,229.6,0.0,0.0,229.6,229.6,229.6,0.0,0.0,223.52,223.52,223.52,0.0,0.0,224.32,224.32,224.32,0.0,0.0
2016-07-10,209.76,209.76,209.76,0.0,0.0,212.56,212.56,212.56,0.0,0.0,208.96,208.96,208.96,0.0,0.0,211.04,211.04,211.04,0.0,0.0
2016-07-17,210.56,210.56,210.56,0.0,0.0,211.49,211.49,211.49,0.0,0.0,208.64,208.64,208.64,0.0,0.0,208.96,208.96,208.96,0.0,0.0
2016-07-24,214.56,214.56,214.56,0.0,0.0,215.52,215.52,215.52,0.0,0.0,212.16,212.16,212.16,0.0,0.0,213.44,213.44,213.44,0.0,0.0
2016-07-31,212.0,212.0,212.0,0.0,0.0,212.64,212.64,212.64,0.0,0.0,209.44,209.44,209.44,0.0,0.0,209.6,209.6,209.6,0.0,0.0
2016-08-07,206.72,206.72,206.72,0.0,0.0,208.48,208.48,208.48,0.0,0.0,206.08,206.08,206.08,0.0,0.0,207.2,207.2,207.2,0.0,0.0
2016-08-14,207.52,207.52,207.52,0.0,0.0,208.96,208.96,208.96,0.0,0.0,205.92,205.92,205.92,0.0,0.0,207.04,207.04,207.04,0.0,0.0
2016-08-21,209.92,209.92,209.92,0.0,0.0,214.32,214.32,214.32,0.0,0.0,206.24,206.24,206.24,0.0,0.0,212.32,212.32,212.32,0.0,0.0
2016-08-28,208.0,208.0,208.0,0.0,0.0,210.08,210.08,210.08,0.0,0.0,206.4,206.4,206.4,0.0,0.0,208.96,208.96,208.96,0.0,0.0
2016-09-04,212.96,212.96,212.96,0.0,0.0,221.6,221.6,221.6,0.0,0.0,212.48,212.48,212.48,0.0,0.0,221.44,221.44,221.44,0.0,0.0
2016-09-11,218.72,218.72,218.72,0.0,0.0,221.44,221.44,221.44,0.0,0.0,218.08,218.08,218.08,0.0,0.0,219.68,219.68,219.68,0.0,0.0
2016-09-18,210.88,210.88,210.88,0.0,0.0,214.64,214.64,214.64,0.0,0.0,210.56,210.56,210.56,0.0,0.0,214.24,214.24,214.24,0.0,0.0
2016-09-25,215.52,215.52,215.52,0.0,0.0,215.52,215.52,215.52,0.0,0.0,210.16,210.16,210.16,0.0,0.0,212.48,212.48,212.48,0.0,0.0
