Date,BIOS_stock_Open_average,BIOS_stock_Open_max,BIOS_stock_Open_min,BIOS_stock_Open_volatility,BIOS_stock_Open_change,BIOS_stock_High_average,BIOS_stock_High_max,BIOS_stock_High_min,BIOS_stock_High_volatility,BIOS_stock_High_change,BIOS_stock_Low_average,BIOS_stock_Low_max,BIOS_stock_Low_min,BIOS_stock_Low_volatility,BIOS_stock_Low_change,BIOS_stock_Close_average,BIOS_stock_Close_max,BIOS_stock_Close_min,BIOS_stock_Close_volatility,BIOS_stock_Close_change,BIOS_stock_Volume_average,BIOS_stock_Volume_max,BIOS_stock_Volume_min,BIOS_stock_Volume_volatility,BIOS_stock_Volume_change
2016-01-03,1.686,1.84,1.53,0.31000000000000005,-0.17999999999999994,1.738,1.86,1.57,0.29000000000000004,-0.29000000000000004,1.5819999999999999,1.67,1.41,0.26,-0.22999999999999998,1.644,1.86,1.42,0.44000000000000017,-0.44000000000000017,1045598,1566885,446528,1120357,-410931
2016-01-10,1.342,1.43,1.26,0.16999999999999993,-0.05999999999999983,1.442,1.5,1.37,0.1299999999999999,-0.08999999999999986,1.242,1.3,1.19,0.1100000000000001,-0.040000000000000036,1.344,1.42,1.28,0.1399999999999999,0.06000000000000005,923390,1094631,547041,547590,-515725
2016-01-17,1.605,1.8,1.46,0.3400000000000001,0.32000000000000006,1.7275,1.85,1.54,0.31000000000000005,0.30000000000000004,1.5274999999999999,1.66,1.35,0.30999999999999983,0.17999999999999994,1.6625,1.77,1.51,0.26,0.17999999999999994,1054188,1253771,884505,369266,-270789
2016-01-24,1.716,1.75,1.67,0.08000000000000007,0.030000000000000027,1.796,1.84,1.74,0.10000000000000009,0.06000000000000005,1.642,1.7,1.57,0.1299999999999999,0.040000000000000036,1.736,1.79,1.7,0.09000000000000008,0.09000000000000008,567316,890364,421202,469162,105762
2016-01-31,1.672,1.77,1.6,0.16999999999999993,-0.16999999999999993,1.702,1.8,1.62,0.17999999999999994,-0.17999999999999994,1.588,1.63,1.54,0.08999999999999986,-0.08999999999999986,1.62,1.7,1.56,0.1399999999999999,-0.1399999999999999,521968,648241,303384,344857,-127721
2016-02-07,1.524,1.55,1.5,0.050000000000000044,-0.020000000000000018,1.59,1.67,1.53,0.1399999999999999,-0.040000000000000036,1.462,1.47,1.45,0.020000000000000018,0.010000000000000009,1.526,1.56,1.5,0.06000000000000005,-0.050000000000000044,513916,641810,392880,248930,-43439
2016-02-14,1.7875,2.16,1.52,0.6400000000000001,0.6400000000000001,1.9925,2.25,1.75,0.5,0.5,1.7325,1.97,1.51,0.45999999999999996,0.45999999999999996,1.93,2.15,1.69,0.45999999999999996,0.3999999999999999,989823,2038840,412194,1626646,553524
2016-02-21,2.094,2.2,2.0,0.20000000000000018,-0.020000000000000018,2.186,2.22,2.12,0.10000000000000009,-0.03000000000000025,2.016,2.09,1.96,0.1299999999999999,-0.040000000000000036,2.084,2.15,2.01,0.14000000000000012,-0.04999999999999982,750184,1185008,340093,844915,-749065
2016-02-28,2.24,2.38,2.07,0.31000000000000005,0.28000000000000025,2.426,2.67,2.25,0.41999999999999993,0.25,2.154,2.33,2.03,0.30000000000000027,0.30000000000000027,2.282,2.42,2.16,0.2599999999999998,0.2599999999999998,1090712,1378523,877084,501439,13559
2016-03-06,2.374,2.53,2.2,0.3299999999999996,-0.22999999999999998,2.426,2.54,2.23,0.31000000000000005,-0.31000000000000005,2.254,2.38,2.14,0.23999999999999977,-0.20999999999999996,2.316,2.52,2.19,0.33000000000000007,-0.31999999999999984,699597,1053974,394848,659126,-347468
