Date,First Trust NASDAQ-100 Equal WeightedEtf_Open_average,First Trust NASDAQ-100 Equal WeightedEtf_Open_max,First Trust NASDAQ-100 Equal WeightedEtf_Open_min,First Trust NASDAQ-100 Equal WeightedEtf_Open_volatility,First Trust NASDAQ-100 Equal WeightedEtf_Open_change,First Trust NASDAQ-100 Equal WeightedEtf_High_average,First Trust NASDAQ-100 Equal WeightedEtf_High_max,First Trust NASDAQ-100 Equal WeightedEtf_High_min,First Trust NASDAQ-100 Equal WeightedEtf_High_volatility,First Trust NASDAQ-100 Equal WeightedEtf_High_change,First Trust NASDAQ-100 Equal WeightedEtf_Low_average,First Trust NASDAQ-100 Equal WeightedEtf_Low_max,First Trust NASDAQ-100 Equal WeightedEtf_Low_min,First Trust NASDAQ-100 Equal WeightedEtf_Low_volatility,First Trust NASDAQ-100 Equal WeightedEtf_Low_change,First Trust NASDAQ-100 Equal WeightedEtf_Close_average,First Trust NASDAQ-100 Equal WeightedEtf_Close_max,First Trust NASDAQ-100 Equal WeightedEtf_Close_min,First Trust NASDAQ-100 Equal WeightedEtf_Close_volatility,First Trust NASDAQ-100 Equal WeightedEtf_Close_change
2016-01-03,41.26,41.26,41.26,0.0,0.0,41.32,41.32,41.32,0.0,0.0,40.43,40.43,40.43,0.0,0.0,40.5,40.5,40.5,0.0,0.0
2016-01-10,38.88,38.88,38.88,0.0,0.0,39.17,39.17,39.17,0.0,0.0,38.33,38.33,38.33,0.0,0.0,38.89,38.89,38.89,0.0,0.0
2016-01-17,39.63,39.63,39.63,0.0,0.0,39.87,39.87,39.87,0.0,0.0,39.51,39.51,39.51,0.0,0.0,39.79,39.79,39.79,0.0,0.0
2016-01-24,38.95,38.95,38.95,0.0,0.0,39.92,39.92,39.92,0.0,0.0,38.95,38.95,38.95,0.0,0.0,39.88,39.88,39.88,0.0,0.0
2016-01-31,39.16,39.16,39.16,0.0,0.0,39.16,39.16,39.16,0.0,0.0,37.82,37.82,37.82,0.0,0.0,37.95,37.95,37.95,0.0,0.0
2016-02-07,37.16,37.16,37.16,0.0,0.0,37.6,37.6,37.6,0.0,0.0,36.73,36.73,36.73,0.0,0.0,37.58,37.58,37.58,0.0,0.0
2016-02-14,39.01,39.01,39.01,0.0,0.0,39.33,39.33,39.33,0.0,0.0,38.81,38.81,38.81,0.0,0.0,39.31,39.31,39.31,0.0,0.0
2016-02-21,40.53,40.53,40.53,0.0,0.0,40.53,40.53,40.53,0.0,0.0,40.2,40.2,40.2,0.0,0.0,40.3,40.3,40.3,0.0,0.0
2016-02-28,41.2,41.2,41.2,0.0,0.0,41.45,41.45,41.45,0.0,0.0,40.99,40.99,40.99,0.0,0.0,41.18,41.18,41.18,0.0,0.0
2016-03-06,41.28,41.28,41.28,0.0,0.0,41.61,41.61,41.61,0.0,0.0,41.19,41.19,41.19,0.0,0.0,41.61,41.61,41.61,0.0,0.0
