Date,ProShares UltraShort Silver_etf_Open_average,ProShares UltraShort Silver_etf_Open_max,ProShares UltraShort Silver_etf_Open_min,ProShares UltraShort Silver_etf_Open_volatility,ProShares UltraShort Silver_etf_Open_change,ProShares UltraShort Silver_etf_High_average,ProShares UltraShort Silver_etf_High_max,ProShares UltraShort Silver_etf_High_min,ProShares UltraShort Silver_etf_High_volatility,ProShares UltraShort Silver_etf_High_change,ProShares UltraShort Silver_etf_Low_average,ProShares UltraShort Silver_etf_Low_max,ProShares UltraShort Silver_etf_Low_min,ProShares UltraShort Silver_etf_Low_volatility,ProShares UltraShort Silver_etf_Low_change,ProShares UltraShort Silver_etf_Close_average,ProShares UltraShort Silver_etf_Close_max,ProShares UltraShort Silver_etf_Close_min,ProShares UltraShort Silver_etf_Close_volatility,ProShares UltraShort Silver_etf_Close_change
2016-01-03,62.05,62.05,62.05,0.0,0.0,63.84,63.84,63.84,0.0,0.0,62.05,62.05,62.05,0.0,0.0,62.94,62.94,62.94,0.0,0.0
2016-01-10,62.24,62.24,62.24,0.0,0.0,63.9,63.9,63.9,0.0,0.0,61.8,61.8,61.8,0.0,0.0,63.82,63.82,63.82,0.0,0.0
2016-01-17,60.83,60.83,60.83,0.0,0.0,62.35,62.35,62.35,0.0,0.0,59.57,59.57,59.57,0.0,0.0,62.32,62.32,62.32,0.0,0.0
2016-01-24,59.79,59.79,59.79,0.0,0.0,60.25,60.25,60.25,0.0,0.0,59.4,59.4,59.4,0.0,0.0,59.69,59.69,59.69,0.0,0.0
2016-01-31,56.05,56.05,56.05,0.0,0.0,56.28,56.28,56.28,0.0,0.0,53.41,53.41,53.41,0.0,0.0,53.42,53.42,53.42,0.0,0.0
2016-02-07,48.85,48.85,48.85,0.0,0.0,49.15,49.15,49.15,0.0,0.0,48.1,48.1,48.1,0.0,0.0,48.58,48.58,48.58,0.0,0.0
2016-02-14,51.1,51.1,51.1,0.0,0.0,51.1,51.1,51.1,0.0,0.0,50.3,50.3,50.3,0.0,0.0,50.74,50.74,50.74,0.0,0.0
2016-02-21,53.01,53.01,53.01,0.0,0.0,55.33,55.33,55.33,0.0,0.0,52.76,52.76,52.76,0.0,0.0,55.11,55.11,55.11,0.0,0.0
2016-02-28,49.93,49.93,49.93,0.0,0.0,50.07,50.07,50.07,0.0,0.0,47.5,47.5,47.5,0.0,0.0,49.53,49.53,49.53,0.0,0.0
2016-03-06,48.71,48.71,48.71,0.0,0.0,49.74,49.74,49.74,0.0,0.0,48.31,48.31,48.31,0.0,0.0,49.74,49.74,49.74,0.0,0.0
