Date,Direxion Daily Junior Gold Miners Bull 3X SharesEtf_Open_average,Direxion Daily Junior Gold Miners Bull 3X SharesEtf_Open_max,Direxion Daily Junior Gold Miners Bull 3X SharesEtf_Open_min,Direxion Daily Junior Gold Miners Bull 3X SharesEtf_Open_volatility,Direxion Daily Junior Gold Miners Bull 3X SharesEtf_Open_change,Direxion Daily Junior Gold Miners Bull 3X SharesEtf_High_average,Direxion Daily Junior Gold Miners Bull 3X SharesEtf_High_max,Direxion Daily Junior Gold Miners Bull 3X SharesEtf_High_min,Direxion Daily Junior Gold Miners Bull 3X SharesEtf_High_volatility,Direxion Daily Junior Gold Miners Bull 3X SharesEtf_High_change,Direxion Daily Junior Gold Miners Bull 3X SharesEtf_Low_average,Direxion Daily Junior Gold Miners Bull 3X SharesEtf_Low_max,Direxion Daily Junior Gold Miners Bull 3X SharesEtf_Low_min,Direxion Daily Junior Gold Miners Bull 3X SharesEtf_Low_volatility,Direxion Daily Junior Gold Miners Bull 3X SharesEtf_Low_change,Direxion Daily Junior Gold Miners Bull 3X SharesEtf_Close_average,Direxion Daily Junior Gold Miners Bull 3X SharesEtf_Close_max,Direxion Daily Junior Gold Miners Bull 3X SharesEtf_Close_min,Direxion Daily Junior Gold Miners Bull 3X SharesEtf_Close_volatility,Direxion Daily Junior Gold Miners Bull 3X SharesEtf_Close_change
2016-01-03,716.0,716.0,716.0,0.0,0.0,727.4,727.4,727.4,0.0,0.0,660.6,660.6,660.6,0.0,0.0,704.2,704.2,704.2,0.0,0.0
2016-01-10,556.0,556.0,556.0,0.0,0.0,557.78,557.78,557.78,0.0,0.0,493.61,493.61,493.61,0.0,0.0,499.2,499.2,499.2,0.0,0.0
2016-01-17,440.0,440.0,440.0,0.0,0.0,491.26,491.26,491.26,0.0,0.0,439.2,439.2,439.2,0.0,0.0,471.0,471.0,471.0,0.0,0.0
2016-01-24,552.4,552.4,552.4,0.0,0.0,589.4,589.4,589.4,0.0,0.0,536.4,536.4,536.4,0.0,0.0,587.0,587.0,587.0,0.0,0.0
2016-01-31,713.2,713.2,713.2,0.0,0.0,857.22,857.22,857.22,0.0,0.0,689.58,689.58,689.58,0.0,0.0,856.66,856.66,856.66,0.0,0.0
2016-02-07,1025.8,1025.8,1025.8,0.0,0.0,1230.8,1230.8,1230.8,0.0,0.0,1007.4,1007.4,1007.4,0.0,0.0,1229.2,1229.2,1229.2,0.0,0.0
2016-02-14,1208.0,1208.0,1208.0,0.0,0.0,1230.0,1230.0,1230.0,0.0,0.0,1123.6,1123.6,1123.6,0.0,0.0,1146.6,1146.6,1146.6,0.0,0.0
2016-02-21,1209.2,1209.2,1209.2,0.0,0.0,1273.25,1273.25,1273.25,0.0,0.0,1137.0,1137.0,1137.0,0.0,0.0,1163.6,1163.6,1163.6,0.0,0.0
2016-02-28,1522.2,1522.2,1522.2,0.0,0.0,1762.0,1762.0,1762.0,0.0,0.0,1452.0,1452.0,1452.0,0.0,0.0,1471.0,1471.0,1471.0,0.0,0.0
2016-03-06,1537.2,1537.2,1537.2,0.0,0.0,1613.38,1613.38,1613.38,0.0,0.0,1414.83,1414.83,1414.83,0.0,0.0,1432.2,1432.2,1432.2,0.0,0.0
