Date,PowerShares Global Clean Energy_etf_Open_average,PowerShares Global Clean Energy_etf_Open_max,PowerShares Global Clean Energy_etf_Open_min,PowerShares Global Clean Energy_etf_Open_volatility,PowerShares Global Clean Energy_etf_Open_change,PowerShares Global Clean Energy_etf_High_average,PowerShares Global Clean Energy_etf_High_max,PowerShares Global Clean Energy_etf_High_min,PowerShares Global Clean Energy_etf_High_volatility,PowerShares Global Clean Energy_etf_High_change,PowerShares Global Clean Energy_etf_Low_average,PowerShares Global Clean Energy_etf_Low_max,PowerShares Global Clean Energy_etf_Low_min,PowerShares Global Clean Energy_etf_Low_volatility,PowerShares Global Clean Energy_etf_Low_change,PowerShares Global Clean Energy_etf_Close_average,PowerShares Global Clean Energy_etf_Close_max,PowerShares Global Clean Energy_etf_Close_min,PowerShares Global Clean Energy_etf_Close_volatility,PowerShares Global Clean Energy_etf_Close_change
2016-01-03,10.68,10.68,10.68,0.0,0.0,10.68,10.68,10.68,0.0,0.0,10.53,10.53,10.53,0.0,0.0,10.56,10.56,10.56,0.0,0.0
2016-01-10,9.91,9.91,9.91,0.0,0.0,9.99,9.99,9.99,0.0,0.0,9.78,9.78,9.78,0.0,0.0,9.92,9.92,9.92,0.0,0.0
2016-01-17,9.9,9.9,9.9,0.0,0.0,10.01,10.01,10.01,0.0,0.0,9.88,9.88,9.88,0.0,0.0,9.99,9.99,9.99,0.0,0.0
2016-01-24,10.0,10.0,10.0,0.0,0.0,10.15,10.15,10.15,0.0,0.0,10.0,10.0,10.0,0.0,0.0,10.15,10.15,10.15,0.0,0.0
2016-01-31,9.97,9.97,9.97,0.0,0.0,9.97,9.97,9.97,0.0,0.0,9.75,9.75,9.75,0.0,0.0,9.75,9.75,9.75,0.0,0.0
2016-02-07,9.26,9.26,9.26,0.0,0.0,9.33,9.33,9.33,0.0,0.0,9.22,9.22,9.22,0.0,0.0,9.31,9.31,9.31,0.0,0.0
2016-02-14,9.81,9.81,9.81,0.0,0.0,9.88,9.88,9.88,0.0,0.0,9.81,9.81,9.81,0.0,0.0,9.85,9.85,9.85,0.0,0.0
2016-02-21,10.07,10.07,10.07,0.0,0.0,10.1,10.1,10.1,0.0,0.0,10.02,10.02,10.02,0.0,0.0,10.03,10.03,10.03,0.0,0.0
2016-02-28,10.52,10.52,10.52,0.0,0.0,10.62,10.62,10.62,0.0,0.0,10.5,10.5,10.5,0.0,0.0,10.5,10.5,10.5,0.0,0.0
2016-03-06,10.54,10.54,10.54,0.0,0.0,10.71,10.71,10.71,0.0,0.0,10.54,10.54,10.54,0.0,0.0,10.69,10.69,10.69,0.0,0.0
2016-03-13,10.85,10.85,10.85,0.0,0.0,10.96,10.96,10.96,0.0,0.0,10.83,10.83,10.83,0.0,0.0,10.83,10.83,10.83,0.0,0.0
