Date,SSKN_stock_Open_average,SSKN_stock_Open_max,SSKN_stock_Open_min,SSKN_stock_Open_volatility,SSKN_stock_Open_change,SSKN_stock_High_average,SSKN_stock_High_max,SSKN_stock_High_min,SSKN_stock_High_volatility,SSKN_stock_High_change,SSKN_stock_Low_average,SSKN_stock_Low_max,SSKN_stock_Low_min,SSKN_stock_Low_volatility,SSKN_stock_Low_change,SSKN_stock_Close_average,SSKN_stock_Close_max,SSKN_stock_Close_min,SSKN_stock_Close_volatility,SSKN_stock_Close_change,SSKN_stock_Volume_average,SSKN_stock_Volume_max,SSKN_stock_Volume_min,SSKN_stock_Volume_volatility,SSKN_stock_Volume_change
2016-01-03,5.653,5.85,5.5,0.34999999999999964,-0.20000000000000018,5.7298,5.9,5.6,0.3000000000000007,-0.1509999999999998,5.57,5.75,5.5,0.25,-0.09999999999999964,5.6384,5.75,5.6,0.15000000000000036,0.0420000000000007,5287,15414,960,14454,-1918
2016-01-10,5.43,5.65,5.25,0.40000000000000036,-0.25,5.53,5.65,5.4,0.25,-0.25,5.26,5.4,5.1,0.3000000000000007,-0.3000000000000007,5.3744000000000005,5.55,5.2,0.34999999999999964,-0.34999999999999964,5396,10359,1685,8674,-2621
2016-01-17,5.2125,5.3,5.05,0.25,-0.04999999999999982,5.45,5.5,5.35,0.15000000000000036,0.04999999999999982,5.1125,5.2,5.05,0.15000000000000036,0.04999999999999982,5.3125,5.5,5.2,0.2999999999999998,0.2999999999999998,3530,5143,1687,3456,2323
2016-01-24,5.41,5.5,5.25,0.25,0.0,5.45,5.5,5.35,0.15000000000000036,0.0,5.2700000000000005,5.4,5.2,0.20000000000000018,-0.15000000000000036,5.32,5.4,5.25,0.15000000000000036,-0.15000000000000036,2443,4947,647,4300,3218
2016-01-31,5.25,5.35,5.2,0.14999999999999947,0.09999999999999964,5.42,5.45,5.4,0.04999999999999982,-0.04999999999999982,5.23,5.3,5.2,0.09999999999999964,0.04999999999999982,5.36,5.4,5.25,0.15000000000000036,-0.05000000000000071,2684,5524,1448,4076,1316
2016-02-07,5.0738,5.25,4.92,0.33000000000000007,-0.33000000000000007,5.14,5.25,5.05,0.20000000000000018,-0.20000000000000018,4.9,5.15,4.65,0.5,-0.40000000000000036,5.0356,5.235,4.901,0.3340000000000005,-0.3340000000000005,3493,4975,2238,2737,424
2016-02-14,4.9695,5.05,4.901,0.14900000000000002,0.03300000000000036,5.05,5.05,5.05,0.0,0.0,4.9145,4.957,4.9,0.056999999999999496,-0.056999999999999496,4.99875,5.0,4.995,0.004999999999999893,-0.004999999999999893,1772,2834,934,1900,801
2016-02-21,5.032,5.1,4.91,0.1899999999999995,0.13999999999999968,5.17,5.25,5.05,0.20000000000000018,0.15000000000000036,4.9799999999999995,5.05,4.85,0.20000000000000018,0.14999999999999947,5.0416,5.2,4.9,0.2999999999999998,0.25,5312,13100,1286,11814,3770
2016-02-28,5.295,5.5,5.05,0.4500000000000002,0.09999999999999964,5.485,5.7,5.2,0.5,0.5,5.2124,5.425,5.037,0.3879999999999999,0.20000000000000018,5.35,5.5,5.05,0.4500000000000002,0.40000000000000036,4469,6514,2417,4097,3854
2016-03-06,5.76,7.25,5.35,1.9000000000000004,1.9000000000000004,5.9556,7.65,5.5,2.1500000000000004,2.072000000000001,5.28,5.4,5.05,0.35000000000000053,-0.2999999999999998,5.359999999999999,5.5,5.25,0.25,-0.09999999999999964,122904,552547,6282,546265,545885
