Date,COHUStock_Open_average,COHUStock_Open_max,COHUStock_Open_min,COHUStock_Open_volatility,COHUStock_Open_change,COHUStock_High_average,COHUStock_High_max,COHUStock_High_min,COHUStock_High_volatility,COHUStock_High_change,COHUStock_Low_average,COHUStock_Low_max,COHUStock_Low_min,COHUStock_Low_volatility,COHUStock_Low_change,COHUStock_Close_average,COHUStock_Close_max,COHUStock_Close_min,COHUStock_Close_volatility,COHUStock_Close_change,COHUStock_Volume_average,COHUStock_Volume_max,COHUStock_Volume_min,COHUStock_Volume_volatility,COHUStock_Volume_change
2016-01-03,11.496,11.93,11.34,0.5899999999999999,-0.5899999999999999,11.582,11.93,11.39,0.5399999999999991,-0.5399999999999991,11.246,11.44,10.96,0.47999999999999865,-0.27999999999999936,11.388,11.51,11.19,0.3200000000000003,-0.2400000000000002,123318,147402,102640,44762,-481
2016-01-10,11.372,11.67,11.15,0.5199999999999996,-0.10999999999999943,11.568,11.69,11.38,0.3099999999999987,-0.14999999999999858,11.146,11.38,10.99,0.39000000000000057,-0.22000000000000064,11.406,11.64,11.08,0.5600000000000005,-0.15000000000000036,103639,140805,81468,59337,59337
2016-01-17,11.48,11.66,11.15,0.5099999999999998,0.16999999999999993,11.6325,11.76,11.49,0.2699999999999996,0.2699999999999996,11.165,11.34,11.0,0.33999999999999986,0.3000000000000007,11.505,11.74,11.25,0.4900000000000002,0.4900000000000002,78617,98930,47729,51201,-51201
2016-01-24,11.724,11.85,11.57,0.27999999999999936,0.129999999999999,11.932,12.14,11.77,0.370000000000001,0.370000000000001,11.54,11.79,11.18,0.6099999999999994,0.6099999999999994,11.754,12.11,11.45,0.6600000000000001,0.6600000000000001,74546,143223,42988,100235,89943
2016-01-31,11.948,12.14,11.71,0.4299999999999997,-0.3100000000000005,12.104,12.31,11.83,0.4800000000000004,-0.4800000000000004,11.45,11.72,10.87,0.8500000000000014,-0.47000000000000064,11.772,12.19,11.33,0.8599999999999994,-0.8599999999999994,60060,86481,43996,42485,24309
2016-02-07,11.414,11.65,11.09,0.5600000000000005,0.41999999999999993,11.726,11.9,11.34,0.5600000000000005,0.2400000000000002,11.16,11.34,10.96,0.379999999999999,-0.10999999999999943,11.402,11.6,11.25,0.34999999999999964,-0.27999999999999936,76079,106788,45308,61480,55564
2016-02-14,11.662500000000001,12.06,11.39,0.6699999999999999,0.3200000000000003,12.075,12.35,11.95,0.40000000000000036,-0.07000000000000028,11.432500000000001,11.61,11.31,0.29999999999999893,0.29999999999999893,11.695,12.01,11.42,0.5899999999999999,-0.379999999999999,85145,110832,61894,48938,38332
2016-02-21,11.75,11.95,11.63,0.3199999999999985,0.009999999999999787,11.963333333333333,12.12,11.68,0.4399999999999995,-0.4399999999999995,11.531666666666666,11.64,11.35,0.2900000000000009,0.009999999999999787,11.79,11.97,11.64,0.33000000000000007,-0.2599999999999998,81552,106934,61520,45414,-40691
2016-02-28,11.718,12.0,11.52,0.4800000000000004,0.40000000000000036,12.132,12.51,11.88,0.629999999999999,-0.29999999999999893,11.56,11.74,11.38,0.35999999999999943,0.2699999999999996,11.741999999999999,12.0,11.41,0.5899999999999999,0.33000000000000007,73589,104538,38678,65860,-40750
2016-03-06,11.574,11.77,11.37,0.40000000000000036,-0.26000000000000156,11.78,12.0,11.51,0.4900000000000002,-0.4900000000000002,11.38,11.57,11.18,0.39000000000000057,-0.3100000000000005,11.52,11.69,11.24,0.4499999999999993,-0.17999999999999972,70060,94497,41315,53182,15981
