Date,iShares MSCI ACWI_etf_Open_average,iShares MSCI ACWI_etf_Open_max,iShares MSCI ACWI_etf_Open_min,iShares MSCI ACWI_etf_Open_volatility,iShares MSCI ACWI_etf_Open_change,iShares MSCI ACWI_etf_High_average,iShares MSCI ACWI_etf_High_max,iShares MSCI ACWI_etf_High_min,iShares MSCI ACWI_etf_High_volatility,iShares MSCI ACWI_etf_High_change,iShares MSCI ACWI_etf_Low_average,iShares MSCI ACWI_etf_Low_max,iShares MSCI ACWI_etf_Low_min,iShares MSCI ACWI_etf_Low_volatility,iShares MSCI ACWI_etf_Low_change,iShares MSCI ACWI_etf_Close_average,iShares MSCI ACWI_etf_Close_max,iShares MSCI ACWI_etf_Close_min,iShares MSCI ACWI_etf_Close_volatility,iShares MSCI ACWI_etf_Close_change
2016-01-03,53.11,53.11,53.11,0.0,0.0,53.23,53.23,53.23,0.0,0.0,52.11,52.11,52.11,0.0,0.0,52.18,52.18,52.18,0.0,0.0
2016-01-10,50.77,50.77,50.77,0.0,0.0,51.14,51.14,51.14,0.0,0.0,50.29,50.29,50.29,0.0,0.0,50.78,50.78,50.78,0.0,0.0
2016-01-17,51.54,51.54,51.54,0.0,0.0,51.9,51.9,51.9,0.0,0.0,51.45,51.45,51.45,0.0,0.0,51.82,51.82,51.82,0.0,0.0
2016-01-24,52.02,52.02,52.02,0.0,0.0,52.88,52.88,52.88,0.0,0.0,51.98,51.98,51.98,0.0,0.0,52.86,52.86,52.86,0.0,0.0
2016-01-31,52.04,52.04,52.04,0.0,0.0,52.07,52.07,52.07,0.0,0.0,51.15,51.15,51.15,0.0,0.0,51.32,51.32,51.32,0.0,0.0
2016-02-07,49.93,49.93,49.93,0.0,0.0,50.42,50.42,50.42,0.0,0.0,49.66,49.66,49.66,0.0,0.0,50.39,50.39,50.39,0.0,0.0
2016-02-14,51.75,51.75,51.75,0.0,0.0,52.04,52.04,52.04,0.0,0.0,51.57,51.57,51.57,0.0,0.0,52.02,52.02,52.02,0.0,0.0
2016-02-21,52.49,52.49,52.49,0.0,0.0,52.49,52.49,52.49,0.0,0.0,52.49,52.49,52.49,0.0,0.0,52.49,52.49,52.49,0.0,0.0
2016-02-28,54.37,54.37,54.37,0.0,0.0,54.82,54.82,54.82,0.0,0.0,54.25,54.25,54.25,0.0,0.0,54.56,54.56,54.56,0.0,0.0
2016-03-06,54.9,54.9,54.9,0.0,0.0,55.38,55.38,55.38,0.0,0.0,54.9,54.9,54.9,0.0,0.0,55.36,55.36,55.36,0.0,0.0
2016-03-13,55.97,55.97,55.97,0.0,0.0,56.11,56.11,56.11,0.0,0.0,55.85,55.85,55.85,0.0,0.0,56.0,56.0,56.0,0.0,0.0
2016-03-20,54.96,54.96,54.96,0.0,0.0,55.23,55.23,55.23,0.0,0.0,53.77,53.77,53.77,0.0,0.0,55.23,55.23,55.23,0.0,0.0
2016-03-27,55.36,55.36,55.36,0.0,0.0,56.05,56.05,56.05,0.0,0.0,55.26,55.26,55.26,0.0,0.0,56.02,56.02,56.02,0.0,0.0
2016-04-03,55.59,55.59,55.59,0.0,0.0,55.81,55.81,55.81,0.0,0.0,55.37,55.37,55.37,0.0,0.0,55.55,55.55,55.55,0.0,0.0
2016-04-10,56.92,56.92,56.92,0.0,0.0,57.01,57.01,57.01,0.0,0.0,56.83,56.83,56.83,0.0,0.0,56.9,56.9,56.9,0.0,0.0
2016-04-17,57.4,57.4,57.4,0.0,0.0,57.62,57.62,57.62,0.0,0.0,57.27,57.27,57.27,0.0,0.0,57.51,57.51,57.51,0.0,0.0
2016-04-24,56.94,56.94,56.94,0.0,0.0,57.01,57.01,57.01,0.0,0.0,56.46,56.46,56.46,0.0,0.0,56.81,56.81,56.81,0.0,0.0
2016-05-01,55.54,55.54,55.54,0.0,0.0,55.98,55.98,55.98,0.0,0.0,55.5,55.5,55.5,0.0,0.0,55.98,55.98,55.98,0.0,0.0
2016-05-08,55.9,55.9,55.9,0.0,0.0,56.12,56.12,56.12,0.0,0.0,55.52,55.52,55.52,0.0,0.0,55.6,55.6,55.6,0.0,0.0
2016-05-15,55.8,55.8,55.8,0.0,0.0,56.01,56.01,56.01,0.0,0.0,55.77,55.77,55.77,0.0,0.0,55.89,55.89,55.89,0.0,0.0
2016-05-22,57.02,57.02,57.02,0.0,0.0,57.17,57.17,57.17,0.0,0.0,57.0,57.0,57.0,0.0,0.0,57.14,57.14,57.14,0.0,0.0
