Date,RHP_stock_Open_average,RHP_stock_Open_max,RHP_stock_Open_min,RHP_stock_Open_volatility,RHP_stock_Open_change,RHP_stock_High_average,RHP_stock_High_max,RHP_stock_High_min,RHP_stock_High_volatility,RHP_stock_High_change,RHP_stock_Low_average,RHP_stock_Low_max,RHP_stock_Low_min,RHP_stock_Low_volatility,RHP_stock_Low_change,RHP_stock_Close_average,RHP_stock_Close_max,RHP_stock_Close_min,RHP_stock_Close_volatility,RHP_stock_Close_change,RHP_stock_Volume_average,RHP_stock_Volume_max,RHP_stock_Volume_min,RHP_stock_Volume_volatility,RHP_stock_Volume_change
2016-01-03,50.194,51.29,48.82,2.469999999999999,-2.0799999999999983,50.902,52.06,49.42,2.6400000000000006,-1.6299999999999955,49.172,50.41,47.61,2.799999999999997,-1.8400000000000034,49.772,51.96,47.76,4.200000000000003,-2.1400000000000006,292270,462359,220927,241432,183348
2016-01-10,46.872,49.26,44.1,5.159999999999997,-4.009999999999998,47.366,49.4,44.65,4.75,-4.32,45.160000000000004,47.92,43.04,4.880000000000003,-4.82,46.162,48.87,44.39,4.479999999999997,-4.479999999999997,398008,584779,209375,375404,262593
2016-01-17,44.335,45.05,43.34,1.7099999999999937,0.3499999999999943,45.3175,45.89,44.49,1.3999999999999986,0.269999999999996,43.4175,44.68,41.5,3.1799999999999997,1.3100000000000023,44.285,45.51,43.53,1.9799999999999969,1.9799999999999969,385929,602683,254439,348244,-35984
2016-01-24,45.498000000000005,45.96,44.89,1.0700000000000003,0.3299999999999983,46.346000000000004,47.18,46.0,1.1799999999999997,1.1799999999999997,44.952,45.34,44.42,0.9200000000000017,0.9200000000000017,45.654,46.95,44.71,2.240000000000002,2.240000000000002,262834,372063,191724,180339,177192
2016-01-31,46.442,46.92,46.08,0.8400000000000034,0.3500000000000014,47.168,47.83,46.41,1.4200000000000017,-0.20000000000000284,45.75,46.41,45.18,1.2299999999999969,0.29999999999999716,46.556,47.13,46.07,1.0600000000000023,0.020000000000003126,265419,388737,213333,175404,-131450
2016-02-07,46.1,46.56,45.82,0.740000000000002,0.6099999999999994,47.182,48.01,46.61,1.3999999999999986,0.769999999999996,45.63,46.26,45.06,1.1999999999999957,1.1999999999999957,46.461999999999996,47.12,46.03,1.0899999999999963,0.6799999999999997,214635,284745,165393,119352,-83946
2016-02-14,48.3575,48.96,47.64,1.3200000000000003,0.3399999999999963,49.2025,50.23,48.57,1.6599999999999966,-0.20000000000000284,48.005,48.68,47.5,1.1799999999999997,0.3500000000000014,48.4775,48.89,48.09,0.7999999999999972,-0.5399999999999991,274616,323865,223752,100113,-100113
2016-02-21,48.774,50.67,47.81,2.8599999999999994,2.1700000000000017,49.342,51.16,48.7,2.4599999999999937,2.3599999999999994,47.908,48.41,47.72,0.6899999999999977,-0.030000000000001137,48.296,48.78,47.81,0.9699999999999989,-0.259999999999998,363051,426652,252391,174261,73701
2016-02-28,48.699999999999996,49.93,47.65,2.280000000000001,2.280000000000001,49.374,50.42,48.32,2.1000000000000014,1.6099999999999994,48.132,49.33,47.23,2.1000000000000014,1.5100000000000051,49.062,50.01,47.87,2.1400000000000006,1.5600000000000023,403185,557079,265147,291932,-291932
2016-03-06,49.78,50.25,48.98,1.2700000000000031,-0.3400000000000034,50.333999999999996,50.66,50.16,0.5,-0.1600000000000037,49.008,49.84,47.74,2.1000000000000014,-0.5,49.794,50.32,48.44,1.8800000000000026,-0.20000000000000284,290490,425705,204672,221033,-196779
