Date,ProShares UltraShort MSCI EAFEEtf_Open_average,ProShares UltraShort MSCI EAFEEtf_Open_max,ProShares UltraShort MSCI EAFEEtf_Open_min,ProShares UltraShort MSCI EAFEEtf_Open_volatility,ProShares UltraShort MSCI EAFEEtf_Open_change,ProShares UltraShort MSCI EAFEEtf_High_average,ProShares UltraShort MSCI EAFEEtf_High_max,ProShares UltraShort MSCI EAFEEtf_High_min,ProShares UltraShort MSCI EAFEEtf_High_volatility,ProShares UltraShort MSCI EAFEEtf_High_change,ProShares UltraShort MSCI EAFEEtf_Low_average,ProShares UltraShort MSCI EAFEEtf_Low_max,ProShares UltraShort MSCI EAFEEtf_Low_min,ProShares UltraShort MSCI EAFEEtf_Low_volatility,ProShares UltraShort MSCI EAFEEtf_Low_change,ProShares UltraShort MSCI EAFEEtf_Close_average,ProShares UltraShort MSCI EAFEEtf_Close_max,ProShares UltraShort MSCI EAFEEtf_Close_min,ProShares UltraShort MSCI EAFEEtf_Close_volatility,ProShares UltraShort MSCI EAFEEtf_Close_change
2016-01-03,45.21,45.21,45.21,0.0,0.0,46.93,46.93,46.93,0.0,0.0,45.21,45.21,45.21,0.0,0.0,46.86,46.86,46.86,0.0,0.0
2016-01-10,48.81,48.81,48.81,0.0,0.0,49.69,49.69,49.69,0.0,0.0,48.7,48.7,48.7,0.0,0.0,49.61,49.61,49.61,0.0,0.0
2016-01-17,47.61,47.61,47.61,0.0,0.0,47.73,47.73,47.73,0.0,0.0,47.06,47.06,47.06,0.0,0.0,47.17,47.17,47.17,0.0,0.0
2016-01-24,46.62,46.62,46.62,0.0,0.0,46.62,46.62,46.62,0.0,0.0,45.8,45.8,45.8,0.0,0.0,45.8,45.8,45.8,0.0,0.0
2016-01-31,47.01,47.01,47.01,0.0,0.0,48.38,48.38,48.38,0.0,0.0,47.01,47.01,47.01,0.0,0.0,48.1,48.1,48.1,0.0,0.0
2016-02-07,52.43,52.43,52.43,0.0,0.0,52.57,52.57,52.57,0.0,0.0,50.78,50.78,50.78,0.0,0.0,50.82,50.82,50.82,0.0,0.0
2016-02-14,48.24,48.24,48.24,0.0,0.0,48.37,48.37,48.37,0.0,0.0,47.77,47.77,47.77,0.0,0.0,47.78,47.78,47.78,0.0,0.0
2016-02-21,46.83,46.83,46.83,0.0,0.0,47.51,47.51,47.51,0.0,0.0,46.83,46.83,46.83,0.0,0.0,47.51,47.51,47.51,0.0,0.0
2016-02-28,43.51,43.51,43.51,0.0,0.0,43.51,43.51,43.51,0.0,0.0,43.06,43.06,43.06,0.0,0.0,43.34,43.34,43.34,0.0,0.0
2016-03-06,42.56,42.56,42.56,0.0,0.0,42.56,42.56,42.56,0.0,0.0,41.8,41.8,41.8,0.0,0.0,41.83,41.83,41.83,0.0,0.0
