Date,LLITStock_Open_average,LLITStock_Open_max,LLITStock_Open_min,LLITStock_Open_volatility,LLITStock_Open_change,LLITStock_High_average,LLITStock_High_max,LLITStock_High_min,LLITStock_High_volatility,LLITStock_High_change,LLITStock_Low_average,LLITStock_Low_max,LLITStock_Low_min,LLITStock_Low_volatility,LLITStock_Low_change,LLITStock_Close_average,LLITStock_Close_max,LLITStock_Close_min,LLITStock_Close_volatility,LLITStock_Close_change,LLITStock_Volume_average,LLITStock_Volume_max,LLITStock_Volume_min,LLITStock_Volume_volatility,LLITStock_Volume_change
2016-01-03,2.0574,2.22,1.922,0.29800000000000026,-0.29800000000000026,2.1204,2.335,1.922,0.41300000000000003,-0.41300000000000003,1.9486,2.05,1.86,0.18999999999999972,-0.1399999999999999,1.992,2.12,1.88,0.2400000000000002,-0.2300000000000002,30971,67867,4400,63467,-63467
2016-01-10,1.898,2.25,1.72,0.53,-0.16999999999999993,1.938,2.25,1.8,0.44999999999999996,-0.09999999999999987,1.764,1.81,1.7,0.1100000000000001,-0.06000000000000005,1.792,1.82,1.77,0.050000000000000044,0.0,12242,25495,4020,21475,-21133
2016-01-17,1.7085,1.869,1.59,0.2789999999999999,-0.10400000000000009,1.7534999999999998,1.869,1.65,0.21900000000000008,-0.10400000000000009,1.58375,1.62,1.525,0.0950000000000002,0.0950000000000002,1.6775,1.69,1.64,0.050000000000000044,0.0,56896,177960,5649,172311,-147954
2016-01-24,1.6696,1.7,1.63,0.07000000000000006,0.050000000000000044,1.7284,1.76,1.68,0.08000000000000007,0.00800000000000023,1.6502,1.68,1.62,0.05999999999999983,0.050000000000000044,1.6898,1.75,1.64,0.1100000000000001,0.07000000000000006,7316,14048,600,13448,-3372
2016-01-31,1.6712,1.7,1.64,0.06000000000000005,-0.03500000000000014,1.799,2.16,1.695,0.4650000000000001,0.42000000000000015,1.6456,1.6640000000000001,1.64,0.024000000000000243,0.0,1.7042,1.79,1.67,0.1200000000000001,0.09000000000000008,21230,86552,1996,84556,82252
2016-02-07,1.665,1.72,1.62,0.09999999999999987,-0.08499999999999996,1.7406,1.89,1.64,0.25,0.08999999999999986,1.6340000000000001,1.7,1.6,0.09999999999999987,-0.07999999999999985,1.708,1.87,1.62,0.25,0.1100000000000001,23693,69926,5049,64877,58814
2016-02-14,1.77,1.8,1.72,0.08000000000000007,-0.08000000000000007,1.8525,1.93,1.8,0.1299999999999999,-0.07999999999999985,1.7025,1.76,1.67,0.09000000000000008,-0.010000000000000009,1.72,1.78,1.67,0.1100000000000001,-0.06000000000000005,30194,89991,3989,86002,-68900
2016-02-21,1.708,1.8,1.66,0.14000000000000012,-0.14000000000000012,1.738,1.88,1.66,0.21999999999999997,-0.18999999999999995,1.662,1.69,1.63,0.06000000000000005,-0.030000000000000027,1.674,1.74,1.63,0.1100000000000001,-0.09000000000000008,4758,7322,47,7275,3739
2016-02-28,1.7032,1.75,1.65,0.10000000000000009,0.09000000000000008,1.75,1.8,1.72,0.08000000000000007,0.07000000000000006,1.6932,1.73,1.65,0.08000000000000007,0.06000000000000005,1.712,1.73,1.68,0.050000000000000044,0.040000000000000036,13067,37060,2152,34908,20337
2016-03-06,1.77,1.8,1.71,0.09000000000000008,0.08000000000000007,1.792,1.8,1.77,0.030000000000000027,-0.010000000000000009,1.708,1.75,1.66,0.09000000000000008,-0.040000000000000036,1.758,1.79,1.72,0.07000000000000006,-0.07000000000000006,14440,19870,8875,10995,6846
2016-03-13,1.732,1.77,1.72,0.050000000000000044,0.0,1.808,1.88,1.72,0.15999999999999992,0.15999999999999992,1.714,1.73,1.67,0.06000000000000005,0.050000000000000044,1.738,1.77,1.67,0.10000000000000009,0.09000000000000008,14014,22354,6518,15836,8271
2016-03-20,1.7825,1.81,1.73,0.08000000000000007,0.08000000000000007,1.865,1.9,1.83,0.06999999999999984,0.020000000000000018,1.7725,1.8,1.73,0.07000000000000006,0.07000000000000006,1.8525,1.9,1.81,0.08999999999999986,0.020000000000000018,5639,10781,1665,9116,-9116
2016-03-27,1.8250000000000002,1.87,1.77,0.10000000000000009,-0.08000000000000007,1.83,1.87,1.77,0.10000000000000009,-0.10000000000000009,1.7775,1.81,1.73,0.08000000000000007,-0.040000000000000036,1.815,1.86,1.77,0.09000000000000008,-0.09000000000000008,2321,3681,325,3356,-2486
