Date,DPZStock_Open_average,DPZStock_Open_max,DPZStock_Open_min,DPZStock_Open_volatility,DPZStock_Open_change,DPZStock_High_average,DPZStock_High_max,DPZStock_High_min,DPZStock_High_volatility,DPZStock_High_change,DPZStock_Low_average,DPZStock_Low_max,DPZStock_Low_min,DPZStock_Low_volatility,DPZStock_Low_change,DPZStock_Close_average,DPZStock_Close_max,DPZStock_Close_min,DPZStock_Close_volatility,DPZStock_Close_change,DPZStock_Volume_average,DPZStock_Volume_max,DPZStock_Volume_min,DPZStock_Volume_volatility,DPZStock_Volume_change
2016-01-03,108.554,109.96,107.09,2.8699999999999903,-2.8699999999999903,110.09,110.62,109.49,1.1300000000000097,-0.7000000000000028,107.792,109.36,106.73,2.6299999999999955,-1.25,108.93,109.93,106.75,3.180000000000007,-0.2600000000000051,908779,1002209,808958,193251,134340
2016-01-10,107.73,109.71,105.16,4.549999999999997,-4.030000000000001,108.858,110.64,105.33,5.310000000000002,-4.769999999999996,105.06400000000001,107.64,101.01,6.6299999999999955,-4.239999999999995,107.048,109.76,104.16,5.6000000000000085,-2.0600000000000023,1168809,1672071,791896,880175,647047
2016-01-17,105.7675,108.49,103.22,5.269999999999996,3.8299999999999983,108.4075,111.8,106.32,5.480000000000004,5.480000000000004,104.7025,108.3,101.3,7.0,4.519999999999996,107.6725,111.6,104.92,6.679999999999993,6.679999999999993,1117165,1500124,728969,771155,771155
2016-01-24,111.634,112.26,110.77,1.490000000000009,0.30000000000001137,112.75,113.98,112.0,1.980000000000004,1.980000000000004,110.58,111.48,110.29,1.1899999999999977,1.1800000000000068,112.018,113.93,110.73,3.200000000000003,3.200000000000003,618744,882844,421887,460957,-86525
2016-01-31,113.806,114.12,113.55,0.5700000000000074,0.45000000000000284,114.44200000000001,114.76,114.17,0.5900000000000034,-0.28000000000000114,112.102,113.07,109.99,3.0799999999999983,-3.0799999999999983,113.254,114.35,110.37,3.9799999999999898,-3.9799999999999898,738649,930046,612026,318020,195107
2016-02-07,107.288,109.0,105.45,3.549999999999997,-1.1599999999999966,108.94200000000001,110.2,107.54,2.6599999999999966,1.1800000000000068,105.73,107.31,104.1,3.210000000000008,0.9699999999999989,107.436,109.5,105.62,3.8799999999999955,1.3400000000000034,938263,1310222,660647,649575,-424439
2016-02-14,111.72,112.74,110.57,2.1700000000000017,1.460000000000008,113.255,114.53,111.48,3.049999999999997,1.75,110.955,111.8,109.58,2.219999999999999,1.3200000000000074,112.235,112.95,111.08,1.8700000000000045,1.7900000000000063,986324,1564655,598856,965799,965799
2016-02-21,121.254,133.03,114.21,18.820000000000007,18.820000000000007,124.422,135.28,115.86,19.42,19.42,120.258,132.51,113.42,19.08999999999999,19.08999999999999,123.522,134.39,115.09,19.299999999999983,19.299999999999983,2239876,4701328,814503,3886825,1217069
2016-02-28,133.158,133.76,132.15,1.6099999999999852,-0.6700000000000159,134.27,135.43,133.24,2.1899999999999977,-1.4699999999999989,131.382,131.99,130.51,1.4800000000000182,0.9900000000000091,133.216,134.15,132.84,1.3100000000000023,-0.04999999999998295,1409040,1789640,1109303,680337,-301467
2016-03-06,133.66400000000002,134.58,132.46,2.1200000000000045,1.1200000000000045,135.23000000000002,136.33,133.8,2.530000000000001,-0.7599999999999909,132.25,133.36,131.49,1.8700000000000045,-0.3200000000000216,133.354,134.24,131.72,2.5200000000000102,-2.3000000000000114,869489,994593,738925,255668,-22103
2016-03-13,131.376,131.99,130.81,1.1800000000000068,-1.0600000000000023,132.37,132.84,131.99,0.8499999999999943,-0.75,130.81,131.17,130.16,1.009999999999991,-1.009999999999991,131.556,132.65,130.81,1.8400000000000034,-1.8400000000000034,667752,1129905,383137,746768,426442
2016-03-20,130.8725,131.58,129.85,1.7300000000000182,-1.1500000000000057,131.25,131.98,129.85,2.1299999999999955,-1.8100000000000023,129.9075,130.91,128.42,2.490000000000009,-2.490000000000009,130.19,131.17,128.74,2.4299999999999784,-2.4299999999999784,660702,739211,584511,154700,-47732
2016-03-27,130.346,131.49,129.25,2.240000000000009,2.1100000000000136,131.57999999999998,134.1,130.13,3.969999999999999,3.969999999999999,129.65200000000002,131.24,128.53,2.710000000000008,2.710000000000008,131.108,133.47,129.15,4.319999999999993,4.319999999999993,677017,885538,465187,420351,211734
2016-04-03,134.154,137.0,131.97,5.030000000000001,3.1500000000000057,135.814,137.71,133.28,4.430000000000007,3.3200000000000216,133.454,135.69,131.19,4.5,2.990000000000009,134.986,137.05,132.32,4.730000000000018,3.6899999999999977,714471,964293,559898,404395,-23090
2016-04-10,137.258,137.94,136.46,1.4799999999999898,-0.5200000000000102,138.154,139.42,137.09,2.329999999999984,-0.7699999999999818,136.342,137.12,135.3,1.8199999999999932,-0.4200000000000159,137.40200000000002,138.62,136.74,1.8799999999999955,1.3799999999999955,502722,635981,366533,269448,-269448
2016-04-17,138.062,140.37,135.34,5.030000000000001,-2.780000000000001,139.056,140.8,136.16,4.640000000000015,-2.8799999999999955,136.37199999999999,137.85,131.73,6.1200000000000045,-5.969999999999999,137.298,140.01,132.41,7.599999999999994,-6.240000000000009,681382,1475836,269802,1206034,1206034
2016-04-24,128.484,134.0,121.03,12.969999999999999,-11.419999999999987,129.958,134.75,121.5,13.25,-12.629999999999995,127.232,132.98,119.02,13.959999999999994,-13.429999999999993,128.492,133.81,120.47,13.340000000000003,-12.789999999999992,1758193,4550495,723958,3826537,771479
2016-05-01,119.39,120.92,117.69,3.230000000000004,-1.6299999999999955,120.426,121.65,119.75,1.9000000000000057,-1.4100000000000108,117.886,119.12,116.91,2.210000000000008,-1.5200000000000102,119.438,120.37,118.56,1.8100000000000023,-1.0600000000000023,1014537,1359156,661981,697175,-697175
2016-05-08,120.87,121.94,119.23,2.7099999999999937,1.7999999999999972,122.508,123.68,122.0,1.6800000000000068,1.3400000000000034,119.976,120.71,119.23,1.4799999999999898,1.4799999999999898,121.394,122.22,119.83,2.3900000000000006,0.4399999999999977,689949,1023738,575599,448139,403358
2016-05-15,121.362,122.45,119.99,2.460000000000008,-0.8500000000000085,122.758,123.43,121.97,1.460000000000008,-0.27000000000001023,120.42999999999999,121.41,118.82,2.5900000000000034,0.030000000000001137,121.85,123.17,120.82,2.3500000000000085,-0.10999999999999943,701852,803398,537977,265421,-20341
2016-05-22,122.61,123.43,121.29,2.1400000000000006,0.4300000000000068,123.352,123.49,123.18,0.30999999999998806,0.1799999999999926,121.566,121.97,121.11,0.8599999999999994,0.1700000000000017,122.174,123.0,121.29,1.7099999999999937,0.30000000000001137,995253,1313890,596571,717319,-538400
2016-05-29,121.815,123.07,120.6,2.469999999999999,0.5899999999999892,122.8275,123.25,121.87,1.3799999999999955,-0.05000000000001137,120.74000000000001,121.23,120.35,0.8800000000000097,0.6400000000000006,121.935,123.25,120.88,2.3700000000000045,1.3299999999999983,1365904,3110425,550075,2560350,-2560350
2016-06-05,124.744,126.65,122.03,4.6200000000000045,4.6200000000000045,126.17999999999999,127.58,124.69,2.8900000000000006,2.3900000000000006,124.268,126.0,121.8,4.200000000000003,3.930000000000007,125.86,127.48,124.36,3.1200000000000045,1.8900000000000006,663313,903991,541726,362265,-59704
2016-06-12,125.616,126.59,124.34,2.25,1.4000000000000057,127.082,127.72,126.23,1.4899999999999949,1.4899999999999949,125.02,126.08,123.84,2.239999999999995,1.3299999999999983,126.354,127.29,124.79,2.5,2.5,566444,739517,454824,284693,237971
2016-06-19,126.786,128.44,125.34,3.0999999999999943,-3.0999999999999943,127.798,128.83,126.48,2.3500000000000085,-0.7400000000000091,125.768,127.08,124.48,2.5999999999999943,-2.4200000000000017,126.472,127.49,124.97,2.519999999999996,-2.519999999999996,626926,852680,497534,355146,346436
2016-06-26,126.28999999999999,131.45,123.16,8.289999999999992,7.449999999999989,128.114,132.77,124.57,8.200000000000017,8.16000000000001,125.424,130.96,120.97,9.990000000000009,9.990000000000009,127.492,132.59,122.08,10.510000000000005,10.510000000000005,895052,1594953,538290,1056663,-476366
