Date,BLDRS Asia 50 ADREtf_Open_average,BLDRS Asia 50 ADREtf_Open_max,BLDRS Asia 50 ADREtf_Open_min,BLDRS Asia 50 ADREtf_Open_volatility,BLDRS Asia 50 ADREtf_Open_change,BLDRS Asia 50 ADREtf_High_average,BLDRS Asia 50 ADREtf_High_max,BLDRS Asia 50 ADREtf_High_min,BLDRS Asia 50 ADREtf_High_volatility,BLDRS Asia 50 ADREtf_High_change,BLDRS Asia 50 ADREtf_Low_average,BLDRS Asia 50 ADREtf_Low_max,BLDRS Asia 50 ADREtf_Low_min,BLDRS Asia 50 ADREtf_Low_volatility,BLDRS Asia 50 ADREtf_Low_change,BLDRS Asia 50 ADREtf_Close_average,BLDRS Asia 50 ADREtf_Close_max,BLDRS Asia 50 ADREtf_Close_min,BLDRS Asia 50 ADREtf_Close_volatility,BLDRS Asia 50 ADREtf_Close_change
2016-01-03,25.28,25.28,25.28,0.0,0.0,25.28,25.28,25.28,0.0,0.0,25.28,25.28,25.28,0.0,0.0,25.28,25.28,25.28,0.0,0.0
2016-01-10,24.31,24.31,24.31,0.0,0.0,24.42,24.42,24.42,0.0,0.0,24.31,24.31,24.31,0.0,0.0,24.42,24.42,24.42,0.0,0.0
2016-01-17,24.5,24.5,24.5,0.0,0.0,24.61,24.61,24.61,0.0,0.0,24.5,24.5,24.5,0.0,0.0,24.6,24.6,24.6,0.0,0.0
2016-01-24,24.36,24.36,24.36,0.0,0.0,24.37,24.37,24.37,0.0,0.0,24.27,24.27,24.27,0.0,0.0,24.27,24.27,24.27,0.0,0.0
2016-01-31,23.97,23.97,23.97,0.0,0.0,23.97,23.97,23.97,0.0,0.0,23.78,23.78,23.78,0.0,0.0,23.79,23.79,23.79,0.0,0.0
2016-02-07,22.76,22.76,22.76,0.0,0.0,22.84,22.84,22.84,0.0,0.0,22.75,22.75,22.75,0.0,0.0,22.84,22.84,22.84,0.0,0.0
2016-02-14,24.04,24.04,24.04,0.0,0.0,24.04,24.04,24.04,0.0,0.0,24.03,24.03,24.03,0.0,0.0,24.03,24.03,24.03,0.0,0.0
2016-02-21,23.54,23.54,23.54,0.0,0.0,23.59,23.59,23.59,0.0,0.0,23.54,23.54,23.54,0.0,0.0,23.59,23.59,23.59,0.0,0.0
2016-02-28,25.52,25.52,25.52,0.0,0.0,25.56,25.56,25.56,0.0,0.0,25.52,25.52,25.52,0.0,0.0,25.56,25.56,25.56,0.0,0.0
2016-03-06,25.53,25.53,25.53,0.0,0.0,25.8,25.8,25.8,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.79,25.79,25.79,0.0,0.0
2016-03-13,25.9,25.9,25.9,0.0,0.0,26.0,26.0,26.0,0.0,0.0,25.9,25.9,25.9,0.0,0.0,26.0,26.0,26.0,0.0,0.0
2016-03-20,25.48,25.48,25.48,0.0,0.0,25.48,25.48,25.48,0.0,0.0,25.31,25.31,25.31,0.0,0.0,25.39,25.39,25.39,0.0,0.0
2016-03-27,25.54,25.54,25.54,0.0,0.0,25.54,25.54,25.54,0.0,0.0,25.19,25.19,25.19,0.0,0.0,25.43,25.43,25.43,0.0,0.0
2016-04-03,25.21,25.21,25.21,0.0,0.0,25.21,25.21,25.21,0.0,0.0,25.21,25.21,25.21,0.0,0.0,25.21,25.21,25.21,0.0,0.0
2016-04-10,26.34,26.34,26.34,0.0,0.0,26.34,26.34,26.34,0.0,0.0,26.34,26.34,26.34,0.0,0.0,26.34,26.34,26.34,0.0,0.0
2016-04-17,26.97,26.97,26.97,0.0,0.0,27.02,27.02,27.02,0.0,0.0,26.82,26.82,26.82,0.0,0.0,26.89,26.89,26.89,0.0,0.0
2016-04-24,25.67,25.67,25.67,0.0,0.0,25.67,25.67,25.67,0.0,0.0,25.67,25.67,25.67,0.0,0.0,25.67,25.67,25.67,0.0,0.0
2016-05-01,25.2,25.2,25.2,0.0,0.0,25.2,25.2,25.2,0.0,0.0,25.2,25.2,25.2,0.0,0.0,25.2,25.2,25.2,0.0,0.0
2016-05-08,24.98,24.98,24.98,0.0,0.0,24.98,24.98,24.98,0.0,0.0,24.98,24.98,24.98,0.0,0.0,24.98,24.98,24.98,0.0,0.0
2016-05-15,25.13,25.13,25.13,0.0,0.0,25.18,25.18,25.18,0.0,0.0,25.1,25.1,25.1,0.0,0.0,25.11,25.11,25.11,0.0,0.0
2016-05-22,25.77,25.77,25.77,0.0,0.0,25.78,25.78,25.78,0.0,0.0,25.77,25.77,25.77,0.0,0.0,25.78,25.78,25.78,0.0,0.0
2016-05-29,25.77,25.77,25.77,0.0,0.0,25.78,25.78,25.78,0.0,0.0,25.68,25.68,25.68,0.0,0.0,25.73,25.73,25.73,0.0,0.0
2016-06-05,25.87,25.87,25.87,0.0,0.0,25.87,25.87,25.87,0.0,0.0,25.52,25.52,25.52,0.0,0.0,25.52,25.52,25.52,0.0,0.0
2016-06-12,24.94,24.94,24.94,0.0,0.0,25.05,25.05,25.05,0.0,0.0,24.94,24.94,24.94,0.0,0.0,25.05,25.05,25.05,0.0,0.0
2016-06-19,24.84,24.84,24.84,0.0,0.0,25.0,25.0,25.0,0.0,0.0,24.84,24.84,24.84,0.0,0.0,25.0,25.0,25.0,0.0,0.0
2016-06-26,24.4,24.4,24.4,0.0,0.0,25.24,25.24,25.24,0.0,0.0,24.36,24.36,24.36,0.0,0.0,25.24,25.24,25.24,0.0,0.0
2016-07-03,25.43,25.43,25.43,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.43,25.43,25.43,0.0,0.0,25.5,25.5,25.5,0.0,0.0
2016-07-10,26.6,26.6,26.6,0.0,0.0,26.6,26.6,26.6,0.0,0.0,26.6,26.6,26.6,0.0,0.0,26.6,26.6,26.6,0.0,0.0
2016-07-17,26.54,26.54,26.54,0.0,0.0,26.54,26.54,26.54,0.0,0.0,26.54,26.54,26.54,0.0,0.0,26.54,26.54,26.54,0.0,0.0
2016-07-24,26.88,26.88,26.88,0.0,0.0,26.99,26.99,26.99,0.0,0.0,26.88,26.88,26.88,0.0,0.0,26.99,26.99,26.99,0.0,0.0
2016-07-31,27.2,27.2,27.2,0.0,0.0,27.3,27.3,27.3,0.0,0.0,27.19,27.19,27.19,0.0,0.0,27.27,27.27,27.27,0.0,0.0
2016-08-07,27.98,27.98,27.98,0.0,0.0,28.0,28.0,28.0,0.0,0.0,27.98,27.98,27.98,0.0,0.0,28.0,28.0,28.0,0.0,0.0
2016-08-14,28.17,28.17,28.17,0.0,0.0,28.19,28.19,28.19,0.0,0.0,28.17,28.17,28.17,0.0,0.0,28.19,28.19,28.19,0.0,0.0
