Date,iShares US Technology_etf_Open_average,iShares US Technology_etf_Open_max,iShares US Technology_etf_Open_min,iShares US Technology_etf_Open_volatility,iShares US Technology_etf_Open_change,iShares US Technology_etf_High_average,iShares US Technology_etf_High_max,iShares US Technology_etf_High_min,iShares US Technology_etf_High_volatility,iShares US Technology_etf_High_change,iShares US Technology_etf_Low_average,iShares US Technology_etf_Low_max,iShares US Technology_etf_Low_min,iShares US Technology_etf_Low_volatility,iShares US Technology_etf_Low_change,iShares US Technology_etf_Close_average,iShares US Technology_etf_Close_max,iShares US Technology_etf_Close_min,iShares US Technology_etf_Close_volatility,iShares US Technology_etf_Close_change
2016-01-03,101.02,101.02,101.02,0.0,0.0,101.44,101.44,101.44,0.0,0.0,99.27,99.27,99.27,0.0,0.0,99.34,99.34,99.34,0.0,0.0
2016-01-10,97.13,97.13,97.13,0.0,0.0,97.87,97.87,97.87,0.0,0.0,95.59,95.59,95.59,0.0,0.0,96.94,96.94,96.94,0.0,0.0
2016-01-17,98.24,98.24,98.24,0.0,0.0,99.24,99.24,99.24,0.0,0.0,98.2,98.2,98.2,0.0,0.0,99.24,99.24,99.24,0.0,0.0
2016-01-24,98.68,98.68,98.68,0.0,0.0,101.01,101.01,101.01,0.0,0.0,98.68,98.68,98.68,0.0,0.0,101.01,101.01,101.01,0.0,0.0
2016-01-31,98.46,98.46,98.46,0.0,0.0,98.49,98.49,98.49,0.0,0.0,95.16,95.16,95.16,0.0,0.0,95.41,95.41,95.41,0.0,0.0
2016-02-07,94.55,94.55,94.55,0.0,0.0,94.89,94.89,94.89,0.0,0.0,93.77,93.77,93.77,0.0,0.0,94.83,94.83,94.83,0.0,0.0
2016-02-14,98.21,98.21,98.21,0.0,0.0,99.11,99.11,99.11,0.0,0.0,98.15,98.15,98.15,0.0,0.0,98.85,98.85,98.85,0.0,0.0
2016-02-21,101.19,101.19,101.19,0.0,0.0,101.24,101.24,101.24,0.0,0.0,100.08,100.08,100.08,0.0,0.0,100.33,100.33,100.33,0.0,0.0
2016-02-28,103.34,103.34,103.34,0.0,0.0,104.07,104.07,104.07,0.0,0.0,102.72,102.72,102.72,0.0,0.0,103.44,103.44,103.44,0.0,0.0
2016-03-06,103.96,103.96,103.96,0.0,0.0,104.83,104.83,104.83,0.0,0.0,103.79,103.79,103.79,0.0,0.0,104.83,104.83,104.83,0.0,0.0
