Date,BioShares Biotechnology Clinical TrialsEtf_Open_average,BioShares Biotechnology Clinical TrialsEtf_Open_max,BioShares Biotechnology Clinical TrialsEtf_Open_min,BioShares Biotechnology Clinical TrialsEtf_Open_volatility,BioShares Biotechnology Clinical TrialsEtf_Open_change,BioShares Biotechnology Clinical TrialsEtf_High_average,BioShares Biotechnology Clinical TrialsEtf_High_max,BioShares Biotechnology Clinical TrialsEtf_High_min,BioShares Biotechnology Clinical TrialsEtf_High_volatility,BioShares Biotechnology Clinical TrialsEtf_High_change,BioShares Biotechnology Clinical TrialsEtf_Low_average,BioShares Biotechnology Clinical TrialsEtf_Low_max,BioShares Biotechnology Clinical TrialsEtf_Low_min,BioShares Biotechnology Clinical TrialsEtf_Low_volatility,BioShares Biotechnology Clinical TrialsEtf_Low_change,BioShares Biotechnology Clinical TrialsEtf_Close_average,BioShares Biotechnology Clinical TrialsEtf_Close_max,BioShares Biotechnology Clinical TrialsEtf_Close_min,BioShares Biotechnology Clinical TrialsEtf_Close_volatility,BioShares Biotechnology Clinical TrialsEtf_Close_change
2016-01-03,24.93,24.93,24.93,0.0,0.0,24.93,24.93,24.93,0.0,0.0,23.75,23.75,23.75,0.0,0.0,23.81,23.81,23.81,0.0,0.0
2016-01-10,20.89,20.89,20.89,0.0,0.0,21.01,21.01,21.01,0.0,0.0,20.11,20.11,20.11,0.0,0.0,21.01,21.01,21.01,0.0,0.0
2016-01-17,21.67,21.67,21.67,0.0,0.0,21.67,21.67,21.67,0.0,0.0,20.84,20.84,20.84,0.0,0.0,21.22,21.22,21.22,0.0,0.0
2016-01-24,19.21,19.21,19.21,0.0,0.0,19.31,19.31,19.31,0.0,0.0,18.57,18.57,18.57,0.0,0.0,19.2,19.2,19.2,0.0,0.0
2016-01-31,18.41,18.41,18.41,0.0,0.0,18.41,18.41,18.41,0.0,0.0,17.98,17.98,17.98,0.0,0.0,18.0,18.0,18.0,0.0,0.0
2016-02-07,16.57,16.57,16.57,0.0,0.0,17.25,17.25,17.25,0.0,0.0,16.56,16.56,16.56,0.0,0.0,17.25,17.25,17.25,0.0,0.0
2016-02-14,18.18,18.18,18.18,0.0,0.0,18.51,18.51,18.51,0.0,0.0,18.18,18.18,18.18,0.0,0.0,18.51,18.51,18.51,0.0,0.0
2016-02-21,17.86,17.86,17.86,0.0,0.0,17.94,17.94,17.94,0.0,0.0,17.5,17.5,17.5,0.0,0.0,17.9,17.9,17.9,0.0,0.0
2016-02-28,18.96,18.96,18.96,0.0,0.0,19.53,19.53,19.53,0.0,0.0,18.93,18.93,18.93,0.0,0.0,19.08,19.08,19.08,0.0,0.0
2016-03-06,18.0,18.0,18.0,0.0,0.0,18.32,18.32,18.32,0.0,0.0,17.9,17.9,17.9,0.0,0.0,18.27,18.27,18.27,0.0,0.0
2016-03-13,17.09,17.09,17.09,0.0,0.0,18.07,18.07,18.07,0.0,0.0,17.09,17.09,17.09,0.0,0.0,18.03,18.03,18.03,0.0,0.0
2016-03-20,17.51,17.51,17.51,0.0,0.0,18.32,18.32,18.32,0.0,0.0,17.19,17.19,17.19,0.0,0.0,17.88,17.88,17.88,0.0,0.0
2016-03-27,18.87,18.87,18.87,0.0,0.0,19.58,19.58,19.58,0.0,0.0,18.87,18.87,18.87,0.0,0.0,19.55,19.55,19.55,0.0,0.0
2016-04-03,21.75,21.75,21.75,0.0,0.0,21.75,21.75,21.75,0.0,0.0,20.67,20.67,20.67,0.0,0.0,20.72,20.72,20.72,0.0,0.0
2016-04-10,21.05,21.05,21.05,0.0,0.0,21.13,21.13,21.13,0.0,0.0,20.68,20.68,20.68,0.0,0.0,21.1,21.1,21.1,0.0,0.0
2016-04-17,21.49,21.49,21.49,0.0,0.0,21.63,21.63,21.63,0.0,0.0,20.95,20.95,20.95,0.0,0.0,21.53,21.53,21.53,0.0,0.0
2016-04-24,20.11,20.11,20.11,0.0,0.0,20.14,20.14,20.14,0.0,0.0,19.59,19.59,19.59,0.0,0.0,19.77,19.77,19.77,0.0,0.0
2016-05-01,17.88,17.88,17.88,0.0,0.0,17.92,17.92,17.92,0.0,0.0,17.33,17.33,17.33,0.0,0.0,17.62,17.62,17.62,0.0,0.0
2016-05-08,17.54,17.54,17.54,0.0,0.0,17.75,17.75,17.75,0.0,0.0,17.41,17.41,17.41,0.0,0.0,17.41,17.41,17.41,0.0,0.0
2016-05-15,18.32,18.32,18.32,0.0,0.0,18.95,18.95,18.95,0.0,0.0,18.32,18.32,18.32,0.0,0.0,18.95,18.95,18.95,0.0,0.0
2016-05-22,20.1,20.1,20.1,0.0,0.0,20.25,20.25,20.25,0.0,0.0,19.96,19.96,19.96,0.0,0.0,20.25,20.25,20.25,0.0,0.0
2016-05-29,21.62,21.62,21.62,0.0,0.0,21.68,21.68,21.68,0.0,0.0,20.93,20.93,20.93,0.0,0.0,21.13,21.13,21.13,0.0,0.0
2016-06-05,20.04,20.04,20.04,0.0,0.0,20.04,20.04,20.04,0.0,0.0,19.71,19.71,19.71,0.0,0.0,19.82,19.82,19.82,0.0,0.0
2016-06-12,19.1,19.1,19.1,0.0,0.0,19.24,19.24,19.24,0.0,0.0,18.39,18.39,18.39,0.0,0.0,18.39,18.39,18.39,0.0,0.0
2016-06-19,17.9,17.9,17.9,0.0,0.0,18.18,18.18,18.18,0.0,0.0,17.67,17.67,17.67,0.0,0.0,17.75,17.75,17.75,0.0,0.0
2016-06-26,18.21,18.21,18.21,0.0,0.0,18.64,18.64,18.64,0.0,0.0,18.21,18.21,18.21,0.0,0.0,18.64,18.64,18.64,0.0,0.0
2016-07-03,18.96,18.96,18.96,0.0,0.0,19.35,19.35,19.35,0.0,0.0,18.89,18.89,18.89,0.0,0.0,19.28,19.28,19.28,0.0,0.0
2016-07-10,18.49,18.49,18.49,0.0,0.0,18.8,18.8,18.8,0.0,0.0,18.49,18.49,18.49,0.0,0.0,18.73,18.73,18.73,0.0,0.0
2016-07-17,19.06,19.06,19.06,0.0,0.0,19.5,19.5,19.5,0.0,0.0,19.06,19.06,19.06,0.0,0.0,19.3,19.3,19.3,0.0,0.0
2016-07-24,19.83,19.83,19.83,0.0,0.0,19.99,19.99,19.99,0.0,0.0,19.49,19.49,19.49,0.0,0.0,19.9,19.9,19.9,0.0,0.0
2016-07-31,20.51,20.51,20.51,0.0,0.0,21.16,21.16,21.16,0.0,0.0,20.49,20.49,20.49,0.0,0.0,21.06,21.06,21.06,0.0,0.0
2016-08-07,20.43,20.43,20.43,0.0,0.0,20.67,20.67,20.67,0.0,0.0,20.32,20.32,20.32,0.0,0.0,20.67,20.67,20.67,0.0,0.0
2016-08-14,20.53,20.53,20.53,0.0,0.0,20.53,20.53,20.53,0.0,0.0,20.44,20.44,20.44,0.0,0.0,20.44,20.44,20.44,0.0,0.0
2016-08-21,20.04,20.04,20.04,0.0,0.0,20.26,20.26,20.26,0.0,0.0,19.89,19.89,19.89,0.0,0.0,20.05,20.05,20.05,0.0,0.0
2016-08-28,20.18,20.18,20.18,0.0,0.0,20.18,20.18,20.18,0.0,0.0,19.91,19.91,19.91,0.0,0.0,19.92,19.92,19.92,0.0,0.0
2016-09-04,20.86,20.86,20.86,0.0,0.0,20.86,20.86,20.86,0.0,0.0,20.5,20.5,20.5,0.0,0.0,20.5,20.5,20.5,0.0,0.0
2016-09-11,21.4,21.4,21.4,0.0,0.0,21.77,21.77,21.77,0.0,0.0,21.4,21.4,21.4,0.0,0.0,21.77,21.77,21.77,0.0,0.0
2016-09-18,23.25,23.25,23.25,0.0,0.0,23.25,23.25,23.25,0.0,0.0,22.79,22.79,22.79,0.0,0.0,23.05,23.05,23.05,0.0,0.0
