Date,HD_stock_Open_average,HD_stock_Open_max,HD_stock_Open_min,HD_stock_Open_volatility,HD_stock_Open_change,HD_stock_High_average,HD_stock_High_max,HD_stock_High_min,HD_stock_High_volatility,HD_stock_High_change,HD_stock_Low_average,HD_stock_Low_max,HD_stock_Low_min,HD_stock_Low_volatility,HD_stock_Low_change,HD_stock_Close_average,HD_stock_Close_max,HD_stock_Close_min,HD_stock_Close_volatility,HD_stock_Close_change,HD_stock_Volume_average,HD_stock_Volume_max,HD_stock_Volume_min,HD_stock_Volume_volatility,HD_stock_Volume_change
2016-01-03,128.726,131.15,126.44,4.710000000000008,-3.670000000000016,129.464,131.94,126.53,5.409999999999997,-4.539999999999992,127.252,130.05,123.5,6.550000000000011,-5.949999999999989,127.976,131.07,123.9,7.1699999999999875,-7.1699999999999875,8245382,12550970,5320942,7230028,-946344
2016-01-10,123.506,127.47,117.12,10.349999999999994,-7.75,125.004,128.8,121.15,7.650000000000006,-4.929999999999993,121.038,125.83,116.1,9.730000000000004,-7.990000000000009,122.70400000000001,127.49,119.23,8.259999999999991,-6.549999999999997,9068720,13389107,5695664,7693443,3703377
2016-01-17,119.3625,121.64,117.38,4.260000000000005,1.0999999999999943,121.78999999999999,124.67,118.66,6.010000000000005,2.780000000000001,117.7775,121.58,113.59,7.989999999999995,2.780000000000001,119.8,122.76,116.46,6.300000000000011,3.0,8307629,11331418,6350726,4980692,203745
2016-01-24,122.542,123.38,121.73,1.6499999999999915,-0.20999999999999375,123.814,125.76,122.45,3.3100000000000023,1.9100000000000108,121.224,122.75,120.31,2.4399999999999977,1.1899999999999977,122.704,125.76,121.57,4.190000000000012,4.050000000000011,5449804,7616222,4475561,3140661,2761536
2016-01-31,124.178,126.02,120.89,5.1299999999999955,-4.030000000000001,124.916,127.09,121.0,6.090000000000003,-6.090000000000003,121.076,124.71,115.69,9.019999999999996,-8.299999999999997,122.622,126.51,116.43,10.079999999999998,-10.079999999999998,7056282,9171816,4674058,4497758,3443621
2016-02-07,113.666,114.93,110.94,3.990000000000009,-0.05000000000001137,115.608,116.43,114.19,2.240000000000009,0.46000000000000796,112.018,114.05,109.62,4.429999999999993,3.8999999999999915,113.926,116.32,111.85,4.469999999999999,4.469999999999999,7195168,11286592,5307617,5978975,-5924958
2016-02-14,119.83,120.93,118.12,2.8100000000000023,1.6999999999999886,121.1225,121.7,120.0,1.7000000000000028,1.7000000000000028,118.97,119.87,117.7,2.1700000000000017,1.0499999999999972,120.575,121.69,119.43,2.259999999999991,2.259999999999991,5708337,6966351,4460722,2505629,-1530810
2016-02-21,125.48,127.59,123.0,4.590000000000003,4.590000000000003,126.41,127.75,124.47,3.280000000000001,3.280000000000001,123.844,125.93,122.13,3.8000000000000114,3.8000000000000114,125.222,126.86,122.85,4.010000000000005,3.410000000000011,7249636,11168725,4608229,6560496,-3188633
2016-02-28,125.818,127.37,124.78,2.5900000000000034,1.1099999999999994,126.718,127.5,125.87,1.6299999999999955,0.5100000000000051,124.486,125.16,123.98,1.1799999999999926,1.1099999999999994,125.554,126.8,124.12,2.6799999999999926,1.4399999999999977,5183527,6448180,3967489,2480691,872860
2016-03-06,126.086,127.03,125.01,2.019999999999996,1.9599999999999937,127.604,128.76,126.54,2.2199999999999847,2.2199999999999847,125.276,126.73,124.31,2.4200000000000017,1.7199999999999989,126.654,128.46,125.89,2.5700000000000074,2.2900000000000063,4523888,5280935,4047028,1233907,465463
2016-03-13,129.61599999999999,131.14,128.43,2.7099999999999795,2.7099999999999795,130.906,132.09,129.66,2.430000000000007,2.430000000000007,129.136,130.83,128.1,2.730000000000018,2.730000000000018,130.246,131.35,128.84,2.509999999999991,2.509999999999991,4699541,8069183,3609559,4459624,4415948
