Date,SIFY_stock_Open_average,SIFY_stock_Open_max,SIFY_stock_Open_min,SIFY_stock_Open_volatility,SIFY_stock_Open_change,SIFY_stock_High_average,SIFY_stock_High_max,SIFY_stock_High_min,SIFY_stock_High_volatility,SIFY_stock_High_change,SIFY_stock_Low_average,SIFY_stock_Low_max,SIFY_stock_Low_min,SIFY_stock_Low_volatility,SIFY_stock_Low_change,SIFY_stock_Close_average,SIFY_stock_Close_max,SIFY_stock_Close_min,SIFY_stock_Close_volatility,SIFY_stock_Close_change,SIFY_stock_Volume_average,SIFY_stock_Volume_max,SIFY_stock_Volume_min,SIFY_stock_Volume_volatility,SIFY_stock_Volume_change
2016-01-03,1.022,1.05,0.98,0.07000000000000006,0.07000000000000006,1.062,1.18,0.99,0.18999999999999995,0.06000000000000005,0.988,1.01,0.95,0.06000000000000005,0.030000000000000027,1.008,1.07,0.96,0.1100000000000001,0.020000000000000018,86129,233254,14858,218396,19094
2016-01-10,0.982,1.03,0.95,0.08000000000000007,0.050000000000000044,1.032,1.04,1.03,0.010000000000000009,0.0,0.952,0.96,0.95,0.010000000000000009,0.0,0.988,1.02,0.96,0.06000000000000005,0.030000000000000027,36183,55760,11109,44651,6844
2016-01-17,0.9775,0.99,0.95,0.040000000000000036,0.010000000000000009,1.0175,1.03,1.01,0.020000000000000018,0.010000000000000009,0.94,0.96,0.92,0.039999999999999925,-0.019999999999999907,0.9875,1.01,0.94,0.07000000000000006,0.0,75777,97385,35279,62106,-13381
2016-01-24,1.02,1.04,1.0,0.040000000000000036,0.010000000000000009,1.04,1.06,1.02,0.040000000000000036,0.040000000000000036,1.01,1.03,0.98,0.050000000000000044,0.030000000000000027,1.034,1.05,1.01,0.040000000000000036,0.040000000000000036,16954,30108,9940,20168,11928
2016-01-31,1.044,1.08,1.0,0.08000000000000007,-0.010000000000000009,1.072,1.1,1.03,0.07000000000000006,-0.07000000000000006,0.996,1.04,0.96,0.08000000000000007,-0.030000000000000027,1.028,1.09,0.99,0.10000000000000009,-0.10000000000000009,23428,41652,9218,32434,-14697
2016-02-07,1.006,1.04,0.98,0.06000000000000005,-0.06000000000000005,1.026,1.05,1.01,0.040000000000000036,-0.030000000000000027,0.976,0.98,0.96,0.020000000000000018,0.0,1.0,1.03,0.98,0.050000000000000044,-0.020000000000000018,27927,50599,10224,40375,-8147
2016-02-14,1.0350000000000001,1.08,0.98,0.10000000000000009,0.07000000000000006,1.065,1.08,1.03,0.050000000000000044,0.040000000000000036,1.005,1.03,0.98,0.050000000000000044,0.050000000000000044,1.04,1.06,1.01,0.050000000000000044,0.030000000000000027,37517,86508,9390,77118,-16248
2016-02-21,1.046,1.08,1.01,0.07000000000000006,0.030000000000000027,1.064,1.08,1.05,0.030000000000000027,0.0,1.008,1.02,0.99,0.030000000000000027,0.010000000000000009,1.022,1.05,1.0,0.050000000000000044,-0.010000000000000009,18887,34798,11750,23048,-22441
2016-02-28,1.008,1.03,1.0,0.030000000000000027,0.010000000000000009,1.038,1.05,1.02,0.030000000000000027,0.020000000000000018,0.996,1.0,0.99,0.010000000000000009,0.010000000000000009,1.016,1.04,0.99,0.050000000000000044,0.020000000000000018,26198,34491,16140,18351,9547
2016-03-06,1.024,1.04,1.01,0.030000000000000027,-0.020000000000000018,1.038,1.04,1.03,0.010000000000000009,0.0,1.012,1.03,0.99,0.040000000000000036,0.020000000000000018,1.022,1.03,1.01,0.020000000000000018,0.020000000000000018,14156,35670,3108,32562,-17558
