Date,iShares Currency Hedged MSCI Emerging Markets_etf_Open_average,iShares Currency Hedged MSCI Emerging Markets_etf_Open_max,iShares Currency Hedged MSCI Emerging Markets_etf_Open_min,iShares Currency Hedged MSCI Emerging Markets_etf_Open_volatility,iShares Currency Hedged MSCI Emerging Markets_etf_Open_change,iShares Currency Hedged MSCI Emerging Markets_etf_High_average,iShares Currency Hedged MSCI Emerging Markets_etf_High_max,iShares Currency Hedged MSCI Emerging Markets_etf_High_min,iShares Currency Hedged MSCI Emerging Markets_etf_High_volatility,iShares Currency Hedged MSCI Emerging Markets_etf_High_change,iShares Currency Hedged MSCI Emerging Markets_etf_Low_average,iShares Currency Hedged MSCI Emerging Markets_etf_Low_max,iShares Currency Hedged MSCI Emerging Markets_etf_Low_min,iShares Currency Hedged MSCI Emerging Markets_etf_Low_volatility,iShares Currency Hedged MSCI Emerging Markets_etf_Low_change,iShares Currency Hedged MSCI Emerging Markets_etf_Close_average,iShares Currency Hedged MSCI Emerging Markets_etf_Close_max,iShares Currency Hedged MSCI Emerging Markets_etf_Close_min,iShares Currency Hedged MSCI Emerging Markets_etf_Close_volatility,iShares Currency Hedged MSCI Emerging Markets_etf_Close_change
2016-01-03,18.92,18.92,18.92,0.0,0.0,18.98,18.98,18.98,0.0,0.0,18.56,18.56,18.56,0.0,0.0,18.69,18.69,18.69,0.0,0.0
2016-01-10,18.15,18.15,18.15,0.0,0.0,18.29,18.29,18.29,0.0,0.0,17.99,17.99,17.99,0.0,0.0,18.16,18.16,18.16,0.0,0.0
2016-01-17,18.42,18.42,18.42,0.0,0.0,18.55,18.55,18.55,0.0,0.0,18.38,18.38,18.38,0.0,0.0,18.54,18.54,18.54,0.0,0.0
2016-01-24,18.93,18.93,18.93,0.0,0.0,19.3,19.3,19.3,0.0,0.0,18.93,18.93,18.93,0.0,0.0,19.3,19.3,19.3,0.0,0.0
2016-01-31,19.04,19.04,19.04,0.0,0.0,19.06,19.06,19.06,0.0,0.0,18.77,18.77,18.77,0.0,0.0,18.81,18.81,18.81,0.0,0.0
2016-02-07,18.32,18.32,18.32,0.0,0.0,18.38,18.38,18.38,0.0,0.0,18.2,18.2,18.2,0.0,0.0,18.36,18.36,18.36,0.0,0.0
2016-02-14,19.02,19.02,19.02,0.0,0.0,19.16,19.16,19.16,0.0,0.0,18.95,18.95,18.95,0.0,0.0,19.05,19.05,19.05,0.0,0.0
2016-02-21,19.2,19.2,19.2,0.0,0.0,19.29,19.29,19.29,0.0,0.0,19.05,19.05,19.05,0.0,0.0,19.08,19.08,19.08,0.0,0.0
2016-02-28,20.2,20.2,20.2,0.0,0.0,20.42,20.42,20.42,0.0,0.0,20.14,20.14,20.14,0.0,0.0,20.33,20.33,20.33,0.0,0.0
2016-03-06,20.21,20.21,20.21,0.0,0.0,20.41,20.41,20.41,0.0,0.0,20.21,20.21,20.21,0.0,0.0,20.34,20.34,20.34,0.0,0.0
2016-03-13,20.65,20.65,20.65,0.0,0.0,20.76,20.76,20.76,0.0,0.0,20.64,20.64,20.64,0.0,0.0,20.71,20.71,20.71,0.0,0.0
2016-03-20,20.28,20.28,20.28,0.0,0.0,20.51,20.51,20.51,0.0,0.0,20.26,20.26,20.26,0.0,0.0,20.5,20.5,20.5,0.0,0.0
2016-03-27,20.33,20.33,20.33,0.0,0.0,20.67,20.67,20.67,0.0,0.0,20.27,20.27,20.27,0.0,0.0,20.62,20.62,20.62,0.0,0.0
2016-04-03,20.37,20.37,20.37,0.0,0.0,20.45,20.45,20.45,0.0,0.0,20.27,20.27,20.27,0.0,0.0,20.33,20.33,20.33,0.0,0.0
2016-04-10,21.08,21.08,21.08,0.0,0.0,21.08,21.08,21.08,0.0,0.0,20.88,20.88,20.88,0.0,0.0,20.92,20.92,20.92,0.0,0.0
2016-04-17,20.92,20.92,20.92,0.0,0.0,20.99,20.99,20.99,0.0,0.0,20.84,20.84,20.84,0.0,0.0,20.96,20.96,20.96,0.0,0.0
2016-04-24,20.53,20.53,20.53,0.0,0.0,20.64,20.64,20.64,0.0,0.0,20.47,20.47,20.47,0.0,0.0,20.58,20.58,20.58,0.0,0.0
2016-05-01,20.0,20.0,20.0,0.0,0.0,20.03,20.03,20.03,0.0,0.0,19.87,19.87,19.87,0.0,0.0,19.93,19.93,19.93,0.0,0.0
2016-05-08,19.87,19.87,19.87,0.0,0.0,19.88,19.88,19.88,0.0,0.0,19.69,19.69,19.69,0.0,0.0,19.73,19.73,19.73,0.0,0.0
2016-05-15,19.75,19.75,19.75,0.0,0.0,19.89,19.89,19.89,0.0,0.0,19.73,19.73,19.73,0.0,0.0,19.8,19.8,19.8,0.0,0.0
2016-05-22,20.39,20.39,20.39,0.0,0.0,20.44,20.44,20.44,0.0,0.0,20.28,20.28,20.28,0.0,0.0,20.29,20.29,20.29,0.0,0.0
2016-05-29,20.52,20.52,20.52,0.0,0.0,20.69,20.69,20.69,0.0,0.0,20.47,20.47,20.47,0.0,0.0,20.55,20.55,20.55,0.0,0.0
2016-06-05,20.51,20.51,20.51,0.0,0.0,20.51,20.51,20.51,0.0,0.0,20.34,20.34,20.34,0.0,0.0,20.38,20.38,20.38,0.0,0.0
2016-06-12,20.15,20.15,20.15,0.0,0.0,20.28,20.28,20.28,0.0,0.0,20.1,20.1,20.1,0.0,0.0,20.28,20.28,20.28,0.0,0.0
2016-06-19,19.91,19.91,19.91,0.0,0.0,20.4,20.4,20.4,0.0,0.0,19.91,19.91,19.91,0.0,0.0,20.02,20.02,20.02,0.0,0.0
2016-06-26,20.85,20.85,20.85,0.0,0.0,20.99,20.99,20.99,0.0,0.0,20.85,20.85,20.85,0.0,0.0,20.99,20.99,20.99,0.0,0.0
2016-07-03,20.64,20.64,20.64,0.0,0.0,20.75,20.75,20.75,0.0,0.0,20.55,20.55,20.55,0.0,0.0,20.75,20.75,20.75,0.0,0.0
2016-07-10,21.33,21.33,21.33,0.0,0.0,21.33,21.33,21.33,0.0,0.0,21.23,21.23,21.23,0.0,0.0,21.28,21.28,21.28,0.0,0.0
2016-07-17,21.38,21.38,21.38,0.0,0.0,21.52,21.52,21.52,0.0,0.0,21.37,21.37,21.37,0.0,0.0,21.49,21.49,21.49,0.0,0.0
2016-07-24,21.3,21.3,21.3,0.0,0.0,21.5,21.5,21.5,0.0,0.0,21.3,21.3,21.3,0.0,0.0,21.43,21.43,21.43,0.0,0.0
2016-07-31,21.49,21.49,21.49,0.0,0.0,21.64,21.64,21.64,0.0,0.0,21.49,21.49,21.49,0.0,0.0,21.62,21.62,21.62,0.0,0.0
2016-08-07,21.99,21.99,21.99,0.0,0.0,22.0,22.0,22.0,0.0,0.0,21.89,21.89,21.89,0.0,0.0,22.0,22.0,22.0,0.0,0.0
2016-08-14,21.97,21.97,21.97,0.0,0.0,22.12,22.12,22.12,0.0,0.0,21.97,21.97,21.97,0.0,0.0,22.1,22.1,22.1,0.0,0.0
2016-08-21,21.89,21.89,21.89,0.0,0.0,22.12,22.12,22.12,0.0,0.0,21.66,21.66,21.66,0.0,0.0,21.81,21.81,21.81,0.0,0.0
2016-08-28,21.96,21.96,21.96,0.0,0.0,22.13,22.13,22.13,0.0,0.0,21.96,21.96,21.96,0.0,0.0,22.11,22.11,22.11,0.0,0.0
2016-09-04,22.06,22.06,22.06,0.0,0.0,22.1,22.1,22.1,0.0,0.0,21.75,21.75,21.75,0.0,0.0,21.75,21.75,21.75,0.0,0.0
2016-09-11,21.63,21.63,21.63,0.0,0.0,21.74,21.74,21.74,0.0,0.0,21.63,21.63,21.63,0.0,0.0,21.7,21.7,21.7,0.0,0.0
2016-09-18,22.27,22.27,22.27,0.0,0.0,22.28,22.28,22.28,0.0,0.0,22.18,22.18,22.18,0.0,0.0,22.21,22.21,22.21,0.0,0.0
2016-09-25,21.96,21.96,21.96,0.0,0.0,22.07,22.07,22.07,0.0,0.0,21.93,21.93,21.93,0.0,0.0,22.06,22.06,22.06,0.0,0.0
2016-10-02,22.3,22.3,22.3,0.0,0.0,22.3,22.3,22.3,0.0,0.0,22.15,22.15,22.15,0.0,0.0,22.18,22.18,22.18,0.0,0.0
2016-10-09,21.91,21.91,21.91,0.0,0.0,21.98,21.98,21.98,0.0,0.0,21.8,21.8,21.8,0.0,0.0,21.8,21.8,21.8,0.0,0.0
2016-10-16,22.19,22.19,22.19,0.0,0.0,22.28,22.28,22.28,0.0,0.0,22.12,22.12,22.12,0.0,0.0,22.17,22.17,22.17,0.0,0.0
2016-10-23,21.92,21.92,21.92,0.0,0.0,22.02,22.02,22.02,0.0,0.0,21.79,21.79,21.79,0.0,0.0,21.83,21.83,21.83,0.0,0.0
2016-10-30,21.26,21.26,21.26,0.0,0.0,21.4,21.4,21.4,0.0,0.0,21.23,21.23,21.23,0.0,0.0,21.23,21.23,21.23,0.0,0.0
2016-11-06,20.94,20.94,20.94,0.0,0.0,20.98,20.98,20.98,0.0,0.0,20.73,20.73,20.73,0.0,0.0,20.81,20.81,20.81,0.0,0.0
