Date,First Trust NASDAQ ABA Community BankEtf_Open_average,First Trust NASDAQ ABA Community BankEtf_Open_max,First Trust NASDAQ ABA Community BankEtf_Open_min,First Trust NASDAQ ABA Community BankEtf_Open_volatility,First Trust NASDAQ ABA Community BankEtf_Open_change,First Trust NASDAQ ABA Community BankEtf_High_average,First Trust NASDAQ ABA Community BankEtf_High_max,First Trust NASDAQ ABA Community BankEtf_High_min,First Trust NASDAQ ABA Community BankEtf_High_volatility,First Trust NASDAQ ABA Community BankEtf_High_change,First Trust NASDAQ ABA Community BankEtf_Low_average,First Trust NASDAQ ABA Community BankEtf_Low_max,First Trust NASDAQ ABA Community BankEtf_Low_min,First Trust NASDAQ ABA Community BankEtf_Low_volatility,First Trust NASDAQ ABA Community BankEtf_Low_change,First Trust NASDAQ ABA Community BankEtf_Close_average,First Trust NASDAQ ABA Community BankEtf_Close_max,First Trust NASDAQ ABA Community BankEtf_Close_min,First Trust NASDAQ ABA Community BankEtf_Close_volatility,First Trust NASDAQ ABA Community BankEtf_Close_change
2016-01-03,37.31,37.31,37.31,0.0,0.0,37.31,37.31,37.31,0.0,0.0,36.08,36.08,36.08,0.0,0.0,36.08,36.08,36.08,0.0,0.0
2016-01-10,34.27,34.27,34.27,0.0,0.0,34.65,34.65,34.65,0.0,0.0,33.88,33.88,33.88,0.0,0.0,34.63,34.63,34.63,0.0,0.0
2016-01-17,34.11,34.11,34.11,0.0,0.0,34.33,34.33,34.33,0.0,0.0,33.89,33.89,33.89,0.0,0.0,34.2,34.2,34.2,0.0,0.0
2016-01-24,34.91,34.91,34.91,0.0,0.0,35.64,35.64,35.64,0.0,0.0,34.82,34.82,34.82,0.0,0.0,35.64,35.64,35.64,0.0,0.0
2016-01-31,34.73,34.73,34.73,0.0,0.0,34.95,34.95,34.95,0.0,0.0,34.0,34.0,34.0,0.0,0.0,34.0,34.0,34.0,0.0,0.0
2016-02-07,33.21,33.21,33.21,0.0,0.0,33.97,33.97,33.97,0.0,0.0,33.11,33.11,33.11,0.0,0.0,33.83,33.83,33.83,0.0,0.0
2016-02-14,34.1,34.1,34.1,0.0,0.0,34.56,34.56,34.56,0.0,0.0,33.98,33.98,33.98,0.0,0.0,34.37,34.37,34.37,0.0,0.0
2016-02-21,34.79,34.79,34.79,0.0,0.0,35.4,35.4,35.4,0.0,0.0,34.79,34.79,34.79,0.0,0.0,35.09,35.09,35.09,0.0,0.0
2016-02-28,36.89,36.89,36.89,0.0,0.0,36.93,36.93,36.93,0.0,0.0,36.51,36.51,36.51,0.0,0.0,36.78,36.78,36.78,0.0,0.0
2016-03-06,36.67,36.67,36.67,0.0,0.0,37.17,37.17,37.17,0.0,0.0,36.59,36.59,36.59,0.0,0.0,37.17,37.17,37.17,0.0,0.0
2016-03-13,36.55,36.55,36.55,0.0,0.0,37.53,37.53,37.53,0.0,0.0,36.55,36.55,36.55,0.0,0.0,37.27,37.27,37.27,0.0,0.0
2016-03-20,35.99,35.99,35.99,0.0,0.0,36.49,36.49,36.49,0.0,0.0,35.99,35.99,35.99,0.0,0.0,36.49,36.49,36.49,0.0,0.0
2016-03-27,36.49,36.49,36.49,0.0,0.0,36.78,36.78,36.78,0.0,0.0,36.37,36.37,36.37,0.0,0.0,36.71,36.71,36.71,0.0,0.0
2016-04-03,35.63,35.63,35.63,0.0,0.0,36.02,36.02,36.02,0.0,0.0,35.42,35.42,35.42,0.0,0.0,35.54,35.54,35.54,0.0,0.0
2016-04-10,37.63,37.63,37.63,0.0,0.0,37.89,37.89,37.89,0.0,0.0,37.53,37.53,37.53,0.0,0.0,37.65,37.65,37.65,0.0,0.0
2016-04-17,38.53,38.53,38.53,0.0,0.0,39.07,39.07,39.07,0.0,0.0,38.5,38.5,38.5,0.0,0.0,38.98,38.98,38.98,0.0,0.0
2016-04-24,38.56,38.56,38.56,0.0,0.0,39.02,39.02,39.02,0.0,0.0,38.54,38.54,38.54,0.0,0.0,38.72,38.72,38.72,0.0,0.0
2016-05-01,37.33,37.33,37.33,0.0,0.0,37.63,37.63,37.63,0.0,0.0,37.33,37.33,37.33,0.0,0.0,37.6,37.6,37.6,0.0,0.0
2016-05-08,37.72,37.72,37.72,0.0,0.0,37.96,37.96,37.96,0.0,0.0,37.2,37.2,37.2,0.0,0.0,37.32,37.32,37.32,0.0,0.0
2016-05-15,38.27,38.27,38.27,0.0,0.0,38.73,38.73,38.73,0.0,0.0,38.27,38.27,38.27,0.0,0.0,38.62,38.62,38.62,0.0,0.0
2016-05-22,39.45,39.45,39.45,0.0,0.0,39.85,39.85,39.85,0.0,0.0,39.45,39.45,39.45,0.0,0.0,39.85,39.85,39.85,0.0,0.0
2016-05-29,39.75,39.75,39.75,0.0,0.0,40.62,40.62,40.62,0.0,0.0,38.65,38.65,38.65,0.0,0.0,39.5,39.5,39.5,0.0,0.0
2016-06-05,39.06,39.06,39.06,0.0,0.0,39.45,39.45,39.45,0.0,0.0,38.99,38.99,38.99,0.0,0.0,39.14,39.14,39.14,0.0,0.0
2016-06-12,37.61,37.61,37.61,0.0,0.0,38.04,38.04,38.04,0.0,0.0,37.58,37.58,37.58,0.0,0.0,37.7,37.7,37.7,0.0,0.0
2016-06-19,37.25,37.25,37.25,0.0,0.0,37.78,37.78,37.78,0.0,0.0,36.87,36.87,36.87,0.0,0.0,36.87,36.87,36.87,0.0,0.0
2016-06-26,37.96,37.96,37.96,0.0,0.0,37.96,37.96,37.96,0.0,0.0,37.3,37.3,37.3,0.0,0.0,37.48,37.48,37.48,0.0,0.0
