Date,Global X Silver Miners_etf_Open_average,Global X Silver Miners_etf_Open_max,Global X Silver Miners_etf_Open_min,Global X Silver Miners_etf_Open_volatility,Global X Silver Miners_etf_Open_change,Global X Silver Miners_etf_High_average,Global X Silver Miners_etf_High_max,Global X Silver Miners_etf_High_min,Global X Silver Miners_etf_High_volatility,Global X Silver Miners_etf_High_change,Global X Silver Miners_etf_Low_average,Global X Silver Miners_etf_Low_max,Global X Silver Miners_etf_Low_min,Global X Silver Miners_etf_Low_volatility,Global X Silver Miners_etf_Low_change,Global X Silver Miners_etf_Close_average,Global X Silver Miners_etf_Close_max,Global X Silver Miners_etf_Close_min,Global X Silver Miners_etf_Close_volatility,Global X Silver Miners_etf_Close_change
2016-01-03,18.82,18.82,18.82,0.0,0.0,19.01,19.01,19.01,0.0,0.0,18.46,18.46,18.46,0.0,0.0,18.7,18.7,18.7,0.0,0.0
2016-01-10,16.99,16.99,16.99,0.0,0.0,17.01,17.01,17.01,0.0,0.0,16.29,16.29,16.29,0.0,0.0,16.3,16.3,16.3,0.0,0.0
2016-01-17,15.61,15.61,15.61,0.0,0.0,16.39,16.39,16.39,0.0,0.0,15.59,15.59,15.59,0.0,0.0,16.01,16.01,16.01,0.0,0.0
2016-01-24,17.24,17.24,17.24,0.0,0.0,18.01,18.01,18.01,0.0,0.0,17.24,17.24,17.24,0.0,0.0,18.01,18.01,18.01,0.0,0.0
2016-01-31,19.45,19.45,19.45,0.0,0.0,20.2,20.2,20.2,0.0,0.0,19.0,19.0,19.0,0.0,0.0,20.19,20.19,20.19,0.0,0.0
2016-02-07,21.13,21.13,21.13,0.0,0.0,22.2,22.2,22.2,0.0,0.0,21.0,21.0,21.0,0.0,0.0,22.14,22.14,22.14,0.0,0.0
2016-02-14,22.83,22.83,22.83,0.0,0.0,23.36,23.36,23.36,0.0,0.0,22.65,22.65,22.65,0.0,0.0,22.8,22.8,22.8,0.0,0.0
2016-02-21,23.22,23.22,23.22,0.0,0.0,23.36,23.36,23.36,0.0,0.0,22.72,22.72,22.72,0.0,0.0,22.8,22.8,22.8,0.0,0.0
2016-02-28,24.77,24.77,24.77,0.0,0.0,26.16,26.16,26.16,0.0,0.0,24.46,24.46,24.46,0.0,0.0,24.76,24.76,24.76,0.0,0.0
2016-03-06,25.98,25.98,25.98,0.0,0.0,26.43,26.43,26.43,0.0,0.0,25.69,25.69,25.69,0.0,0.0,25.82,25.82,25.82,0.0,0.0
2016-03-13,27.2,27.2,27.2,0.0,0.0,27.96,27.96,27.96,0.0,0.0,27.2,27.2,27.2,0.0,0.0,27.54,27.54,27.54,0.0,0.0
2016-03-20,26.39,26.39,26.39,0.0,0.0,26.58,26.58,26.58,0.0,0.0,25.87,25.87,25.87,0.0,0.0,26.27,26.27,26.27,0.0,0.0
2016-03-27,26.05,26.05,26.05,0.0,0.0,26.52,26.52,26.52,0.0,0.0,25.46,25.46,25.46,0.0,0.0,26.52,26.52,26.52,0.0,0.0
2016-04-03,27.17,27.17,27.17,0.0,0.0,28.06,28.06,28.06,0.0,0.0,27.17,27.17,27.17,0.0,0.0,28.0,28.0,28.0,0.0,0.0
2016-04-10,29.63,29.63,29.63,0.0,0.0,30.54,30.54,30.54,0.0,0.0,29.32,29.32,29.32,0.0,0.0,30.41,30.41,30.41,0.0,0.0
2016-04-17,33.23,33.23,33.23,0.0,0.0,33.95,33.95,33.95,0.0,0.0,32.3,32.3,32.3,0.0,0.0,32.79,32.79,32.79,0.0,0.0
2016-04-24,36.0,36.0,36.0,0.0,0.0,36.85,36.85,36.85,0.0,0.0,35.98,35.98,35.98,0.0,0.0,36.68,36.68,36.68,0.0,0.0
2016-05-01,34.56,34.56,34.56,0.0,0.0,35.58,35.58,35.58,0.0,0.0,34.41,34.41,34.41,0.0,0.0,35.23,35.23,35.23,0.0,0.0
2016-05-08,35.03,35.03,35.03,0.0,0.0,36.1,36.1,36.1,0.0,0.0,35.03,35.03,35.03,0.0,0.0,35.64,35.64,35.64,0.0,0.0
2016-05-15,35.49,35.49,35.49,0.0,0.0,35.74,35.74,35.74,0.0,0.0,34.35,34.35,34.35,0.0,0.0,35.33,35.33,35.33,0.0,0.0
2016-05-22,33.48,33.48,33.48,0.0,0.0,33.57,33.57,33.57,0.0,0.0,32.48,32.48,32.48,0.0,0.0,32.72,32.72,32.72,0.0,0.0
2016-05-29,35.01,35.01,35.01,0.0,0.0,36.61,36.61,36.61,0.0,0.0,34.69,34.69,34.69,0.0,0.0,36.6,36.6,36.6,0.0,0.0
2016-06-05,39.01,39.01,39.01,0.0,0.0,39.3,39.3,39.3,0.0,0.0,37.91,37.91,37.91,0.0,0.0,37.99,37.99,37.99,0.0,0.0
2016-06-12,38.42,38.42,38.42,0.0,0.0,38.78,38.78,38.78,0.0,0.0,37.78,37.78,37.78,0.0,0.0,38.2,38.2,38.2,0.0,0.0
2016-06-19,40.54,40.54,40.54,0.0,0.0,41.02,41.02,41.02,0.0,0.0,39.3,39.3,39.3,0.0,0.0,39.61,39.61,39.61,0.0,0.0
2016-06-26,45.0,45.0,45.0,0.0,0.0,46.16,46.16,46.16,0.0,0.0,44.22,44.22,44.22,0.0,0.0,45.95,45.95,45.95,0.0,0.0
2016-07-03,47.41,47.41,47.41,0.0,0.0,49.1,49.1,49.1,0.0,0.0,46.98,46.98,46.98,0.0,0.0,48.97,48.97,48.97,0.0,0.0
2016-07-10,49.63,49.63,49.63,0.0,0.0,50.0,50.0,50.0,0.0,0.0,49.15,49.15,49.15,0.0,0.0,49.49,49.49,49.49,0.0,0.0
2016-07-17,46.86,46.86,46.86,0.0,0.0,47.57,47.57,47.57,0.0,0.0,46.74,46.74,46.74,0.0,0.0,47.34,47.34,47.34,0.0,0.0
2016-07-24,50.0,50.0,50.0,0.0,0.0,51.24,51.24,51.24,0.0,0.0,49.75,49.75,49.75,0.0,0.0,50.87,50.87,50.87,0.0,0.0
2016-07-31,50.77,50.77,50.77,0.0,0.0,51.0,51.0,51.0,0.0,0.0,49.85,49.85,49.85,0.0,0.0,50.54,50.54,50.54,0.0,0.0
2016-08-07,53.77,53.77,53.77,0.0,0.0,54.34,54.34,54.34,0.0,0.0,52.77,52.77,52.77,0.0,0.0,53.05,53.05,53.05,0.0,0.0
2016-08-14,52.42,52.42,52.42,0.0,0.0,52.46,52.46,52.46,0.0,0.0,51.51,51.51,51.51,0.0,0.0,51.61,51.61,51.61,0.0,0.0
2016-08-21,47.09,47.09,47.09,0.0,0.0,47.95,47.95,47.95,0.0,0.0,45.51,45.51,45.51,0.0,0.0,46.08,46.08,46.08,0.0,0.0
2016-08-28,46.35,46.35,46.35,0.0,0.0,46.8,46.8,46.8,0.0,0.0,45.17,45.17,45.17,0.0,0.0,46.54,46.54,46.54,0.0,0.0
2016-09-04,47.75,47.75,47.75,0.0,0.0,47.75,47.75,47.75,0.0,0.0,44.91,44.91,44.91,0.0,0.0,45.24,45.24,45.24,0.0,0.0
2016-09-11,43.8,43.8,43.8,0.0,0.0,44.52,44.52,44.52,0.0,0.0,43.27,43.27,43.27,0.0,0.0,43.66,43.66,43.66,0.0,0.0
2016-09-18,46.8,46.8,46.8,0.0,0.0,47.2,47.2,47.2,0.0,0.0,45.48,45.48,45.48,0.0,0.0,45.69,45.69,45.69,0.0,0.0
2016-09-25,46.55,46.55,46.55,0.0,0.0,46.55,46.55,46.55,0.0,0.0,44.45,44.45,44.45,0.0,0.0,44.48,44.48,44.48,0.0,0.0
2016-10-02,39.86,39.86,39.86,0.0,0.0,40.18,40.18,40.18,0.0,0.0,38.24,38.24,38.24,0.0,0.0,39.21,39.21,39.21,0.0,0.0
2016-10-09,39.14,39.14,39.14,0.0,0.0,39.7,39.7,39.7,0.0,0.0,38.54,38.54,38.54,0.0,0.0,38.55,38.55,38.55,0.0,0.0
2016-10-16,41.44,41.44,41.44,0.0,0.0,41.74,41.74,41.74,0.0,0.0,41.18,41.18,41.18,0.0,0.0,41.49,41.49,41.49,0.0,0.0
2016-10-23,39.84,39.84,39.84,0.0,0.0,40.5,40.5,40.5,0.0,0.0,39.27,39.27,39.27,0.0,0.0,39.85,39.85,39.85,0.0,0.0
2016-10-30,41.97,41.97,41.97,0.0,0.0,41.97,41.97,41.97,0.0,0.0,40.79,40.79,40.79,0.0,0.0,41.19,41.19,41.19,0.0,0.0
2016-11-06,38.55,38.55,38.55,0.0,0.0,38.55,38.55,38.55,0.0,0.0,34.9,34.9,34.9,0.0,0.0,35.06,35.06,35.06,0.0,0.0
2016-11-13,34.86,34.86,34.86,0.0,0.0,35.19,35.19,35.19,0.0,0.0,34.02,34.02,34.02,0.0,0.0,34.58,34.58,34.58,0.0,0.0
