Date,SPDR Global DowEtf_Open_average,SPDR Global DowEtf_Open_max,SPDR Global DowEtf_Open_min,SPDR Global DowEtf_Open_volatility,SPDR Global DowEtf_Open_change,SPDR Global DowEtf_High_average,SPDR Global DowEtf_High_max,SPDR Global DowEtf_High_min,SPDR Global DowEtf_High_volatility,SPDR Global DowEtf_High_change,SPDR Global DowEtf_Low_average,SPDR Global DowEtf_Low_max,SPDR Global DowEtf_Low_min,SPDR Global DowEtf_Low_volatility,SPDR Global DowEtf_Low_change,SPDR Global DowEtf_Close_average,SPDR Global DowEtf_Close_max,SPDR Global DowEtf_Close_min,SPDR Global DowEtf_Close_volatility,SPDR Global DowEtf_Close_change
2016-01-03,60.5,60.5,60.5,0.0,0.0,60.71,60.71,60.71,0.0,0.0,60.5,60.5,60.5,0.0,0.0,60.67,60.67,60.67,0.0,0.0
2016-01-10,58.77,58.77,58.77,0.0,0.0,58.83,58.83,58.83,0.0,0.0,58.53,58.53,58.53,0.0,0.0,58.53,58.53,58.53,0.0,0.0
2016-01-17,59.02,59.02,59.02,0.0,0.0,59.42,59.42,59.42,0.0,0.0,59.02,59.02,59.02,0.0,0.0,59.14,59.14,59.14,0.0,0.0
2016-01-24,59.35,59.35,59.35,0.0,0.0,59.9,59.9,59.9,0.0,0.0,59.35,59.35,59.35,0.0,0.0,59.88,59.88,59.88,0.0,0.0
2016-01-31,59.6,59.6,59.6,0.0,0.0,59.6,59.6,59.6,0.0,0.0,58.82,58.82,58.82,0.0,0.0,58.95,58.95,58.95,0.0,0.0
2016-02-07,56.77,56.77,56.77,0.0,0.0,57.47,57.47,57.47,0.0,0.0,56.77,56.77,56.77,0.0,0.0,57.47,57.47,57.47,0.0,0.0
2016-02-14,59.29,59.29,59.29,0.0,0.0,59.3,59.3,59.3,0.0,0.0,59.29,59.29,59.29,0.0,0.0,59.3,59.3,59.3,0.0,0.0
2016-02-21,60.43,60.43,60.43,0.0,0.0,60.43,60.43,60.43,0.0,0.0,59.89,59.89,59.89,0.0,0.0,59.9,59.9,59.9,0.0,0.0
2016-02-28,63.07,63.07,63.07,0.0,0.0,63.07,63.07,63.07,0.0,0.0,62.93,62.93,62.93,0.0,0.0,62.95,62.95,62.95,0.0,0.0
2016-03-06,63.13,63.13,63.13,0.0,0.0,63.46,63.46,63.46,0.0,0.0,63.13,63.13,63.13,0.0,0.0,63.38,63.38,63.38,0.0,0.0
2016-03-13,64.44,64.44,64.44,0.0,0.0,64.44,64.44,64.44,0.0,0.0,64.09,64.09,64.09,0.0,0.0,64.24,64.24,64.24,0.0,0.0
2016-03-20,63.0,63.0,63.0,0.0,0.0,63.07,63.07,63.07,0.0,0.0,62.9,62.9,62.9,0.0,0.0,63.05,63.05,63.05,0.0,0.0
2016-03-27,63.38,63.38,63.38,0.0,0.0,64.03,64.03,64.03,0.0,0.0,63.38,63.38,63.38,0.0,0.0,64.03,64.03,64.03,0.0,0.0
2016-04-03,63.44,63.44,63.44,0.0,0.0,63.65,63.65,63.65,0.0,0.0,63.25,63.25,63.25,0.0,0.0,63.26,63.26,63.26,0.0,0.0
2016-04-10,65.7,65.7,65.7,0.0,0.0,65.7,65.7,65.7,0.0,0.0,65.56,65.56,65.56,0.0,0.0,65.58,65.58,65.58,0.0,0.0
