Date,GS Connect S&P GSCI Enhanced Commodity Total Retur_etf_Open_average,GS Connect S&P GSCI Enhanced Commodity Total Retur_etf_Open_max,GS Connect S&P GSCI Enhanced Commodity Total Retur_etf_Open_min,GS Connect S&P GSCI Enhanced Commodity Total Retur_etf_Open_volatility,GS Connect S&P GSCI Enhanced Commodity Total Retur_etf_Open_change,GS Connect S&P GSCI Enhanced Commodity Total Retur_etf_High_average,GS Connect S&P GSCI Enhanced Commodity Total Retur_etf_High_max,GS Connect S&P GSCI Enhanced Commodity Total Retur_etf_High_min,GS Connect S&P GSCI Enhanced Commodity Total Retur_etf_High_volatility,GS Connect S&P GSCI Enhanced Commodity Total Retur_etf_High_change,GS Connect S&P GSCI Enhanced Commodity Total Retur_etf_Low_average,GS Connect S&P GSCI Enhanced Commodity Total Retur_etf_Low_max,GS Connect S&P GSCI Enhanced Commodity Total Retur_etf_Low_min,GS Connect S&P GSCI Enhanced Commodity Total Retur_etf_Low_volatility,GS Connect S&P GSCI Enhanced Commodity Total Retur_etf_Low_change,GS Connect S&P GSCI Enhanced Commodity Total Retur_etf_Close_average,GS Connect S&P GSCI Enhanced Commodity Total Retur_etf_Close_max,GS Connect S&P GSCI Enhanced Commodity Total Retur_etf_Close_min,GS Connect S&P GSCI Enhanced Commodity Total Retur_etf_Close_volatility,GS Connect S&P GSCI Enhanced Commodity Total Retur_etf_Close_change
2016-01-03,18.85,18.85,18.85,0.0,0.0,19.0,19.0,19.0,0.0,0.0,18.85,18.85,18.85,0.0,0.0,18.89,18.89,18.89,0.0,0.0
2016-01-10,17.16,17.16,17.16,0.0,0.0,17.29,17.29,17.29,0.0,0.0,17.16,17.16,17.16,0.0,0.0,17.26,17.26,17.26,0.0,0.0
2016-01-17,17.83,17.83,17.83,0.0,0.0,18.2,18.2,18.2,0.0,0.0,17.83,17.83,17.83,0.0,0.0,18.2,18.2,18.2,0.0,0.0
2016-01-24,18.88,18.88,18.88,0.0,0.0,19.25,19.25,19.25,0.0,0.0,18.88,18.88,18.88,0.0,0.0,19.25,19.25,19.25,0.0,0.0
2016-01-31,18.73,18.73,18.73,0.0,0.0,18.75,18.75,18.75,0.0,0.0,18.5,18.5,18.5,0.0,0.0,18.52,18.52,18.52,0.0,0.0
2016-02-07,18.12,18.12,18.12,0.0,0.0,18.15,18.15,18.15,0.0,0.0,18.12,18.12,18.12,0.0,0.0,18.14,18.14,18.14,0.0,0.0
2016-02-14,18.13,18.13,18.13,0.0,0.0,18.17,18.17,18.17,0.0,0.0,18.13,18.13,18.13,0.0,0.0,18.17,18.17,18.17,0.0,0.0
2016-02-21,18.83,18.83,18.83,0.0,0.0,18.83,18.83,18.83,0.0,0.0,18.43,18.43,18.43,0.0,0.0,18.43,18.43,18.43,0.0,0.0
2016-02-28,19.44,19.44,19.44,0.0,0.0,19.6,19.6,19.6,0.0,0.0,19.44,19.44,19.44,0.0,0.0,19.6,19.6,19.6,0.0,0.0
2016-03-06,20.2,20.2,20.2,0.0,0.0,20.24,20.24,20.24,0.0,0.0,20.17,20.17,20.17,0.0,0.0,20.17,20.17,20.17,0.0,0.0
2016-03-13,20.33,20.33,20.33,0.0,0.0,20.33,20.33,20.33,0.0,0.0,20.31,20.31,20.31,0.0,0.0,20.31,20.31,20.31,0.0,0.0
2016-03-20,19.91,19.91,19.91,0.0,0.0,20.01,20.01,20.01,0.0,0.0,19.91,19.91,19.91,0.0,0.0,19.94,19.94,19.94,0.0,0.0
2016-03-27,19.26,19.26,19.26,0.0,0.0,19.28,19.28,19.28,0.0,0.0,19.21,19.21,19.21,0.0,0.0,19.21,19.21,19.21,0.0,0.0
2016-04-03,19.84,19.84,19.84,0.0,0.0,19.85,19.85,19.85,0.0,0.0,19.84,19.84,19.84,0.0,0.0,19.85,19.85,19.85,0.0,0.0
2016-04-10,20.14,20.14,20.14,0.0,0.0,20.19,20.19,20.19,0.0,0.0,19.93,19.93,19.93,0.0,0.0,20.19,20.19,20.19,0.0,0.0
2016-04-17,21.29,21.29,21.29,0.0,0.0,21.45,21.45,21.45,0.0,0.0,21.01,21.01,21.01,0.0,0.0,21.05,21.05,21.05,0.0,0.0
2016-04-24,22.03,22.03,22.03,0.0,0.0,22.04,22.04,22.04,0.0,0.0,21.92,21.92,21.92,0.0,0.0,21.92,21.92,21.92,0.0,0.0
2016-05-01,21.26,21.26,21.26,0.0,0.0,21.35,21.35,21.35,0.0,0.0,21.26,21.26,21.26,0.0,0.0,21.35,21.35,21.35,0.0,0.0
2016-05-08,21.16,21.16,21.16,0.0,0.0,21.18,21.18,21.18,0.0,0.0,21.15,21.15,21.15,0.0,0.0,21.17,21.17,21.17,0.0,0.0
