Date,EDN_stock_Open_average,EDN_stock_Open_max,EDN_stock_Open_min,EDN_stock_Open_volatility,EDN_stock_Open_change,EDN_stock_High_average,EDN_stock_High_max,EDN_stock_High_min,EDN_stock_High_volatility,EDN_stock_High_change,EDN_stock_Low_average,EDN_stock_Low_max,EDN_stock_Low_min,EDN_stock_Low_volatility,EDN_stock_Low_change,EDN_stock_Close_average,EDN_stock_Close_max,EDN_stock_Close_min,EDN_stock_Close_volatility,EDN_stock_Close_change,EDN_stock_Volume_average,EDN_stock_Volume_max,EDN_stock_Volume_min,EDN_stock_Volume_volatility,EDN_stock_Volume_change
2016-01-03,17.156000000000002,17.37,16.85,0.5199999999999996,-0.17999999999999972,17.446,17.69,17.29,0.40000000000000213,-0.25,16.68,17.03,16.42,0.6099999999999994,-0.28000000000000114,17.072,17.34,16.75,0.5899999999999999,-0.23999999999999844,33563,46930,12668,34262,8962
2016-01-10,16.484,16.94,15.89,1.0500000000000007,-0.5899999999999999,16.802,17.25,16.11,1.1400000000000006,-1.1400000000000006,16.042,16.7,15.56,1.1399999999999988,-0.9900000000000002,16.51,16.9,16.11,0.7899999999999991,-0.7899999999999991,33335,65302,12603,52699,6809
2016-01-17,15.935,16.37,15.71,0.6600000000000001,0.4300000000000015,16.490000000000002,17.12,16.2,0.9200000000000017,0.9200000000000017,15.442499999999999,16.2,14.6,1.5999999999999996,0.35999999999999943,16.3425,16.88,16.01,0.8699999999999974,0.8699999999999974,44301,65150,26189,38961,-17299
2016-01-24,17.506,18.34,16.78,1.5599999999999987,1.5599999999999987,17.992,18.85,16.97,1.8800000000000026,1.7699999999999996,17.28,18.11,16.26,1.8499999999999979,1.8499999999999979,17.701999999999998,18.74,16.72,2.0199999999999996,2.0199999999999996,70602,143269,18737,124532,123591
2016-01-31,17.43,18.43,16.94,1.4899999999999984,-1.4899999999999984,17.727999999999998,18.49,17.14,1.3499999999999979,-1.3499999999999979,16.706,17.02,16.0,1.0199999999999996,-1.0199999999999996,17.154,17.62,16.85,0.7699999999999996,-0.7699999999999996,75297,144907,30868,114039,-76456
2016-02-07,16.736,17.43,16.2,1.2300000000000004,0.10000000000000142,17.276,18.1,16.4,1.7000000000000028,-0.860000000000003,15.826,16.07,15.5,0.5700000000000003,0.35999999999999943,16.714,17.9,16.31,1.5899999999999999,-1.5799999999999983,172396,398184,17572,380612,-366832
2016-02-14,16.085,16.47,15.74,0.7299999999999986,-0.7299999999999986,16.5075,16.92,16.26,0.6600000000000001,-0.6600000000000001,15.74,15.85,15.63,0.21999999999999886,-0.03999999999999915,16.215,16.38,16.12,0.259999999999998,0.05000000000000071,42478,99653,12208,87445,-25584
2016-02-21,16.396,16.88,15.89,0.9899999999999984,0.5,16.81,17.25,16.4,0.8500000000000014,0.3500000000000014,16.156,16.59,15.72,0.8699999999999992,0.39000000000000057,16.524,16.95,15.89,1.0599999999999987,0.3200000000000003,21160,31956,10395,21561,-14830
2016-02-28,16.802,17.27,16.45,0.8200000000000003,-0.21999999999999886,16.95,17.3,16.45,0.8500000000000014,-0.5100000000000016,16.118,16.7,15.79,0.9100000000000001,-0.8999999999999986,16.496,16.88,16.01,0.8699999999999974,-0.8699999999999974,35448,61060,23757,37303,-36431
2016-03-06,15.734,15.99,15.43,0.5600000000000005,0.0600000000000005,16.126,16.3,15.73,0.5700000000000003,-0.030000000000001137,15.454,15.79,15.16,0.629999999999999,-0.10999999999999943,15.686,15.87,15.5,0.3699999999999992,-0.049999999999998934,37295,77790,17604,60186,14906
2016-03-13,15.636000000000001,15.88,15.38,0.5,-0.15000000000000036,15.858,16.14,15.6,0.5400000000000009,-0.21000000000000085,15.202,15.73,14.52,1.2100000000000009,0.4900000000000002,15.474,15.85,15.09,0.7599999999999998,0.5999999999999996,34597,45660,18509,27151,-27151
