Date,CLMT_stock_Open_average,CLMT_stock_Open_max,CLMT_stock_Open_min,CLMT_stock_Open_volatility,CLMT_stock_Open_change,CLMT_stock_High_average,CLMT_stock_High_max,CLMT_stock_High_min,CLMT_stock_High_volatility,CLMT_stock_High_change,CLMT_stock_Low_average,CLMT_stock_Low_max,CLMT_stock_Low_min,CLMT_stock_Low_volatility,CLMT_stock_Low_change,CLMT_stock_Close_average,CLMT_stock_Close_max,CLMT_stock_Close_min,CLMT_stock_Close_volatility,CLMT_stock_Close_change,CLMT_stock_Volume_average,CLMT_stock_Volume_max,CLMT_stock_Volume_min,CLMT_stock_Volume_volatility,CLMT_stock_Volume_change
2016-01-03,19.586000000000002,20.02,19.17,0.8499999999999979,-0.3299999999999983,19.91,20.27,19.49,0.7800000000000011,-0.629999999999999,19.048000000000002,19.52,18.52,1.0,-0.3999999999999986,19.478,20.2,18.84,1.3599999999999994,-0.9800000000000004,403089,594299,217768,376531,258304
2016-01-10,17.322,18.75,15.8,2.9499999999999993,-2.3900000000000006,17.924,18.86,16.96,1.8999999999999986,-1.8999999999999986,16.3,17.74,15.51,2.2299999999999986,-1.6999999999999993,17.016000000000002,18.03,15.99,2.040000000000001,-1.6099999999999994,696957,831734,497123,334611,-192181
2016-01-17,16.6625,18.48,15.7,2.780000000000001,2.400000000000002,17.7275,19.25,16.57,2.6799999999999997,2.6000000000000014,15.9375,18.0,14.51,3.49,2.9299999999999997,16.99,18.5,15.34,3.16,3.16,866013,1474310,481411,992899,234050
2016-01-24,18.442,18.97,17.52,1.4499999999999993,-1.0100000000000016,18.782,19.05,17.95,1.1000000000000014,-1.0199999999999996,17.698,18.05,16.57,1.4800000000000004,-1.4299999999999997,18.066,18.94,16.83,2.110000000000003,-1.3300000000000018,514510,602501,335801,266700,47142
2016-01-31,15.96,16.8,15.5,1.3000000000000007,-1.3000000000000007,16.25,16.81,15.8,1.009999999999998,-1.009999999999998,15.284,16.01,14.74,1.2700000000000014,-0.8600000000000012,15.645999999999999,16.13,15.28,0.8499999999999996,-0.8499999999999996,389778,548917,227406,321511,-277689
2016-02-07,14.097999999999999,15.02,13.27,1.75,-1.75,14.204,15.1,13.36,1.7400000000000002,-1.7400000000000002,13.12,14.1,12.15,1.9499999999999993,-1.5999999999999996,13.502,14.74,12.38,2.3599999999999994,-1.8900000000000006,550686,803123,329725,473398,89933
2016-02-14,12.2875,12.95,10.81,2.139999999999999,-2.139999999999999,12.925,14.38,10.82,3.5600000000000005,-3.5600000000000005,11.0175,12.95,9.02,3.9299999999999997,-3.9299999999999997,11.695,14.08,9.58,4.5,-4.5,1689940,3085916,637745,2448171,2448171
2016-02-21,9.386666666666667,9.75,8.57,1.1799999999999997,-0.15000000000000036,9.67,10.08,9.29,0.7900000000000009,-0.5400000000000009,8.945,9.61,7.8,1.8099999999999996,-0.07000000000000028,9.298333333333334,9.62,8.79,0.8300000000000001,-0.08000000000000007,782979,1033946,560466,473480,-432341
2016-02-28,10.06,11.08,9.48,1.5999999999999996,1.290000000000001,10.542,11.57,9.86,1.7100000000000009,1.7100000000000009,9.692,10.81,9.08,1.7300000000000004,1.4100000000000001,10.232000000000001,10.98,9.51,1.4700000000000006,1.2699999999999996,669509,828558,467969,360589,209283
2016-03-06,11.73,12.91,11.02,1.8900000000000006,0.19000000000000128,12.41,12.95,11.95,1.0,-1.0,11.248,11.51,11.0,0.5099999999999998,0.21000000000000085,11.878,12.94,11.14,1.799999999999999,-1.0199999999999996,540874,882105,323044,559061,-386648
