Date,PRO_stock_Open_average,PRO_stock_Open_max,PRO_stock_Open_min,PRO_stock_Open_volatility,PRO_stock_Open_change,PRO_stock_High_average,PRO_stock_High_max,PRO_stock_High_min,PRO_stock_High_volatility,PRO_stock_High_change,PRO_stock_Low_average,PRO_stock_Low_max,PRO_stock_Low_min,PRO_stock_Low_volatility,PRO_stock_Low_change,PRO_stock_Close_average,PRO_stock_Close_max,PRO_stock_Close_min,PRO_stock_Close_volatility,PRO_stock_Close_change,PRO_stock_Volume_average,PRO_stock_Volume_max,PRO_stock_Volume_min,PRO_stock_Volume_volatility,PRO_stock_Volume_change
2016-01-03,21.558,22.54,20.44,2.099999999999998,-2.099999999999998,21.704,22.64,20.83,1.8100000000000023,-1.8100000000000023,20.87,21.85,19.64,2.210000000000001,-1.870000000000001,21.118,22.2,19.67,2.5299999999999976,-2.5299999999999976,188415,302975,101074,201901,-84319
2016-01-10,18.994,19.92,16.53,3.3900000000000006,-3.099999999999998,19.25,20.21,16.53,3.6799999999999997,-3.379999999999999,18.2,19.24,14.8,4.439999999999998,-4.439999999999998,18.584,19.66,15.39,4.27,-4.27,412652,1321716,160480,1161236,1161236
2016-01-17,14.092500000000001,15.46,13.41,2.0500000000000007,-1.5500000000000007,14.365,15.7,13.85,1.8499999999999996,-1.709999999999999,13.1375,13.4,12.87,0.5300000000000011,0.4399999999999995,13.59,13.64,13.53,0.11000000000000121,-0.02000000000000135,639916,894269,470421,423848,-414709
2016-01-24,12.85,13.46,12.03,1.4300000000000015,-1.3900000000000006,13.056000000000001,13.57,12.36,1.2100000000000009,-1.2100000000000009,12.394,13.1,11.64,1.459999999999999,-1.459999999999999,12.614,13.41,12.05,1.3599999999999994,-1.1300000000000008,337100,579970,221466,358504,-193944
2016-01-31,12.012,12.4,11.77,0.6300000000000008,-0.2900000000000009,12.252,12.83,11.77,1.0600000000000005,-1.0600000000000005,11.448,11.86,10.46,1.3999999999999986,-1.379999999999999,11.724,12.62,10.48,2.139999999999999,-2.139999999999999,347330,504397,164496,339901,218238
2016-02-07,9.674,10.28,9.19,1.0899999999999999,-0.7999999999999989,10.392,11.5,9.73,1.7699999999999996,0.22000000000000064,9.148,9.36,9.01,0.34999999999999964,0.3099999999999987,9.532,10.14,9.28,0.8600000000000012,0.8600000000000012,525444,585308,424294,161014,-55146
2016-02-14,10.955,11.5,10.38,1.1199999999999992,0.6699999999999999,11.305,11.62,10.71,0.9099999999999984,0.5699999999999985,10.715,11.01,10.06,0.9499999999999993,0.9499999999999993,11.0725,11.5,10.66,0.8399999999999999,0.4399999999999995,283549,382947,223069,159878,-67008
2016-02-21,10.758000000000001,11.18,10.55,0.629999999999999,-0.4499999999999993,10.99,11.22,10.68,0.5400000000000009,-0.11000000000000121,10.538,10.74,10.34,0.40000000000000036,-0.2400000000000002,10.748,11.0,10.57,0.4299999999999997,0.23000000000000043,379774,746294,158903,587391,278866
2016-02-28,11.462,12.17,11.0,1.17,1.1500000000000004,11.911999999999999,12.83,11.33,1.5,1.4800000000000004,11.386000000000001,12.13,10.94,1.1900000000000013,1.1900000000000013,11.752,12.5,10.99,1.5099999999999998,1.5099999999999998,379148,557134,212944,344190,-109845
2016-03-06,12.062,12.4,11.68,0.7200000000000006,-0.7200000000000006,12.246,12.68,11.87,0.8100000000000005,-0.8100000000000005,11.774000000000001,12.23,11.44,0.7900000000000009,-0.6699999999999999,11.9,12.46,11.6,0.8600000000000012,-0.7700000000000014,240038,292866,178460,114406,-49872
