Date,First Trust Technology AlphaDEX_etf_Open_average,First Trust Technology AlphaDEX_etf_Open_max,First Trust Technology AlphaDEX_etf_Open_min,First Trust Technology AlphaDEX_etf_Open_volatility,First Trust Technology AlphaDEX_etf_Open_change,First Trust Technology AlphaDEX_etf_High_average,First Trust Technology AlphaDEX_etf_High_max,First Trust Technology AlphaDEX_etf_High_min,First Trust Technology AlphaDEX_etf_High_volatility,First Trust Technology AlphaDEX_etf_High_change,First Trust Technology AlphaDEX_etf_Low_average,First Trust Technology AlphaDEX_etf_Low_max,First Trust Technology AlphaDEX_etf_Low_min,First Trust Technology AlphaDEX_etf_Low_volatility,First Trust Technology AlphaDEX_etf_Low_change,First Trust Technology AlphaDEX_etf_Close_average,First Trust Technology AlphaDEX_etf_Close_max,First Trust Technology AlphaDEX_etf_Close_min,First Trust Technology AlphaDEX_etf_Close_volatility,First Trust Technology AlphaDEX_etf_Close_change
2016-01-03,31.1,31.1,31.1,0.0,0.0,31.2,31.2,31.2,0.0,0.0,30.53,30.53,30.53,0.0,0.0,30.57,30.57,30.57,0.0,0.0
2016-01-10,29.59,29.59,29.59,0.0,0.0,29.77,29.77,29.77,0.0,0.0,29.15,29.15,29.15,0.0,0.0,29.59,29.59,29.59,0.0,0.0
2016-01-17,29.75,29.75,29.75,0.0,0.0,29.97,29.97,29.97,0.0,0.0,29.68,29.68,29.68,0.0,0.0,29.88,29.88,29.88,0.0,0.0
2016-01-24,29.46,29.46,29.46,0.0,0.0,30.21,30.21,30.21,0.0,0.0,29.46,29.46,29.46,0.0,0.0,30.21,30.21,30.21,0.0,0.0
2016-01-31,29.6,29.6,29.6,0.0,0.0,29.6,29.6,29.6,0.0,0.0,28.58,28.58,28.58,0.0,0.0,28.64,28.64,28.64,0.0,0.0
2016-02-07,27.77,27.77,27.77,0.0,0.0,28.01,28.01,28.01,0.0,0.0,27.54,27.54,27.54,0.0,0.0,27.98,27.98,27.98,0.0,0.0
2016-02-14,29.56,29.56,29.56,0.0,0.0,29.9,29.9,29.9,0.0,0.0,29.48,29.48,29.48,0.0,0.0,29.87,29.87,29.87,0.0,0.0
2016-02-21,30.67,30.67,30.67,0.0,0.0,30.72,30.72,30.72,0.0,0.0,30.56,30.56,30.56,0.0,0.0,30.62,30.62,30.62,0.0,0.0
2016-02-28,31.64,31.64,31.64,0.0,0.0,31.86,31.86,31.86,0.0,0.0,31.51,31.51,31.51,0.0,0.0,31.69,31.69,31.69,0.0,0.0
2016-03-06,31.75,31.75,31.75,0.0,0.0,32.13,32.13,32.13,0.0,0.0,31.75,31.75,31.75,0.0,0.0,32.08,32.08,32.08,0.0,0.0
