Date,MSN_stock_Open_average,MSN_stock_Open_max,MSN_stock_Open_min,MSN_stock_Open_volatility,MSN_stock_Open_change,MSN_stock_High_average,MSN_stock_High_max,MSN_stock_High_min,MSN_stock_High_volatility,MSN_stock_High_change,MSN_stock_Low_average,MSN_stock_Low_max,MSN_stock_Low_min,MSN_stock_Low_volatility,MSN_stock_Low_change,MSN_stock_Close_average,MSN_stock_Close_max,MSN_stock_Close_min,MSN_stock_Close_volatility,MSN_stock_Close_change,MSN_stock_Volume_average,MSN_stock_Volume_max,MSN_stock_Volume_min,MSN_stock_Volume_volatility,MSN_stock_Volume_change
2016-01-03,1.03,1.05,0.99,0.06000000000000005,0.040000000000000036,1.058,1.1,1.03,0.07000000000000006,0.0,1.008,1.03,0.95,0.08000000000000007,0.08000000000000007,1.028,1.05,1.0,0.050000000000000044,0.030000000000000027,13254,43930,700,43230,-10188
2016-01-10,1.044,1.08,1.0,0.08000000000000007,-0.020000000000000018,1.064,1.09,1.04,0.050000000000000044,-0.050000000000000044,1.026,1.05,1.0,0.050000000000000044,-0.030000000000000027,1.044,1.09,1.02,0.07000000000000006,-0.07000000000000006,3261,10099,377,9722,853
2016-01-17,1.0166666666666666,1.04,1.0,0.040000000000000036,0.030000000000000027,1.04,1.05,1.03,0.020000000000000018,0.010000000000000009,0.9866666666666667,1.0,0.96,0.040000000000000036,-0.040000000000000036,0.9966666666666667,1.02,0.96,0.06000000000000005,-0.050000000000000044,11625,16700,7097,9603,-3981
2016-01-24,0.996,1.03,0.96,0.07000000000000006,0.07000000000000006,1.022,1.03,1.0,0.030000000000000027,0.0,0.97,1.0,0.96,0.040000000000000036,0.010000000000000009,0.984,1.02,0.96,0.06000000000000005,0.0,939,2323,400,1923,1720
2016-01-31,1.0,1.02,0.98,0.040000000000000036,0.010000000000000009,1.01,1.02,1.0,0.020000000000000018,-0.010000000000000009,0.958,0.99,0.91,0.07999999999999996,-0.020000000000000018,0.984,1.01,0.95,0.06000000000000005,-0.06000000000000005,2879,6951,303,6648,5435
2016-02-07,0.92,0.93,0.91,0.020000000000000018,-0.010000000000000009,0.9275,0.94,0.92,0.019999999999999907,-0.019999999999999907,0.92,0.93,0.91,0.020000000000000018,-0.010000000000000009,0.9275,0.94,0.92,0.019999999999999907,-0.019999999999999907,2050,7000,125,6875,-650
2016-02-14,0.95,0.96,0.93,0.029999999999999916,0.029999999999999916,0.9566666666666667,0.98,0.93,0.04999999999999993,0.029999999999999916,0.94,0.95,0.93,0.019999999999999907,0.009999999999999898,0.9433333333333334,0.95,0.93,0.019999999999999907,0.019999999999999907,2950,6401,800,5601,850
2016-02-21,0.922,0.93,0.92,0.010000000000000009,0.0,0.926,0.93,0.92,0.010000000000000009,-0.010000000000000009,0.918,0.92,0.91,0.010000000000000009,-0.010000000000000009,0.92,0.93,0.91,0.020000000000000018,-0.010000000000000009,1891,5232,390,4842,-2056
2016-02-28,0.902,0.92,0.88,0.040000000000000036,-0.020000000000000018,0.904,0.93,0.88,0.050000000000000044,-0.030000000000000027,0.882,0.92,0.85,0.07000000000000006,-0.040000000000000036,0.882,0.92,0.85,0.07000000000000006,-0.040000000000000036,4467,15058,194,14864,576
2016-03-06,0.894,0.9,0.87,0.030000000000000027,0.0,0.894,0.9,0.87,0.030000000000000027,0.0,0.88,0.9,0.86,0.040000000000000036,0.030000000000000027,0.882,0.9,0.87,0.030000000000000027,0.030000000000000027,666,1207,100,1107,-404
2016-03-13,0.88,0.9,0.85,0.050000000000000044,0.020000000000000018,0.8875,0.9,0.87,0.030000000000000027,-0.010000000000000009,0.8625,0.87,0.85,0.020000000000000018,0.020000000000000018,0.88,0.9,0.87,0.030000000000000027,-0.010000000000000009,2611,3852,220,3632,-3056
2016-03-20,0.885,0.9,0.86,0.040000000000000036,0.0,0.8875,0.9,0.87,0.030000000000000027,0.0,0.88,0.9,0.86,0.040000000000000036,0.010000000000000009,0.8825000000000001,0.9,0.86,0.040000000000000036,0.010000000000000009,2633,5751,473,5278,1534
2016-03-27,0.88,0.9,0.84,0.06000000000000005,-0.06000000000000005,0.884,0.9,0.86,0.040000000000000036,-0.040000000000000036,0.862,0.9,0.84,0.06000000000000005,-0.06000000000000005,0.866,0.9,0.84,0.06000000000000005,-0.050000000000000044,4090,10582,1344,9238,-621
2016-04-03,0.862,0.87,0.86,0.010000000000000009,-0.010000000000000009,0.862,0.87,0.86,0.010000000000000009,-0.010000000000000009,0.854,0.86,0.85,0.010000000000000009,0.010000000000000009,0.856,0.86,0.85,0.010000000000000009,0.010000000000000009,3643,8428,302,8126,-3024
2016-04-10,0.844,0.86,0.82,0.040000000000000036,-0.040000000000000036,0.846,0.86,0.82,0.040000000000000036,-0.040000000000000036,0.832,0.85,0.8,0.04999999999999993,-0.04999999999999993,0.834,0.85,0.81,0.039999999999999925,-0.039999999999999925,3468,7417,954,6463,1868
2016-04-17,0.826,0.84,0.8,0.039999999999999925,-0.029999999999999916,0.83,0.84,0.81,0.029999999999999916,-0.029999999999999916,0.81,0.84,0.79,0.04999999999999993,-0.020000000000000018,0.812,0.84,0.79,0.04999999999999993,-0.020000000000000018,8699,16259,4800,11459,4654
2016-04-24,0.808,0.83,0.79,0.039999999999999925,-0.019999999999999907,0.808,0.83,0.79,0.039999999999999925,-0.019999999999999907,0.798,0.81,0.79,0.020000000000000018,-0.020000000000000018,0.8,0.81,0.79,0.020000000000000018,-0.010000000000000009,3117,5811,145,5666,396
