Date,SPDR S&P PharmaceuticalsEtf_Open_average,SPDR S&P PharmaceuticalsEtf_Open_max,SPDR S&P PharmaceuticalsEtf_Open_min,SPDR S&P PharmaceuticalsEtf_Open_volatility,SPDR S&P PharmaceuticalsEtf_Open_change,SPDR S&P PharmaceuticalsEtf_High_average,SPDR S&P PharmaceuticalsEtf_High_max,SPDR S&P PharmaceuticalsEtf_High_min,SPDR S&P PharmaceuticalsEtf_High_volatility,SPDR S&P PharmaceuticalsEtf_High_change,SPDR S&P PharmaceuticalsEtf_Low_average,SPDR S&P PharmaceuticalsEtf_Low_max,SPDR S&P PharmaceuticalsEtf_Low_min,SPDR S&P PharmaceuticalsEtf_Low_volatility,SPDR S&P PharmaceuticalsEtf_Low_change,SPDR S&P PharmaceuticalsEtf_Close_average,SPDR S&P PharmaceuticalsEtf_Close_max,SPDR S&P PharmaceuticalsEtf_Close_min,SPDR S&P PharmaceuticalsEtf_Close_volatility,SPDR S&P PharmaceuticalsEtf_Close_change
2016-01-03,47.41,47.41,47.41,0.0,0.0,47.73,47.73,47.73,0.0,0.0,45.91,45.91,45.91,0.0,0.0,46.0,46.0,46.0,0.0,0.0
2016-01-10,43.49,43.49,43.49,0.0,0.0,44.43,44.43,44.43,0.0,0.0,43.0,43.0,43.0,0.0,0.0,44.38,44.38,44.38,0.0,0.0
2016-01-17,45.38,45.38,45.38,0.0,0.0,45.9,45.9,45.9,0.0,0.0,45.1,45.1,45.1,0.0,0.0,45.64,45.64,45.64,0.0,0.0
2016-01-24,42.32,42.32,42.32,0.0,0.0,43.04,43.04,43.04,0.0,0.0,41.9,41.9,41.9,0.0,0.0,42.99,42.99,42.99,0.0,0.0
2016-01-31,42.47,42.47,42.47,0.0,0.0,42.47,42.47,42.47,0.0,0.0,41.65,41.65,41.65,0.0,0.0,41.94,41.94,41.94,0.0,0.0
2016-02-07,40.0,40.0,40.0,0.0,0.0,40.26,40.26,40.26,0.0,0.0,39.15,39.15,39.15,0.0,0.0,40.26,40.26,40.26,0.0,0.0
2016-02-14,41.94,41.94,41.94,0.0,0.0,42.2,42.2,42.2,0.0,0.0,41.13,41.13,41.13,0.0,0.0,42.11,42.11,42.11,0.0,0.0
2016-02-21,42.56,42.56,42.56,0.0,0.0,42.92,42.92,42.92,0.0,0.0,42.12,42.12,42.12,0.0,0.0,42.43,42.43,42.43,0.0,0.0
2016-02-28,41.76,41.76,41.76,0.0,0.0,41.83,41.83,41.83,0.0,0.0,41.17,41.17,41.17,0.0,0.0,41.37,41.37,41.37,0.0,0.0
2016-03-06,41.29,41.29,41.29,0.0,0.0,42.44,42.44,42.44,0.0,0.0,41.13,41.13,41.13,0.0,0.0,42.41,42.41,42.41,0.0,0.0
