Date,iShares US Consumer ServicesEtf_Open_average,iShares US Consumer ServicesEtf_Open_max,iShares US Consumer ServicesEtf_Open_min,iShares US Consumer ServicesEtf_Open_volatility,iShares US Consumer ServicesEtf_Open_change,iShares US Consumer ServicesEtf_High_average,iShares US Consumer ServicesEtf_High_max,iShares US Consumer ServicesEtf_High_min,iShares US Consumer ServicesEtf_High_volatility,iShares US Consumer ServicesEtf_High_change,iShares US Consumer ServicesEtf_Low_average,iShares US Consumer ServicesEtf_Low_max,iShares US Consumer ServicesEtf_Low_min,iShares US Consumer ServicesEtf_Low_volatility,iShares US Consumer ServicesEtf_Low_change,iShares US Consumer ServicesEtf_Close_average,iShares US Consumer ServicesEtf_Close_max,iShares US Consumer ServicesEtf_Close_min,iShares US Consumer ServicesEtf_Close_volatility,iShares US Consumer ServicesEtf_Close_change
2016-01-03,139.75,139.75,139.75,0.0,0.0,140.0,140.0,140.0,0.0,0.0,137.0,137.0,137.0,0.0,0.0,137.25,137.25,137.25,0.0,0.0
2016-01-10,132.3,132.3,132.3,0.0,0.0,133.69,133.69,133.69,0.0,0.0,131.56,131.56,131.56,0.0,0.0,132.95,132.95,132.95,0.0,0.0
2016-01-17,135.45,135.45,135.45,0.0,0.0,136.24,136.24,136.24,0.0,0.0,135.08,135.08,135.08,0.0,0.0,136.02,136.02,136.02,0.0,0.0
2016-01-24,134.35,134.35,134.35,0.0,0.0,136.94,136.94,136.94,0.0,0.0,134.29,134.29,134.29,0.0,0.0,136.94,136.94,136.94,0.0,0.0
2016-01-31,133.44,133.44,133.44,0.0,0.0,133.55,133.55,133.55,0.0,0.0,129.7,129.7,129.7,0.0,0.0,130.07,130.07,130.07,0.0,0.0
2016-02-07,128.87,128.87,128.87,0.0,0.0,130.05,130.05,130.05,0.0,0.0,128.09,128.09,128.09,0.0,0.0,130.04,130.04,130.04,0.0,0.0
2016-02-14,133.68,133.68,133.68,0.0,0.0,135.01,135.01,135.01,0.0,0.0,133.17,133.17,133.17,0.0,0.0,135.01,135.01,135.01,0.0,0.0
2016-02-21,139.54,139.54,139.54,0.0,0.0,139.58,139.58,139.58,0.0,0.0,138.15,138.15,138.15,0.0,0.0,138.47,138.47,138.47,0.0,0.0
2016-02-28,141.65,141.65,141.65,0.0,0.0,142.01,142.01,142.01,0.0,0.0,141.07,141.07,141.07,0.0,0.0,141.44,141.44,141.44,0.0,0.0
2016-03-06,141.8,141.8,141.8,0.0,0.0,142.77,142.77,142.77,0.0,0.0,141.63,141.63,141.63,0.0,0.0,142.77,142.77,142.77,0.0,0.0
2016-03-13,144.44,144.44,144.44,0.0,0.0,145.01,145.01,145.01,0.0,0.0,144.14,144.14,144.14,0.0,0.0,144.4,144.4,144.4,0.0,0.0
2016-03-20,142.06,142.06,142.06,0.0,0.0,143.01,143.01,143.01,0.0,0.0,142.06,142.06,142.06,0.0,0.0,142.98,142.98,142.98,0.0,0.0
2016-03-27,145.0,145.0,145.0,0.0,0.0,146.72,146.72,146.72,0.0,0.0,144.81,144.81,144.81,0.0,0.0,146.62,146.62,146.62,0.0,0.0
2016-04-03,144.53,144.53,144.53,0.0,0.0,144.53,144.53,144.53,0.0,0.0,143.56,143.56,143.56,0.0,0.0,143.81,143.81,143.81,0.0,0.0
2016-04-10,146.33,146.33,146.33,0.0,0.0,146.66,146.66,146.66,0.0,0.0,145.89,145.89,145.89,0.0,0.0,146.56,146.56,146.56,0.0,0.0
2016-04-17,145.52,145.52,145.52,0.0,0.0,146.02,146.02,146.02,0.0,0.0,144.58,144.58,144.58,0.0,0.0,145.42,145.42,145.42,0.0,0.0
2016-04-24,145.07,145.07,145.07,0.0,0.0,145.07,145.07,145.07,0.0,0.0,143.45,143.45,143.45,0.0,0.0,144.3,144.3,144.3,0.0,0.0
2016-05-01,143.71,143.71,143.71,0.0,0.0,144.69,144.69,144.69,0.0,0.0,143.03,143.03,143.03,0.0,0.0,144.69,144.69,144.69,0.0,0.0
2016-05-08,143.41,143.41,143.41,0.0,0.0,144.12,144.12,144.12,0.0,0.0,142.62,142.62,142.62,0.0,0.0,142.62,142.62,142.62,0.0,0.0
2016-05-15,141.83,141.83,141.83,0.0,0.0,142.76,142.76,142.76,0.0,0.0,141.83,141.83,141.83,0.0,0.0,142.35,142.35,142.35,0.0,0.0
2016-05-22,144.2,144.2,144.2,0.0,0.0,144.85,144.85,144.85,0.0,0.0,144.2,144.2,144.2,0.0,0.0,144.76,144.76,144.76,0.0,0.0
2016-05-29,145.69,145.69,145.69,0.0,0.0,145.69,145.69,145.69,0.0,0.0,144.51,144.51,144.51,0.0,0.0,145.48,145.48,145.48,0.0,0.0
2016-06-05,144.67,144.67,144.67,0.0,0.0,144.9,144.9,144.9,0.0,0.0,144.12,144.12,144.12,0.0,0.0,144.49,144.49,144.49,0.0,0.0
2016-06-12,143.57,143.57,143.57,0.0,0.0,143.57,143.57,143.57,0.0,0.0,142.87,142.87,142.87,0.0,0.0,142.96,142.96,142.96,0.0,0.0
2016-06-19,139.51,139.51,139.51,0.0,0.0,142.17,142.17,142.17,0.0,0.0,139.39,139.39,139.39,0.0,0.0,140.1,140.1,140.1,0.0,0.0
2016-06-26,143.7,143.7,143.7,0.0,0.0,144.87,144.87,144.87,0.0,0.0,143.7,143.7,143.7,0.0,0.0,144.6,144.6,144.6,0.0,0.0
2016-07-03,146.28,146.28,146.28,0.0,0.0,147.71,147.71,147.71,0.0,0.0,146.28,146.28,146.28,0.0,0.0,147.69,147.69,147.69,0.0,0.0
2016-07-10,150.02,150.02,150.02,0.0,0.0,150.02,150.02,150.02,0.0,0.0,148.71,148.71,148.71,0.0,0.0,148.91,148.91,148.91,0.0,0.0
2016-07-17,149.23,149.23,149.23,0.0,0.0,149.85,149.85,149.85,0.0,0.0,149.23,149.23,149.23,0.0,0.0,149.71,149.71,149.71,0.0,0.0
2016-07-24,149.31,149.31,149.31,0.0,0.0,149.55,149.55,149.55,0.0,0.0,148.88,148.88,148.88,0.0,0.0,149.31,149.31,149.31,0.0,0.0
2016-07-31,148.86,148.86,148.86,0.0,0.0,149.59,149.59,149.59,0.0,0.0,148.86,148.86,148.86,0.0,0.0,149.25,149.25,149.25,0.0,0.0
2016-08-07,150.03,150.03,150.03,0.0,0.0,150.53,150.53,150.53,0.0,0.0,150.0,150.0,150.0,0.0,0.0,150.41,150.41,150.41,0.0,0.0
2016-08-14,149.39,149.39,149.39,0.0,0.0,149.51,149.51,149.51,0.0,0.0,148.95,148.95,148.95,0.0,0.0,149.17,149.17,149.17,0.0,0.0
2016-08-21,147.68,147.68,147.68,0.0,0.0,148.58,148.58,148.58,0.0,0.0,146.94,146.94,146.94,0.0,0.0,147.45,147.45,147.45,0.0,0.0
2016-08-28,147.81,147.81,147.81,0.0,0.0,148.63,148.63,148.63,0.0,0.0,147.81,147.81,147.81,0.0,0.0,148.28,148.28,148.28,0.0,0.0
2016-09-04,146.9,146.9,146.9,0.0,0.0,146.9,146.9,146.9,0.0,0.0,144.49,144.49,144.49,0.0,0.0,144.49,144.49,144.49,0.0,0.0
2016-09-11,145.42,145.42,145.42,0.0,0.0,145.42,145.42,145.42,0.0,0.0,144.76,144.76,144.76,0.0,0.0,145.07,145.07,145.07,0.0,0.0
2016-09-18,146.84,146.84,146.84,0.0,0.0,147.29,147.29,147.29,0.0,0.0,146.84,146.84,146.84,0.0,0.0,147.05,147.05,147.05,0.0,0.0
2016-09-25,146.29,146.29,146.29,0.0,0.0,147.44,147.44,147.44,0.0,0.0,146.2,146.2,146.2,0.0,0.0,147.11,147.11,147.11,0.0,0.0
2016-10-02,147.01,147.01,147.01,0.0,0.0,147.16,147.16,147.16,0.0,0.0,145.71,145.71,145.71,0.0,0.0,146.08,146.08,146.08,0.0,0.0
2016-10-09,145.83,145.83,145.83,0.0,0.0,145.95,145.95,145.95,0.0,0.0,145.13,145.13,145.13,0.0,0.0,145.13,145.13,145.13,0.0,0.0
2016-10-16,145.0,145.0,145.0,0.0,0.0,146.49,146.49,146.49,0.0,0.0,145.0,145.0,145.0,0.0,0.0,146.3,146.3,146.3,0.0,0.0
2016-10-23,142.84,142.84,142.84,0.0,0.0,143.99,143.99,143.99,0.0,0.0,142.63,142.63,142.63,0.0,0.0,143.18,143.18,143.18,0.0,0.0
2016-10-30,141.26,141.26,141.26,0.0,0.0,142.16,142.16,142.16,0.0,0.0,140.93,140.93,140.93,0.0,0.0,140.98,140.98,140.98,0.0,0.0
2016-11-06,145.65,145.65,145.65,0.0,0.0,146.47,146.47,146.47,0.0,0.0,145.46,145.46,145.46,0.0,0.0,146.47,146.47,146.47,0.0,0.0
2016-11-13,149.86,149.86,149.86,0.0,0.0,150.0,150.0,150.0,0.0,0.0,149.37,149.37,149.37,0.0,0.0,149.47,149.47,149.47,0.0,0.0
2016-11-20,152.65,152.65,152.65,0.0,0.0,152.77,152.77,152.77,0.0,0.0,152.56,152.56,152.56,0.0,0.0,152.72,152.72,152.72,0.0,0.0
2016-11-27,150.73,150.73,150.73,0.0,0.0,151.2,151.2,151.2,0.0,0.0,150.33,150.33,150.33,0.0,0.0,150.51,150.51,150.51,0.0,0.0
2016-12-04,154.87,154.87,154.87,0.0,0.0,155.13,155.13,155.13,0.0,0.0,154.55,154.55,154.55,0.0,0.0,155.13,155.13,155.13,0.0,0.0
2016-12-11,154.63,154.63,154.63,0.0,0.0,155.03,155.03,155.03,0.0,0.0,153.81,153.81,153.81,0.0,0.0,153.99,153.99,153.99,0.0,0.0
2016-12-18,152.99,152.99,152.99,0.0,0.0,153.31,153.31,153.31,0.0,0.0,152.75,152.75,152.75,0.0,0.0,152.9,152.9,152.9,0.0,0.0
2016-12-25,152.41,152.41,152.41,0.0,0.0,152.41,152.41,152.41,0.0,0.0,150.6,150.6,150.6,0.0,0.0,151.03,151.03,151.03,0.0,0.0
2017-01-01,153.0,153.0,153.0,0.0,0.0,154.14,154.14,154.14,0.0,0.0,152.95,152.95,152.95,0.0,0.0,153.62,153.62,153.62,0.0,0.0
2017-01-08,154.75,154.75,154.75,0.0,0.0,155.25,155.25,155.25,0.0,0.0,154.75,154.75,154.75,0.0,0.0,155.05,155.05,155.05,0.0,0.0
2017-01-15,154.97,154.97,154.97,0.0,0.0,155.34,155.34,155.34,0.0,0.0,154.45,154.45,154.45,0.0,0.0,154.78,154.78,154.78,0.0,0.0
2017-01-22,156.76,156.76,156.76,0.0,0.0,156.76,156.76,156.76,0.0,0.0,155.64,155.64,155.64,0.0,0.0,155.94,155.94,155.94,0.0,0.0
2017-01-29,154.97,154.97,154.97,0.0,0.0,155.53,155.53,155.53,0.0,0.0,154.85,154.85,154.85,0.0,0.0,155.33,155.33,155.33,0.0,0.0
2017-02-05,157.34,157.34,157.34,0.0,0.0,157.74,157.74,157.74,0.0,0.0,157.26,157.26,157.26,0.0,0.0,157.69,157.69,157.69,0.0,0.0
2017-02-12,158.93,158.93,158.93,0.0,0.0,159.68,159.68,159.68,0.0,0.0,158.93,158.93,158.93,0.0,0.0,159.68,159.68,159.68,0.0,0.0
2017-02-19,159.06,159.06,159.06,0.0,0.0,160.38,160.38,160.38,0.0,0.0,159.04,159.04,159.04,0.0,0.0,160.32,160.32,160.32,0.0,0.0
2017-02-26,159.82,159.82,159.82,0.0,0.0,160.02,160.02,160.02,0.0,0.0,159.19,159.19,159.19,0.0,0.0,159.65,159.65,159.65,0.0,0.0
2017-03-05,159.32,159.32,159.32,0.0,0.0,159.32,159.32,159.32,0.0,0.0,158.6,158.6,158.6,0.0,0.0,158.96,158.96,158.96,0.0,0.0
2017-03-12,160.19,160.19,160.19,0.0,0.0,160.19,160.19,160.19,0.0,0.0,159.71,159.71,159.71,0.0,0.0,159.98,159.98,159.98,0.0,0.0
2017-03-19,158.23,158.23,158.23,0.0,0.0,158.62,158.62,158.62,0.0,0.0,157.77,157.77,157.77,0.0,0.0,158.11,158.11,158.11,0.0,0.0
2017-03-26,160.47,160.47,160.47,0.0,0.0,161.2,161.2,161.2,0.0,0.0,160.47,160.47,160.47,0.0,0.0,160.93,160.93,160.93,0.0,0.0
2017-04-02,160.49,160.49,160.49,0.0,0.0,160.72,160.72,160.72,0.0,0.0,160.04,160.04,160.04,0.0,0.0,160.3,160.3,160.3,0.0,0.0
2017-04-09,160.06,160.06,160.06,0.0,0.0,160.25,160.25,160.25,0.0,0.0,159.21,159.21,159.21,0.0,0.0,159.21,159.21,159.21,0.0,0.0
2017-04-16,162.29,162.29,162.29,0.0,0.0,162.35,162.35,162.35,0.0,0.0,161.93,161.93,161.93,0.0,0.0,162.25,162.25,162.25,0.0,0.0
2017-04-23,166.66,166.66,166.66,0.0,0.0,166.66,166.66,166.66,0.0,0.0,165.13,165.13,165.13,0.0,0.0,165.23,165.23,165.23,0.0,0.0
2017-04-30,165.84,165.84,165.84,0.0,0.0,166.11,166.11,166.11,0.0,0.0,165.24,165.24,165.24,0.0,0.0,166.11,166.11,166.11,0.0,0.0
2017-05-07,165.64,165.64,165.64,0.0,0.0,165.64,165.64,165.64,0.0,0.0,164.99,164.99,164.99,0.0,0.0,165.05,165.05,165.05,0.0,0.0
2017-05-14,163.66,163.66,163.66,0.0,0.0,164.72,164.72,164.72,0.0,0.0,163.57,163.57,163.57,0.0,0.0,164.19,164.19,164.19,0.0,0.0
2017-05-21,166.8,166.8,166.8,0.0,0.0,167.13,167.13,167.13,0.0,0.0,166.8,166.8,166.8,0.0,0.0,167.12,167.12,167.12,0.0,0.0
2017-05-28,169.71,169.71,169.71,0.0,0.0,170.18,170.18,170.18,0.0,0.0,169.4,169.4,169.4,0.0,0.0,170.07,170.07,170.07,0.0,0.0
2017-06-04,167.81,167.81,167.81,0.0,0.0,167.85,167.85,167.85,0.0,0.0,165.8,165.8,165.8,0.0,0.0,166.77,166.77,166.77,0.0,0.0
2017-06-11,165.99,165.99,165.99,0.0,0.0,165.99,165.99,165.99,0.0,0.0,164.73,164.73,164.73,0.0,0.0,165.52,165.52,165.52,0.0,0.0
2017-06-18,164.56,164.56,164.56,0.0,0.0,164.61,164.61,164.61,0.0,0.0,163.99,163.99,163.99,0.0,0.0,164.47,164.47,164.47,0.0,0.0
2017-06-25,164.57,164.57,164.57,0.0,0.0,164.57,164.57,164.57,0.0,0.0,163.81,163.81,163.81,0.0,0.0,164.11,164.11,164.11,0.0,0.0
2017-07-02,162.29,162.29,162.29,0.0,0.0,163.23,163.23,163.23,0.0,0.0,161.72,161.72,161.72,0.0,0.0,163.12,163.12,163.12,0.0,0.0
2017-07-09,164.45,164.45,164.45,0.0,0.0,164.71,164.71,164.71,0.0,0.0,164.02,164.02,164.02,0.0,0.0,164.61,164.61,164.61,0.0,0.0
2017-07-16,165.3,165.3,165.3,0.0,0.0,165.67,165.67,165.67,0.0,0.0,165.25,165.25,165.25,0.0,0.0,165.67,165.67,165.67,0.0,0.0
2017-07-23,166.38,166.38,166.38,0.0,0.0,167.01,167.01,167.01,0.0,0.0,166.24,166.24,166.24,0.0,0.0,166.88,166.88,166.88,0.0,0.0
