Date,PACD_stock_Open_average,PACD_stock_Open_max,PACD_stock_Open_min,PACD_stock_Open_volatility,PACD_stock_Open_change,PACD_stock_High_average,PACD_stock_High_max,PACD_stock_High_min,PACD_stock_High_volatility,PACD_stock_High_change,PACD_stock_Low_average,PACD_stock_Low_max,PACD_stock_Low_min,PACD_stock_Low_volatility,PACD_stock_Low_change,PACD_stock_Close_average,PACD_stock_Close_max,PACD_stock_Close_min,PACD_stock_Close_volatility,PACD_stock_Close_change,PACD_stock_Volume_average,PACD_stock_Volume_max,PACD_stock_Volume_min,PACD_stock_Volume_volatility,PACD_stock_Volume_change
2016-01-03,8.228,8.95,7.3,1.6499999999999995,-1.6499999999999995,8.318,9.0,7.5,1.5,-1.5,7.4879999999999995,8.5,6.3,2.2,-2.2,7.852,9.0,6.4,2.5999999999999996,-2.5999999999999996,45985,65897,32923,32974,16653
2016-01-10,4.8500000000000005,6.36,4.07,2.29,-2.16,5.21,6.9,4.2,2.7,-2.7,4.104,5.0,3.4,1.6,-1.6,4.25,5.12,3.45,1.67,-1.67,137889,266098,82337,183761,145665
2016-01-17,3.85,5.0,3.1,1.9,0.9000000000000004,4.3975,5.0,3.4,1.6,0.7000000000000002,3.2475,3.84,3.0,0.8399999999999999,0.79,3.6999999999999997,4.3,3.1,1.1999999999999997,1.0,80140,111537,63773,47764,-13335
2016-01-24,4.12,4.5,3.7,0.7999999999999998,0.11000000000000032,4.386,5.0,3.84,1.1600000000000001,0.20999999999999996,3.552,3.9,3.25,0.6499999999999999,0.5499999999999998,3.69,4.0,3.26,0.7400000000000002,0.7000000000000002,80046,126818,55906,70912,-5942
2016-01-31,3.96,4.3,3.8,0.5,-0.2999999999999998,3.992,4.3,3.8,0.5,-0.2999999999999998,3.47,3.6,3.3,0.30000000000000027,-0.10000000000000009,3.656,3.9,3.5,0.3999999999999999,-0.2999999999999998,81676,100837,54943,45894,19683
2016-02-07,3.576,3.78,3.4,0.3799999999999999,-0.2799999999999998,3.628,3.78,3.45,0.3299999999999996,-0.2799999999999998,3.2199999999999998,3.4,3.04,0.3599999999999999,-0.3500000000000001,3.336,3.5,3.1,0.3999999999999999,-0.20999999999999996,93291,154175,66229,87946,-1288
2016-02-14,3.385,3.69,3.15,0.54,-0.3500000000000001,3.5575,3.8,3.23,0.5699999999999998,-0.27,3.1025,3.28,3.0,0.2799999999999998,-0.2799999999999998,3.27,3.5,3.02,0.48,-0.48,90605,122252,61497,60755,-23171
2016-02-21,3.666,4.0,3.0,1.0,0.98,4.052,4.25,3.78,0.4700000000000002,0.4700000000000002,3.484,3.8,3.0,0.7999999999999998,0.7999999999999998,3.828,4.25,3.59,0.6600000000000001,0.6600000000000001,119271,159146,92375,66771,27663
2016-02-28,5.6,8.1,4.6,3.5,3.3999999999999995,6.876,9.3,5.1,4.200000000000001,4.200000000000001,5.208,7.37,4.46,2.91,2.91,6.4,8.3,5.0,3.3000000000000007,3.0999999999999996,165647,320892,39985,280907,91023
2016-03-06,7.122,8.6,6.11,2.4899999999999993,-2.3,7.24,8.7,6.2,2.499999999999999,-2.1999999999999993,5.786,7.0,5.1,1.9000000000000004,-1.2000000000000002,6.216,7.67,5.6,2.0700000000000003,-1.87,147787,257573,38995,218578,-87250
2016-03-13,5.722,6.2,5.2,1.0,0.20000000000000018,5.9799999999999995,6.39,5.51,0.8799999999999999,0.29000000000000004,5.362,5.8,4.8,1.0,0.39999999999999947,5.574,5.97,5.0,0.9699999999999998,0.46999999999999975,78807,92976,55965,37011,-8147
2016-03-20,5.6125,6.0,5.0,1.0,-1.0,5.6375,6.0,5.0,1.0,-1.0,5.1325,5.63,4.5,1.13,-1.13,5.325,5.8,4.8,1.0,-1.0,59413,130981,25852,105129,20905
2016-03-27,4.81,4.9,4.77,0.13000000000000078,-0.010000000000000675,4.97,5.16,4.79,0.3700000000000001,-0.009999999999999787,4.504,4.6,4.3,0.2999999999999998,-0.2999999999999998,4.74,4.9,4.6,0.3000000000000007,-0.10000000000000053,31197,38210,22352,15858,5415
2016-04-03,4.318,4.7,4.0,0.7000000000000002,-0.6500000000000004,4.44,4.78,4.15,0.6299999999999999,-0.35000000000000053,4.006,4.3,3.8,0.5,-0.25,4.158,4.38,3.98,0.3999999999999999,-0.05999999999999961,43253,73573,25433,48140,-4543
2016-04-10,4.462,4.84,4.0,0.8399999999999999,-0.15000000000000036,4.946,5.2,4.63,0.5700000000000003,-0.16999999999999993,4.354,4.62,4.0,0.6200000000000001,-0.15000000000000036,4.624,4.72,4.51,0.20999999999999996,-0.08000000000000007,112810,210105,51337,158768,99361
2016-04-17,4.694,5.04,4.3,0.7400000000000002,-0.15000000000000036,4.96,5.2,4.8,0.40000000000000036,0.0,4.4159999999999995,4.6,4.3,0.2999999999999998,0.1299999999999999,4.708,4.95,4.49,0.45999999999999996,0.10000000000000053,82028,138670,52829,85841,5341
2016-04-24,5.958,7.8,4.7,3.0999999999999996,2.5999999999999996,6.756,8.79,4.9,3.889999999999999,2.5,5.458,6.5,4.62,1.88,1.88,6.0760000000000005,7.11,4.65,2.46,2.05,340022,722888,49911,672977,154567
2016-05-01,6.186,7.0,5.42,1.58,-0.5,6.482,7.65,6.0,1.6500000000000004,-1.1500000000000004,5.636,6.71,5.02,1.6900000000000004,-0.71,5.938,7.05,5.3,1.75,-0.9500000000000002,213107,291811,153302,138509,-30940
2016-05-08,5.156,6.06,4.7,1.3599999999999994,-1.3599999999999994,5.326,6.1,4.7,1.3999999999999995,-1.3999999999999995,4.702,5.1,4.3,0.7999999999999998,-0.7999999999999998,4.9479999999999995,5.33,4.47,0.8600000000000003,-0.8600000000000003,117469,175855,51484,124371,-103638
2016-05-15,4.516,4.67,4.3,0.3700000000000001,-0.16000000000000014,4.824,5.1,4.7,0.39999999999999947,0.1200000000000001,4.3020000000000005,4.5,4.2,0.2999999999999998,0.16000000000000014,4.472,4.82,4.2,0.6200000000000001,0.16000000000000014,57197,66950,36299,30651,-6199
2016-05-22,4.28,4.55,4.07,0.47999999999999954,-0.22999999999999954,4.4559999999999995,4.6,4.17,0.4299999999999997,-0.33000000000000007,4.036,4.2,3.9,0.30000000000000027,-0.30000000000000027,4.236,4.55,4.07,0.47999999999999954,-0.2999999999999998,126268,141150,92217,48933,39607
2016-05-29,4.987500000000001,5.4,4.2,1.2000000000000002,0.9900000000000002,5.5025,5.62,5.4,0.21999999999999975,-0.1200000000000001,4.77,5.13,4.14,0.9900000000000002,0.9900000000000002,5.4025,5.62,5.23,0.3899999999999997,-0.3899999999999997,409868,744168,100117,644051,-531680
2016-06-05,7.09,8.3,5.3,3.000000000000001,2.1900000000000004,8.732,11.56,6.66,4.9,1.5700000000000003,6.72,7.5,5.27,2.2300000000000004,1.8500000000000005,7.392,7.93,6.09,1.8399999999999999,1.25,961152,2963808,208016,2755792,-16270
2016-06-12,7.9079999999999995,8.2,7.64,0.5599999999999996,0.29000000000000004,8.414,8.83,8.22,0.6099999999999994,0.4900000000000002,7.684,8.1,7.23,0.8699999999999992,0.40999999999999925,8.064,8.5,7.74,0.7599999999999998,0.5,450801,960767,262485,698282,-120586
