Date,PowerShares DWA Industrials Momentum PortfolioEtf_Open_average,PowerShares DWA Industrials Momentum PortfolioEtf_Open_max,PowerShares DWA Industrials Momentum PortfolioEtf_Open_min,PowerShares DWA Industrials Momentum PortfolioEtf_Open_volatility,PowerShares DWA Industrials Momentum PortfolioEtf_Open_change,PowerShares DWA Industrials Momentum PortfolioEtf_High_average,PowerShares DWA Industrials Momentum PortfolioEtf_High_max,PowerShares DWA Industrials Momentum PortfolioEtf_High_min,PowerShares DWA Industrials Momentum PortfolioEtf_High_volatility,PowerShares DWA Industrials Momentum PortfolioEtf_High_change,PowerShares DWA Industrials Momentum PortfolioEtf_Low_average,PowerShares DWA Industrials Momentum PortfolioEtf_Low_max,PowerShares DWA Industrials Momentum PortfolioEtf_Low_min,PowerShares DWA Industrials Momentum PortfolioEtf_Low_volatility,PowerShares DWA Industrials Momentum PortfolioEtf_Low_change,PowerShares DWA Industrials Momentum PortfolioEtf_Close_average,PowerShares DWA Industrials Momentum PortfolioEtf_Close_max,PowerShares DWA Industrials Momentum PortfolioEtf_Close_min,PowerShares DWA Industrials Momentum PortfolioEtf_Close_volatility,PowerShares DWA Industrials Momentum PortfolioEtf_Close_change
2016-01-03,42.48,42.48,42.48,0.0,0.0,42.56,42.56,42.56,0.0,0.0,41.98,41.98,41.98,0.0,0.0,41.98,41.98,41.98,0.0,0.0
2016-01-10,40.02,40.02,40.02,0.0,0.0,40.61,40.61,40.61,0.0,0.0,40.02,40.02,40.02,0.0,0.0,40.6,40.6,40.6,0.0,0.0
2016-01-17,40.54,40.54,40.54,0.0,0.0,41.14,41.14,41.14,0.0,0.0,40.54,40.54,40.54,0.0,0.0,41.1,41.1,41.1,0.0,0.0
2016-01-24,40.42,40.42,40.42,0.0,0.0,41.92,41.92,41.92,0.0,0.0,40.42,40.42,40.42,0.0,0.0,41.92,41.92,41.92,0.0,0.0
2016-01-31,40.95,40.95,40.95,0.0,0.0,40.95,40.95,40.95,0.0,0.0,40.08,40.08,40.08,0.0,0.0,40.18,40.18,40.18,0.0,0.0
2016-02-07,39.15,39.15,39.15,0.0,0.0,39.54,39.54,39.54,0.0,0.0,39.15,39.15,39.15,0.0,0.0,39.53,39.53,39.53,0.0,0.0
2016-02-14,40.77,40.77,40.77,0.0,0.0,41.19,41.19,41.19,0.0,0.0,40.77,40.77,40.77,0.0,0.0,41.19,41.19,41.19,0.0,0.0
2016-02-21,42.42,42.42,42.42,0.0,0.0,42.51,42.51,42.51,0.0,0.0,42.42,42.42,42.42,0.0,0.0,42.48,42.48,42.48,0.0,0.0
2016-02-28,43.27,43.27,43.27,0.0,0.0,43.62,43.62,43.62,0.0,0.0,43.08,43.08,43.08,0.0,0.0,43.47,43.47,43.47,0.0,0.0
2016-03-06,43.11,43.11,43.11,0.0,0.0,43.46,43.46,43.46,0.0,0.0,43.11,43.11,43.11,0.0,0.0,43.4,43.4,43.4,0.0,0.0
