Date,iShares Global Energy_etf_Open_average,iShares Global Energy_etf_Open_max,iShares Global Energy_etf_Open_min,iShares Global Energy_etf_Open_volatility,iShares Global Energy_etf_Open_change,iShares Global Energy_etf_High_average,iShares Global Energy_etf_High_max,iShares Global Energy_etf_High_min,iShares Global Energy_etf_High_volatility,iShares Global Energy_etf_High_change,iShares Global Energy_etf_Low_average,iShares Global Energy_etf_Low_max,iShares Global Energy_etf_Low_min,iShares Global Energy_etf_Low_volatility,iShares Global Energy_etf_Low_change,iShares Global Energy_etf_Close_average,iShares Global Energy_etf_Close_max,iShares Global Energy_etf_Close_min,iShares Global Energy_etf_Close_volatility,iShares Global Energy_etf_Close_change
2016-01-03,25.75,25.75,25.75,0.0,0.0,25.75,25.75,25.75,0.0,0.0,25.15,25.15,25.15,0.0,0.0,25.22,25.22,25.22,0.0,0.0
2016-01-10,24.42,24.42,24.42,0.0,0.0,24.82,24.82,24.82,0.0,0.0,24.15,24.15,24.15,0.0,0.0,24.53,24.53,24.53,0.0,0.0
2016-01-17,25.16,25.16,25.16,0.0,0.0,25.43,25.43,25.43,0.0,0.0,24.83,24.83,24.83,0.0,0.0,25.3,25.3,25.3,0.0,0.0
2016-01-24,26.04,26.04,26.04,0.0,0.0,26.64,26.64,26.64,0.0,0.0,25.94,25.94,25.94,0.0,0.0,26.58,26.58,26.58,0.0,0.0
2016-01-31,26.18,26.18,26.18,0.0,0.0,26.19,26.19,26.19,0.0,0.0,25.74,25.74,25.74,0.0,0.0,25.91,25.91,25.91,0.0,0.0
2016-02-07,25.15,25.15,25.15,0.0,0.0,25.66,25.66,25.66,0.0,0.0,24.99,24.99,24.99,0.0,0.0,25.57,25.57,25.57,0.0,0.0
2016-02-14,26.23,26.23,26.23,0.0,0.0,26.33,26.33,26.33,0.0,0.0,25.93,25.93,25.93,0.0,0.0,26.33,26.33,26.33,0.0,0.0
2016-02-21,26.74,26.74,26.74,0.0,0.0,26.9,26.9,26.9,0.0,0.0,26.42,26.42,26.42,0.0,0.0,26.52,26.52,26.52,0.0,0.0
2016-02-28,28.17,28.17,28.17,0.0,0.0,28.66,28.66,28.66,0.0,0.0,27.97,27.97,27.97,0.0,0.0,28.39,28.39,28.39,0.0,0.0
2016-03-06,28.54,28.54,28.54,0.0,0.0,28.86,28.86,28.86,0.0,0.0,28.5,28.5,28.5,0.0,0.0,28.76,28.76,28.76,0.0,0.0
2016-03-13,29.68,29.68,29.68,0.0,0.0,29.68,29.68,29.68,0.0,0.0,29.26,29.26,29.26,0.0,0.0,29.43,29.43,29.43,0.0,0.0
2016-03-20,28.08,28.08,28.08,0.0,0.0,28.6,28.6,28.6,0.0,0.0,28.03,28.03,28.03,0.0,0.0,28.6,28.6,28.6,0.0,0.0
2016-03-27,28.17,28.17,28.17,0.0,0.0,28.43,28.43,28.43,0.0,0.0,28.07,28.07,28.07,0.0,0.0,28.35,28.35,28.35,0.0,0.0
2016-04-03,28.67,28.67,28.67,0.0,0.0,28.96,28.96,28.96,0.0,0.0,28.63,28.63,28.63,0.0,0.0,28.87,28.87,28.87,0.0,0.0
2016-04-10,29.96,29.96,29.96,0.0,0.0,29.96,29.96,29.96,0.0,0.0,29.67,29.67,29.67,0.0,0.0,29.77,29.77,29.77,0.0,0.0
2016-04-17,30.86,30.86,30.86,0.0,0.0,31.21,31.21,31.21,0.0,0.0,30.86,30.86,30.86,0.0,0.0,31.17,31.17,31.17,0.0,0.0
2016-04-24,31.5,31.5,31.5,0.0,0.0,31.79,31.79,31.79,0.0,0.0,31.1,31.1,31.1,0.0,0.0,31.4,31.4,31.4,0.0,0.0
