Date,BA_stock_Open_average,BA_stock_Open_max,BA_stock_Open_min,BA_stock_Open_volatility,BA_stock_Open_change,BA_stock_High_average,BA_stock_High_max,BA_stock_High_min,BA_stock_High_volatility,BA_stock_High_change,BA_stock_Low_average,BA_stock_Low_max,BA_stock_Low_min,BA_stock_Low_volatility,BA_stock_Low_change,BA_stock_Close_average,BA_stock_Close_max,BA_stock_Close_min,BA_stock_Close_volatility,BA_stock_Close_change,BA_stock_Volume_average,BA_stock_Volume_max,BA_stock_Volume_min,BA_stock_Volume_volatility,BA_stock_Volume_change
2016-01-03,138.256,141.38,133.7,7.680000000000007,-7.680000000000007,138.904,141.7,135.1,6.599999999999994,-6.599999999999994,135.754,139.77,129.8,9.969999999999999,-9.629999999999995,136.68,141.07,129.99,11.079999999999984,-10.509999999999991,5224223,7013671,3356951,3656720,57426
2016-01-10,130.10399999999998,132.7,125.8,6.8999999999999915,-5.049999999999997,130.652,132.88,127.14,5.739999999999995,-3.8599999999999994,127.326,129.64,124.51,5.129999999999981,-4.409999999999982,129.016,131.92,125.63,6.289999999999992,-4.5800000000000125,5598443,6678391,4171513,2506878,1126927
2016-01-17,124.5625,127.06,122.77,4.290000000000006,-2.6400000000000006,125.955,127.22,124.94,2.280000000000001,-1.539999999999992,122.44749999999999,125.11,119.82,5.290000000000006,-1.7900000000000063,124.05250000000001,126.06,122.14,3.9200000000000017,-1.4500000000000028,5980421,7636593,5259941,2376652,-218970
2016-01-24,120.944,124.98,117.1,7.88000000000001,-6.459999999999994,122.342,128.15,118.03,10.120000000000005,-5.059999999999988,119.2,124.5,115.02,9.480000000000004,-5.38000000000001,121.348,128.01,116.58,11.429999999999993,-3.8800000000000097,11566837,27945884,4551572,23394312,4644149
2016-01-31,120.576,123.63,118.8,4.829999999999998,3.989999999999995,122.756,124.91,120.28,4.6299999999999955,1.8799999999999955,119.06400000000001,121.12,117.15,3.969999999999999,2.3799999999999955,121.424,123.61,117.52,6.090000000000003,1.0,6969003,8646673,5836971,2809702,-626136
2016-02-07,115.022,120.67,105.12,15.549999999999997,-15.549999999999997,116.802,121.33,109.84,11.489999999999995,-11.489999999999995,111.608,117.42,102.1,15.320000000000007,-12.25,114.356,119.47,108.44,11.030000000000001,-10.840000000000003,12437751,33735576,4137630,29597946,6519784
2016-02-14,114.495,117.31,109.73,7.579999999999998,7.579999999999998,116.2875,118.23,112.76,5.469999999999999,4.569999999999993,113.52250000000001,116.68,109.0,7.680000000000007,5.420000000000002,115.41749999999999,117.57,112.6,4.969999999999999,2.5600000000000023,6904234,7587694,6489039,1098655,-667050
2016-02-21,116.598,117.75,115.37,2.3799999999999955,1.2000000000000028,118.096,119.45,115.96,3.490000000000009,0.480000000000004,115.55,117.5,112.51,4.989999999999995,1.4699999999999989,116.972,118.16,115.59,2.569999999999993,0.769999999999996,4795362,6859285,3757794,3101491,-1172496
2016-02-28,119.154,120.17,118.12,2.049999999999997,2.049999999999997,120.634,122.23,119.47,2.760000000000005,2.760000000000005,118.47,119.85,117.5,2.3499999999999943,2.3499999999999943,119.694,121.07,118.18,2.8899999999999864,2.8899999999999864,4256734,4595376,3404550,1190826,-148196
2016-03-06,122.486,124.13,120.8,3.3299999999999983,3.3299999999999983,123.774,125.5,122.97,2.530000000000001,2.180000000000007,121.84,123.86,120.57,3.2900000000000063,3.2900000000000063,123.136,124.63,122.35,2.280000000000001,1.7299999999999898,4102749,5257279,3260119,1997160,-1244630
