Date,iShares Transportation Average_etf_Open_average,iShares Transportation Average_etf_Open_max,iShares Transportation Average_etf_Open_min,iShares Transportation Average_etf_Open_volatility,iShares Transportation Average_etf_Open_change,iShares Transportation Average_etf_High_average,iShares Transportation Average_etf_High_max,iShares Transportation Average_etf_High_min,iShares Transportation Average_etf_High_volatility,iShares Transportation Average_etf_High_change,iShares Transportation Average_etf_Low_average,iShares Transportation Average_etf_Low_max,iShares Transportation Average_etf_Low_min,iShares Transportation Average_etf_Low_volatility,iShares Transportation Average_etf_Low_change,iShares Transportation Average_etf_Close_average,iShares Transportation Average_etf_Close_max,iShares Transportation Average_etf_Close_min,iShares Transportation Average_etf_Close_volatility,iShares Transportation Average_etf_Close_change
2016-01-03,126.47,126.47,126.47,0.0,0.0,127.23,127.23,127.23,0.0,0.0,124.43,124.43,124.43,0.0,0.0,124.58,124.58,124.58,0.0,0.0
2016-01-10,118.39,118.39,118.39,0.0,0.0,120.58,120.58,120.58,0.0,0.0,117.67,117.67,117.67,0.0,0.0,120.0,120.0,120.0,0.0,0.0
2016-01-17,121.3,121.3,121.3,0.0,0.0,123.32,123.32,123.32,0.0,0.0,120.98,120.98,120.98,0.0,0.0,121.51,121.51,121.51,0.0,0.0
2016-01-24,120.22,120.22,120.22,0.0,0.0,123.8,123.8,123.8,0.0,0.0,120.14,120.14,120.14,0.0,0.0,123.77,123.77,123.77,0.0,0.0
2016-01-31,125.87,125.87,125.87,0.0,0.0,126.71,126.71,126.71,0.0,0.0,124.13,124.13,124.13,0.0,0.0,124.55,124.55,124.55,0.0,0.0
2016-02-07,124.88,124.88,124.88,0.0,0.0,126.49,126.49,126.49,0.0,0.0,124.16,124.16,124.16,0.0,0.0,126.38,126.38,126.38,0.0,0.0
2016-02-14,130.14,130.14,130.14,0.0,0.0,131.09,131.09,131.09,0.0,0.0,129.2,129.2,129.2,0.0,0.0,130.82,130.82,130.82,0.0,0.0
2016-02-21,133.13,133.13,133.13,0.0,0.0,134.18,134.18,134.18,0.0,0.0,132.65,132.65,132.65,0.0,0.0,133.09,133.09,133.09,0.0,0.0
2016-02-28,136.65,136.65,136.65,0.0,0.0,138.87,138.87,138.87,0.0,0.0,136.4,136.4,136.4,0.0,0.0,137.53,137.53,137.53,0.0,0.0
2016-03-06,136.39,136.39,136.39,0.0,0.0,138.27,138.27,138.27,0.0,0.0,136.39,136.39,136.39,0.0,0.0,138.15,138.15,138.15,0.0,0.0
2016-03-13,143.27,143.27,143.27,0.0,0.0,145.39,145.39,145.39,0.0,0.0,143.0,143.0,143.0,0.0,0.0,145.02,145.02,145.02,0.0,0.0
2016-03-20,141.61,141.61,141.61,0.0,0.0,142.06,142.06,142.06,0.0,0.0,140.67,140.67,140.67,0.0,0.0,142.06,142.06,142.06,0.0,0.0
2016-03-27,141.55,141.55,141.55,0.0,0.0,141.55,141.55,141.55,0.0,0.0,139.56,139.56,139.56,0.0,0.0,141.39,141.39,141.39,0.0,0.0
2016-04-03,138.08,138.08,138.08,0.0,0.0,140.17,140.17,140.17,0.0,0.0,137.87,137.87,137.87,0.0,0.0,138.65,138.65,138.65,0.0,0.0
2016-04-10,143.49,143.49,143.49,0.0,0.0,143.78,143.78,143.78,0.0,0.0,142.43,142.43,142.43,0.0,0.0,142.94,142.94,142.94,0.0,0.0
2016-04-17,143.42,143.42,143.42,0.0,0.0,145.2,145.2,145.2,0.0,0.0,143.42,143.42,143.42,0.0,0.0,144.96,144.96,144.96,0.0,0.0
